dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.174,ms,174000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
10,main_graph$async_dispatch_10_embedded_elf_riscv_64_main_graph$async_dispatch_10_matmul_like_128x7x7x64_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.mlir,2.17,ms,2170000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb.log
11,main_graph$async_dispatch_11_embedded_elf_riscv_64_main_graph$async_dispatch_11_conv_128x7x7x128x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.mlir,17.4,ms,17400000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb.log
12,main_graph$async_dispatch_12_embedded_elf_riscv_64_main_graph$async_dispatch_12_matvec_like_6272_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.mlir,0.119,ms,119000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb.log
13,main_graph$async_dispatch_13_embedded_elf_riscv_64_main_graph$async_dispatch_13_slow_memcpy,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.mlir,0.064,ms,64000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb.log
14,main_graph$async_dispatch_14_embedded_elf_riscv_64_main_graph$async_dispatch_14_matvec_like_6272_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.mlir,0.118,ms,118000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb.log
1,main_graph$async_dispatch_1_embedded_elf_riscv_64_main_graph$async_dispatch_1_conv_32x112x112x5x5_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.mlir,16.3,ms,16300000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb.log
2,main_graph$async_dispatch_2_embedded_elf_riscv_64_main_graph$async_dispatch_2_conv_32x55x55x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.mlir,4.44,ms,4440000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb.log
3,main_graph$async_dispatch_3_embedded_elf_riscv_64_main_graph$async_dispatch_3_conv_32x28x28x32x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_3_embedded_elf_riscv_64_benchmark.mlir,17.9,ms,17900000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb.log
4,main_graph$async_dispatch_4_embedded_elf_riscv_64_main_graph$async_dispatch_4_matmul_like_32x28x28x32_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_4_embedded_elf_riscv_64_benchmark.mlir,3.29,ms,3290000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb.log
5,main_graph$async_dispatch_5_embedded_elf_riscv_64_main_graph$async_dispatch_5_conv_32x28x28x32x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_5_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_5_embedded_elf_riscv_64_benchmark.mlir,18,ms,18000000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_5_embedded_elf_riscv_64_benchmark.vmfb.log
6,main_graph$async_dispatch_6_embedded_elf_riscv_64_main_graph$async_dispatch_6_conv_64x14x14x32x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_6_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_6_embedded_elf_riscv_64_benchmark.mlir,9.9,ms,9900000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_6_embedded_elf_riscv_64_benchmark.vmfb.log
7,main_graph$async_dispatch_7_embedded_elf_riscv_64_main_graph$async_dispatch_7_matmul_like_64x14x14x32_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_7_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_7_embedded_elf_riscv_64_benchmark.mlir,1.61,ms,1610000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_7_embedded_elf_riscv_64_benchmark.vmfb.log
8,main_graph$async_dispatch_8_embedded_elf_riscv_64_main_graph$async_dispatch_8_conv_64x14x14x64x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_8_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_8_embedded_elf_riscv_64_benchmark.mlir,17.8,ms,17800000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_8_embedded_elf_riscv_64_benchmark.vmfb.log
9,main_graph$async_dispatch_9_embedded_elf_riscv_64_main_graph$async_dispatch_9_conv_128x7x7x64x3x3_f32,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_9_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_scalar/module_main_graph$async_dispatch_9_embedded_elf_riscv_64_benchmark.mlir,10.4,ms,10400000.000000,0,/home/dima/sched_vmfb/out/dronet_scalar/topo_0_1_2/logs/module_main_graph$async_dispatch_9_embedded_elf_riscv_64_benchmark.vmfb.log
