dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_system_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/dronet_ukernel/dispatch_0.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_0.mlir,0.147,ms,147000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_0.vmfb.log
1,main_graph$async_dispatch_1_system_elf_riscv_64_main_graph$async_dispatch_1_conv_32x56x56x3x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_1.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_1.mlir,4.46,ms,4460000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_1.vmfb.log
10,main_graph$async_dispatch_10_system_elf_riscv_64_main_graph$async_dispatch_10_matmul_like_128x4x4x64_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_10.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_10.mlir,0.421,ms,421000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_10.vmfb.log
11,main_graph$async_dispatch_11_system_elf_riscv_64_main_graph$async_dispatch_11_conv_128x4x4x128x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_11.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_11.mlir,4.37,ms,4370000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_11.vmfb.log
12,main_graph$async_dispatch_12_system_elf_riscv_64_main_graph$async_dispatch_12_matvec_like_2048_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_12.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_12.mlir,0.071,ms,71000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_12.vmfb.log
13,main_graph$async_dispatch_13_system_elf_riscv_64_main_graph$async_dispatch_13_elementwise,/home/dima/sched_vmfb/dronet_ukernel/dispatch_13.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_13.mlir,0.052,ms,52000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_13.vmfb.log
14,main_graph$async_dispatch_14_system_elf_riscv_64_main_graph$async_dispatch_14_matvec_like_2048_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_14.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_14.mlir,0.083,ms,83000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_14.vmfb.log
15,main_graph$async_dispatch_15_system_elf_riscv_64_main_graph$async_dispatch_15_elementwise,/home/dima/sched_vmfb/dronet_ukernel/dispatch_15.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_15.mlir,0.052,ms,52000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_15.vmfb.log
2,main_graph$async_dispatch_2_system_elf_riscv_64_main_graph$async_dispatch_2_conv_32x27x27x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_2.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_2.mlir,0.727,ms,727000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_2.vmfb.log
3,main_graph$async_dispatch_3_system_elf_riscv_64_main_graph$async_dispatch_3_conv_32x14x14x32x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_3.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_3.mlir,3.61,ms,3610000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_3.vmfb.log
4,main_graph$async_dispatch_4_system_elf_riscv_64_main_graph$async_dispatch_4_matmul_like_32x14x14x32_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_4.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_4.mlir,0.512,ms,512000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_4.vmfb.log
5,main_graph$async_dispatch_5_system_elf_riscv_64_main_graph$async_dispatch_5_conv_32x14x14x32x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_5.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_5.mlir,3.34,ms,3340000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_5.vmfb.log
6,main_graph$async_dispatch_6_system_elf_riscv_64_main_graph$async_dispatch_6_conv_64x7x7x32x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_6.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_6.mlir,1.98,ms,1980000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_6.vmfb.log
7,main_graph$async_dispatch_7_system_elf_riscv_64_main_graph$async_dispatch_7_matmul_like_64x7x7x32_f32,/home/dima/sched_vmfb/dronet_ukernel/dispatch_7.vmfb,/home/dima/sched_vmfb/dronet_ukernel/dispatch_7.mlir,0.39,ms,390000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_4_5_6_7/logs/dispatch_7.vmfb.log
