dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_system_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_0_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_0_system_elf_riscv_64_benchmark.mlir,0.395,ms,395000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_0_system_elf_riscv_64_benchmark.vmfb.log
10,main_graph$async_dispatch_10_system_elf_riscv_64_main_graph$async_dispatch_10_conv_28x28x128x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_10_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_10_system_elf_riscv_64_benchmark.mlir,2.26,ms,2260000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_10_system_elf_riscv_64_benchmark.vmfb.log
11,main_graph$async_dispatch_11_system_elf_riscv_64_main_graph$async_dispatch_11_matmul_like_256x28x28x128_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_11_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_11_system_elf_riscv_64_benchmark.mlir,19.8,ms,19800000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_11_system_elf_riscv_64_benchmark.vmfb.log
12,main_graph$async_dispatch_12_system_elf_riscv_64_main_graph$async_dispatch_12_conv_28x28x256x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_12_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_12_system_elf_riscv_64_benchmark.mlir,3.97,ms,3970000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_12_system_elf_riscv_64_benchmark.vmfb.log
13,main_graph$async_dispatch_13_system_elf_riscv_64_main_graph$async_dispatch_13_matmul_like_256x784x256_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_13_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_13_system_elf_riscv_64_benchmark.mlir,275,ms,275000000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_13_system_elf_riscv_64_benchmark.vmfb.log
14,main_graph$async_dispatch_14_system_elf_riscv_64_main_graph$async_dispatch_14_slow_memcpy,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_14_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_14_system_elf_riscv_64_benchmark.mlir,0.632,ms,632000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_14_system_elf_riscv_64_benchmark.vmfb.log
15,main_graph$async_dispatch_15_system_elf_riscv_64_main_graph$async_dispatch_15_conv_14x14x256x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_15_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_15_system_elf_riscv_64_benchmark.mlir,1.13,ms,1130000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_15_system_elf_riscv_64_benchmark.vmfb.log
16,main_graph$async_dispatch_16_system_elf_riscv_64_main_graph$async_dispatch_16_matmul_like_512x14x14x256_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_16_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_16_system_elf_riscv_64_benchmark.mlir,20.3,ms,20300000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_16_system_elf_riscv_64_benchmark.vmfb.log
17,main_graph$async_dispatch_17_system_elf_riscv_64_main_graph$async_dispatch_17_conv_14x14x512x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_17_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_17_system_elf_riscv_64_benchmark.mlir,2.04,ms,2040000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_17_system_elf_riscv_64_benchmark.vmfb.log
18,main_graph$async_dispatch_18_system_elf_riscv_64_main_graph$async_dispatch_18_matmul_like_512x14x14x512_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_18_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_18_system_elf_riscv_64_benchmark.mlir,42.2,ms,42200000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_18_system_elf_riscv_64_benchmark.vmfb.log
1,main_graph$async_dispatch_1_system_elf_riscv_64_main_graph$async_dispatch_1_conv_32x112x112x3x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_1_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_1_system_elf_riscv_64_benchmark.mlir,17.6,ms,17600000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_1_system_elf_riscv_64_benchmark.vmfb.log
27,main_graph$async_dispatch_27_system_elf_riscv_64_main_graph$async_dispatch_27_conv_7x7x512x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_27_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_27_system_elf_riscv_64_benchmark.mlir,0.529,ms,529000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_27_system_elf_riscv_64_benchmark.vmfb.log
28,main_graph$async_dispatch_28_system_elf_riscv_64_main_graph$async_dispatch_28_matmul_like_1024x7x7x512_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_28_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_28_system_elf_riscv_64_benchmark.mlir,19.3,ms,19300000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_28_system_elf_riscv_64_benchmark.vmfb.log
29,main_graph$async_dispatch_29_system_elf_riscv_64_main_graph$async_dispatch_29_conv_7x7x1024x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_29_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_29_system_elf_riscv_64_benchmark.mlir,0.879,ms,879000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_29_system_elf_riscv_64_benchmark.vmfb.log
2,main_graph$async_dispatch_2_system_elf_riscv_64_main_graph$async_dispatch_2_conv_112x112x32x3x3_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_2_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_2_system_elf_riscv_64_benchmark.mlir,7.17,ms,7170000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_2_system_elf_riscv_64_benchmark.vmfb.log
30,main_graph$async_dispatch_30_system_elf_riscv_64_main_graph$async_dispatch_30_matmul_like_1024x7x7x1024_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_30_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_30_system_elf_riscv_64_benchmark.mlir,38,ms,38000000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_30_system_elf_riscv_64_benchmark.vmfb.log
31,main_graph$async_dispatch_31_system_elf_riscv_64_main_graph$async_dispatch_31_conv_7x7x1024x5x5_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_31_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_31_system_elf_riscv_64_benchmark.mlir,1.78,ms,1780000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_31_system_elf_riscv_64_benchmark.vmfb.log
32,main_graph$async_dispatch_32_system_elf_riscv_64_main_graph$async_dispatch_32_matmul_like_512x49x1024_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_32_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_32_system_elf_riscv_64_benchmark.mlir,165,ms,165000000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_32_system_elf_riscv_64_benchmark.vmfb.log
33,main_graph$async_dispatch_33_system_elf_riscv_64_main_graph$async_dispatch_33_elementwise_broadcast_512x14x14_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_33_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_33_system_elf_riscv_64_benchmark.mlir,0.435,ms,435000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_33_system_elf_riscv_64_benchmark.vmfb.log
34,main_graph$async_dispatch_34_system_elf_riscv_64_main_graph$async_dispatch_34_conv_14x14x512x5x5_f32,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_34_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_rvv/module_main_graph$async_dispatch_34_system_elf_riscv_64_benchmark.mlir,3.96,ms,3960000.000000,0,/home/dima/sched_vmfb/out/fastdepth_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_34_system_elf_riscv_64_benchmark.vmfb.log
