dispatch_id,module_name,mean_time,mean_unit
0,dsp_seg_00,159942.55,us
1,cpu_seg_00,36071.30,us
2,dsp_seg_01,88194.95,us
3,cpu_seg_01,9168.93,us
4,dsp_seg_02,156081.20,us
5,cpu_seg_02,36099.18,us
6,dsp_seg_03,87990.53,us
7,cpu_seg_03,9165.52,us
8,dsp_seg_04,155654.31,us
9,cpu_seg_04,36043.57,us
10,dsp_seg_05,88325.93,us
11,cpu_seg_05,9144.22,us
12,dsp_seg_06,155809.30,us
13,cpu_seg_06,36445.42,us
14,dsp_seg_07,87588.82,us
15,cpu_seg_07,9164.65,us
16,dsp_seg_08,155796.36,us
17,cpu_seg_08,36044.95,us
18,dsp_seg_09,87780.68,us
19,cpu_seg_09,9186.87,us
20,dsp_seg_10,156031.00,us
21,cpu_seg_10,36167.32,us
22,dsp_seg_11,87708.65,us
23,cpu_seg_11,9161.89,us
24,dsp_seg_12,156405.96,us
25,cpu_seg_12,36085.75,us
26,dsp_seg_13,88390.04,us
27,cpu_seg_13,9160.78,us
28,dsp_seg_14,155742.79,us
29,cpu_seg_14,36838.11,us
30,dsp_seg_15,87864.14,us
31,cpu_seg_15,9165.56,us
32,dsp_seg_16,155474.91,us
33,cpu_seg_16,36225.83,us
34,dsp_seg_17,87886.38,us
35,cpu_seg_17,9169.41,us
36,dsp_seg_18,155583.82,us
37,cpu_seg_18,36328.44,us
38,dsp_seg_19,88117.15,us
39,cpu_seg_19,9172.72,us
40,dsp_seg_20,155334.14,us
41,cpu_seg_20,36510.08,us
42,dsp_seg_21,87783.44,us
43,cpu_seg_21,9164.55,us
44,dsp_seg_22,155399.79,us
45,cpu_seg_22,35888.02,us
46,dsp_seg_23,87495.88,us
47,cpu_seg_23,9163.09,us
48,dsp_seg_24,136482.19,us
