dispatch_id,module_name,mean_time,mean_unit
0,dsp_seg_00,1000000000.00,us
1,cpu_seg_00,1000000000.00,us
2,dsp_seg_01_tramp_p0,1000000000.00,us
3,dsp_seg_01_conv1,3100.52,us
4,dsp_seg_01_tramp_p1,1000000000.00,us
5,dsp_seg_01_conv2,9298.43,us
6,dsp_seg_01_tramp_p2,1000000000.00,us
7,cpu_seg_01,1000000000.00,us
8,dsp_seg_02,1000000000.00,us
9,cpu_seg_02,1000000000.00,us
10,dsp_seg_03_tramp_p0,1000000000.00,us
11,dsp_seg_03_conv1,3270.29,us
12,dsp_seg_03_tramp_p1,1000000000.00,us
13,dsp_seg_03_conv2,9457.15,us
14,dsp_seg_03_tramp_p2,1000000000.00,us
15,cpu_seg_03,1000000000.00,us
16,dsp_seg_04,1000000000.00,us
17,cpu_seg_04,1000000000.00,us
18,dsp_seg_05_tramp_p0,1000000000.00,us
19,dsp_seg_05_conv1,3298.69,us
20,dsp_seg_05_tramp_p1,1000000000.00,us
21,dsp_seg_05_conv2,9340.53,us
22,dsp_seg_05_tramp_p2,1000000000.00,us
23,cpu_seg_05,1000000000.00,us
24,dsp_seg_06,1000000000.00,us
25,cpu_seg_06,1000000000.00,us
26,dsp_seg_07_tramp_p0,1000000000.00,us
27,dsp_seg_07_conv1,3072.40,us
28,dsp_seg_07_tramp_p1,1000000000.00,us
29,dsp_seg_07_conv2,9310.20,us
30,dsp_seg_07_tramp_p2,1000000000.00,us
31,cpu_seg_07,1000000000.00,us
32,dsp_seg_08,1000000000.00,us
33,cpu_seg_08,1000000000.00,us
34,dsp_seg_09_tramp_p0,1000000000.00,us
35,dsp_seg_09_conv1,3174.89,us
36,dsp_seg_09_tramp_p1,1000000000.00,us
37,dsp_seg_09_conv2,9386.42,us
38,dsp_seg_09_tramp_p2,1000000000.00,us
39,cpu_seg_09,1000000000.00,us
40,dsp_seg_10,1000000000.00,us
41,cpu_seg_10,1000000000.00,us
42,dsp_seg_11_tramp_p0,1000000000.00,us
43,dsp_seg_11_conv1,3161.23,us
44,dsp_seg_11_tramp_p1,1000000000.00,us
45,dsp_seg_11_conv2,9254.60,us
46,dsp_seg_11_tramp_p2,1000000000.00,us
47,cpu_seg_11,1000000000.00,us
48,dsp_seg_12,1000000000.00,us
49,cpu_seg_12,1000000000.00,us
50,dsp_seg_13_tramp_p0,1000000000.00,us
51,dsp_seg_13_conv1,3145.23,us
52,dsp_seg_13_tramp_p1,1000000000.00,us
53,dsp_seg_13_conv2,9312.02,us
54,dsp_seg_13_tramp_p2,1000000000.00,us
55,cpu_seg_13,1000000000.00,us
56,dsp_seg_14,1000000000.00,us
57,cpu_seg_14,1000000000.00,us
58,dsp_seg_15_tramp_p0,1000000000.00,us
59,dsp_seg_15_conv1,3121.52,us
60,dsp_seg_15_tramp_p1,1000000000.00,us
61,dsp_seg_15_conv2,9320.99,us
62,dsp_seg_15_tramp_p2,1000000000.00,us
63,cpu_seg_15,1000000000.00,us
64,dsp_seg_16,1000000000.00,us
65,cpu_seg_16,1000000000.00,us
66,dsp_seg_17_tramp_p0,1000000000.00,us
67,dsp_seg_17_conv1,3217.11,us
68,dsp_seg_17_tramp_p1,1000000000.00,us
69,dsp_seg_17_conv2,9277.21,us
70,dsp_seg_17_tramp_p2,1000000000.00,us
71,cpu_seg_17,1000000000.00,us
72,dsp_seg_18,1000000000.00,us
73,cpu_seg_18,1000000000.00,us
74,dsp_seg_19_tramp_p0,1000000000.00,us
75,dsp_seg_19_conv1,3200.22,us
76,dsp_seg_19_tramp_p1,1000000000.00,us
77,dsp_seg_19_conv2,9383.16,us
78,dsp_seg_19_tramp_p2,1000000000.00,us
79,cpu_seg_19,1000000000.00,us
80,dsp_seg_20,1000000000.00,us
81,cpu_seg_20,1000000000.00,us
82,dsp_seg_21_tramp_p0,1000000000.00,us
83,dsp_seg_21_conv1,3195.52,us
84,dsp_seg_21_tramp_p1,1000000000.00,us
85,dsp_seg_21_conv2,9321.38,us
86,dsp_seg_21_tramp_p2,1000000000.00,us
87,cpu_seg_21,1000000000.00,us
88,dsp_seg_22,1000000000.00,us
89,cpu_seg_22,1000000000.00,us
90,dsp_seg_23_tramp_p0,1000000000.00,us
91,dsp_seg_23_conv1,3289.74,us
92,dsp_seg_23_tramp_p1,1000000000.00,us
93,dsp_seg_23_conv2,9268.29,us
94,dsp_seg_23_tramp_p2,1000000000.00,us
95,cpu_seg_23,1000000000.00,us
96,dsp_seg_24,1000000000.00,us
