dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,,,0.582000,ms,582000.000,0,,k1_measured,elementwise,3x112x112,931200
1,dronet$async_dispatch_1_embedded_elf_riscv_64_dronet$async_dispatch_1_conv_32x56x56x3x3x3_i8xi8xi32,,,24.822500,ms,24822500.000,0,,k1_measured,conv,32x56x56x3x3x3,39716000
2,dronet$async_dispatch_2_embedded_elf_riscv_64_dronet$async_dispatch_2_conv_32x27x27x3x3_f32,,,3.701000,ms,3701000.000,0,,k1_measured,conv,32x27x27x3x3,5921600
3,dronet$async_dispatch_3_embedded_elf_riscv_64_dronet$async_dispatch_3_elementwise_32x27x27_i8xf32xi8,,,1.007500,ms,1007500.000,0,,k1_measured,elementwise,32x27x27,1612000
4,dronet$async_dispatch_4_embedded_elf_riscv_64_dronet$async_dispatch_4_conv_32x14x14x32x3x3_i8xi8xi32,,,15.504500,ms,15504500.000,0,,k1_measured,conv,32x14x14x32x3x3,24807200
5,dronet$async_dispatch_5_embedded_elf_riscv_64_dronet$async_dispatch_5_conv_32x14x14x32x3x3_i8xi8xi32,,,16.088500,ms,16088500.000,0,,k1_measured,conv,32x14x14x32x3x3,25741600
6,dronet$async_dispatch_6_embedded_elf_riscv_64_dronet$async_dispatch_6_reduction_32x14x14x32_i8xi8xi32,,,6.040000,ms,6040000.000,0,,k1_measured,reduction,32x14x14x32,9664000
7,dronet$async_dispatch_7_embedded_elf_riscv_64_dronet$async_dispatch_7_elementwise_32x14x14_i8xf32xi8,,,0.319000,ms,319000.000,0,,k1_measured,elementwise,32x14x14,510400
8,dronet$async_dispatch_8_embedded_elf_riscv_64_dronet$async_dispatch_8_conv_64x7x7x32x3x3_i8xi8xi32,,,8.039000,ms,8039000.000,0,,k1_measured,conv,64x7x7x32x3x3,12862400
9,dronet$async_dispatch_9_embedded_elf_riscv_64_dronet$async_dispatch_9_conv_64x7x7x64x3x3_i8xi8xi32,,,14.706000,ms,14706000.000,0,,k1_measured,conv,64x7x7x64x3x3,23529600
10,dronet$async_dispatch_10_embedded_elf_riscv_64_dronet$async_dispatch_10_reduction_64x7x7x32_i8xi8xi32,,,2.209500,ms,2209500.000,0,,k1_measured,reduction,64x7x7x32,3535200
11,dronet$async_dispatch_11_embedded_elf_riscv_64_dronet$async_dispatch_11_elementwise_64x7x7_i8xf32xi8,,,0.206000,ms,206000.000,0,,k1_measured,elementwise,64x7x7,329600
12,dronet$async_dispatch_12_embedded_elf_riscv_64_dronet$async_dispatch_12_conv_128x4x4x64x3x3_i8xi8xi32,,,9.529000,ms,9529000.000,0,,k1_measured,conv,128x4x4x64x3x3,15246400
13,dronet$async_dispatch_13_embedded_elf_riscv_64_dronet$async_dispatch_13_conv_128x4x4x128x3x3_i8xi8xi32,,,18.678500,ms,18678500.000,0,,k1_measured,conv,128x4x4x128x3x3,29885600
14,dronet$async_dispatch_14_embedded_elf_riscv_64_dronet$async_dispatch_14_reduction_128x4x4x64_i8xi8xi32,,,0.979000,ms,979000.000,0,,k1_measured,reduction,128x4x4x64,1566400
15,dronet$async_dispatch_15_embedded_elf_riscv_64_dronet$async_dispatch_15_elementwise_2048_f32xi8,,,0.116500,ms,116500.000,0,,k1_measured,elementwise,2048,186400
16,dronet$async_dispatch_16_embedded_elf_riscv_64_dronet$async_dispatch_16_matmul_1x1x2048_i8xi8xi32,,,0.070550,ms,70550.000,0,,k1_measured,matmul,1x1x2048,112880
18,dronet$async_dispatch_18_embedded_elf_riscv_64_dronet$async_dispatch_18_elementwise,,,0.064200,ms,64200.000,0,,k1_measured,elementwise,,102720
19,dronet$async_dispatch_19_embedded_elf_riscv_64_dronet$async_dispatch_19_elementwise,,,0.064000,ms,64000.000,0,,k1_measured,elementwise,,102400
