dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,,,0.601500,ms,601500.000,0,,k1_measured,elementwise,3x112x112,962400
1,dronet$async_dispatch_1_embedded_elf_riscv_64_dronet$async_dispatch_1_conv_32x56x56x3x3x3_i8xi8xi32,,,22.848000,ms,22848000.000,0,,k1_measured,conv,32x56x56x3x3x3,36556800
2,dronet$async_dispatch_2_embedded_elf_riscv_64_dronet$async_dispatch_2_conv_32x27x27x3x3_f32,,,3.197500,ms,3197500.000,0,,k1_measured,conv,32x27x27x3x3,5116000
3,dronet$async_dispatch_3_embedded_elf_riscv_64_dronet$async_dispatch_3_elementwise_32x27x27_i8xf32xi8,,,1.023000,ms,1023000.000,0,,k1_measured,elementwise,32x27x27,1636800
4,dronet$async_dispatch_4_embedded_elf_riscv_64_dronet$async_dispatch_4_conv_32x14x14x32x3x3_i8xi8xi32,,,14.538000,ms,14538000.000,0,,k1_measured,conv,32x14x14x32x3x3,23260800
5,dronet$async_dispatch_5_embedded_elf_riscv_64_dronet$async_dispatch_5_conv_32x14x14x32x3x3_i8xi8xi32,,,15.675000,ms,15675000.000,0,,k1_measured,conv,32x14x14x32x3x3,25080000
6,dronet$async_dispatch_6_embedded_elf_riscv_64_dronet$async_dispatch_6_reduction_32x14x14x32_i8xi8xi32,,,3.545000,ms,3545000.000,0,,k1_measured,reduction,32x14x14x32,5672000
7,dronet$async_dispatch_7_embedded_elf_riscv_64_dronet$async_dispatch_7_elementwise_32x14x14_i8xf32xi8,,,0.302000,ms,302000.000,0,,k1_measured,elementwise,32x14x14,483200
8,dronet$async_dispatch_8_embedded_elf_riscv_64_dronet$async_dispatch_8_conv_64x7x7x32x3x3_i8xi8xi32,,,7.372500,ms,7372500.000,0,,k1_measured,conv,64x7x7x32x3x3,11796000
9,dronet$async_dispatch_9_embedded_elf_riscv_64_dronet$async_dispatch_9_conv_64x7x7x64x3x3_i8xi8xi32,,,14.072000,ms,14072000.000,0,,k1_measured,conv,64x7x7x64x3x3,22515200
10,dronet$async_dispatch_10_embedded_elf_riscv_64_dronet$async_dispatch_10_reduction_64x7x7x32_i8xi8xi32,,,0.433000,ms,433000.000,0,,k1_measured,reduction,64x7x7x32,692800
11,dronet$async_dispatch_11_embedded_elf_riscv_64_dronet$async_dispatch_11_elementwise_64x7x7_i8xf32xi8,,,0.206000,ms,206000.000,0,,k1_measured,elementwise,64x7x7,329600
12,dronet$async_dispatch_12_embedded_elf_riscv_64_dronet$async_dispatch_12_conv_128x4x4x64x3x3_i8xi8xi32,,,9.571000,ms,9571000.000,0,,k1_measured,conv,128x4x4x64x3x3,15313600
13,dronet$async_dispatch_13_embedded_elf_riscv_64_dronet$async_dispatch_13_conv_128x4x4x128x3x3_i8xi8xi32,,,18.340000,ms,18340000.000,0,,k1_measured,conv,128x4x4x128x3x3,29344000
14,dronet$async_dispatch_14_embedded_elf_riscv_64_dronet$async_dispatch_14_reduction_128x4x4x64_i8xi8xi32,,,1.312000,ms,1312000.000,0,,k1_measured,reduction,128x4x4x64,2099200
15,dronet$async_dispatch_15_embedded_elf_riscv_64_dronet$async_dispatch_15_elementwise_2048_f32xi8,,,0.115000,ms,115000.000,0,,k1_measured,elementwise,2048,184000
16,dronet$async_dispatch_16_embedded_elf_riscv_64_dronet$async_dispatch_16_matmul_1x1x2048_i8xi8xi32,,,0.359000,ms,359000.000,0,,k1_measured,matmul,1x1x2048,574400
18,dronet$async_dispatch_18_embedded_elf_riscv_64_dronet$async_dispatch_18_elementwise,,,0.065050,ms,65050.000,0,,k1_measured,elementwise,,104080
19,dronet$async_dispatch_19_embedded_elf_riscv_64_dronet$async_dispatch_19_elementwise,,,0.062950,ms,62950.000,0,,k1_measured,elementwise,,100720
