dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,fused_full$dispatch_0_V256D128_rvv_conv2d_s8_N1xIC1xIH60xIW90xOC16xOH30xOW45xKH5xKW5xSH2xSW2xPH2xPW2,,,0.631798,ms,631798.000000,0,,firesim,conv2d_s8,N=1;IC=1;IH=60;IW=90;OC=16;OH=30;OW=45;KH=5;KW=5;SH=2;SW=2;PH=2;PW=2,631798
1,fused_full$dispatch_1_V256D128_rvv_conv2d_s8_N1xIC16xIH30xIW45xOC32xOH15xOW23xKH3xKW3xSH2xSW2xPH1xPW1,,,0.850372,ms,850372.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=30;IW=45;OC=32;OH=15;OW=23;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,850372
2,fused_full$dispatch_2_V256D128_rvv_conv2d_s8_N1xIC32xIH15xIW23xOC64xOH8xOW12xKH3xKW3xSH2xSW2xPH1xPW1,,,0.892760,ms,892760.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=15;IW=23;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,892760
3,fused_full$dispatch_3_V256D128_rvv_conv2d_s8_N1xIC64xIH8xIW12xOC64xOH4xOW6xKH3xKW3xSH2xSW2xPH1xPW1,,,0.482650,ms,482650.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=4;OW=6;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,482650
4,fused_full$dispatch_4_V256D128_rvv_cast_i8_to_f16_n1536,,,0.001967,ms,1967.000000,0,,firesim,cast_i8_to_f16,n=1536,1967
5,fused_full$dispatch_5_V256D128_rvv_linear_f16_M1xK1536xN512,,,0.759150,ms,759150.000000,0,,firesim,linear_f16,M=1;K=1536;N=512,759150
6,fused_full$dispatch_6_V256D128_rvv_conv2d_s8_N1xIC4xIH8xIW8xOC16xOH8xOW8xKH3xKW3xSH1xSW1xPH1xPW1,,,0.048848,ms,48848.000000,0,,firesim,conv2d_s8,N=1;IC=4;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,48848
7,fused_full$dispatch_7_V256D128_rvv_conv2d_s8_N1xIC16xIH8xIW8xOC16xOH8xOW8xKH3xKW3xSH1xSW1xPH1xPW1,,,0.161646,ms,161646.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,161646
8,fused_full$dispatch_8_V256D128_rvv_cast_i8_to_f16_n1024,,,0.000557,ms,557.000000,0,,firesim,cast_i8_to_f16,n=1024,557
9,fused_full$dispatch_9_V256D128_rvv_linear_f16_M1xK1024xN64,,,0.064748,ms,64748.000000,0,,firesim,linear_f16,M=1;K=1024;N=64,64748
10,fused_full$dispatch_10_V256D128_rvv_cast_i8_to_f16_n21,,,0.000036,ms,36.000000,0,,firesim,cast_i8_to_f16,n=21,36
11,fused_full$dispatch_11_V256D128_rvv_cat3_c1_f16_N1xH1xW1xC_inputs512|64|21xC_total597,,,0.011588,ms,11588.000000,0,,firesim,cat3_c1_f16,N=1;H=1;W=1;C_inputs=512|64|21;C_total=597,11588
12,fused_full$dispatch_12_V256D128_rvv_lstm_f16_in_size597xH128,,,0.566102,ms,566102.000000,0,,firesim,lstm_f16,in_size=597;H=128,566102
13,fused_full$dispatch_13_V256D128_rvv_lstm_f16_in_size128xH128,,,0.340140,ms,340140.000000,0,,firesim,lstm_f16,in_size=128;H=128,340140
14,fused_full$dispatch_14_V256D128_rvv_lstm_f16_in_size128xH128,,,0.336920,ms,336920.000000,0,,firesim,lstm_f16,in_size=128;H=128,336920
15,fused_full$dispatch_15_V256D128_rvv_linear_f16_M1xK128xN2,,,0.000789,ms,789.000000,0,,firesim,linear_f16,M=1;K=128;N=2,789
