dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_conv2d_s8,,,7.104263000,ms,7104263.000,0,,firesim_measured,conv2d_s8,,7104263
1,dronet$dispatch_1_maxpool2d_s8,,,4.346253000,ms,4346253.000,0,,firesim_measured,maxpool2d_s8,,4346253
2,dronet$dispatch_2_batchnorm2d_s8,,,1.863572000,ms,1863572.000,0,,firesim_measured,batchnorm2d_s8,,1863572
3,dronet$dispatch_3_conv2d_batchnorm2d_s8,,,0.206061000,ms,206061.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,206061
4,dronet$dispatch_4_conv2d_s8,,,0.524975000,ms,524975.000,0,,firesim_measured,conv2d_s8,,524975
5,dronet$dispatch_5_conv2d_s8,,,0.511595000,ms,511595.000,0,,firesim_measured,conv2d_s8,,511595
6,dronet$dispatch_6_add_s8,,,0.053355000,ms,53355.000,0,,firesim_measured,add_s8,,53355
7,dronet$dispatch_7_batchnorm2d_s8,,,0.423955000,ms,423955.000,0,,firesim_measured,batchnorm2d_s8,,423955
8,dronet$dispatch_8_conv2d_batchnorm2d_s8,,,0.396932000,ms,396932.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,396932
9,dronet$dispatch_9_conv2d_s8,,,0.502910000,ms,502910.000,0,,firesim_measured,conv2d_s8,,502910
10,dronet$dispatch_10_conv2d_s8,,,0.510644000,ms,510644.000,0,,firesim_measured,conv2d_s8,,510644
11,dronet$dispatch_11_add_s8,,,0.053376000,ms,53376.000,0,,firesim_measured,add_s8,,53376
12,dronet$dispatch_12_batchnorm2d_s8,,,0.189230000,ms,189230.000,0,,firesim_measured,batchnorm2d_s8,,189230
13,dronet$dispatch_13_conv2d_batchnorm2d_s8,,,0.262296000,ms,262296.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,262296
14,dronet$dispatch_14_conv2d_s8,,,0.026699000,ms,26699.000,0,,firesim_measured,conv2d_s8,,26699
15,dronet$dispatch_15_conv2d_s8,,,0.190991000,ms,190991.000,0,,firesim_measured,conv2d_s8,,190991
16,dronet$dispatch_16_add_s8,,,0.152312000,ms,152312.000,0,,firesim_measured,add_s8,,152312
17,dronet$dispatch_17_relu_s8,,,0.251551000,ms,251551.000,0,,firesim_measured,relu_s8,,251551
18,dronet$dispatch_18_linear_s8,,,0.261527000,ms,261527.000,0,,firesim_measured,linear_s8,,261527
19,dronet$dispatch_19_linear_s8,,,0.026527000,ms,26527.000,0,,firesim_measured,linear_s8,,26527
20,dronet$dispatch_20_sigmoid_s8,,,0.114054000,ms,114054.000,0,,firesim_measured,sigmoid_s8,,114054
