dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano_64$dispatch_0_conv2d_s8,,,1.587378000,ms,1587378.000,0,,firesim_measured,conv2d_s8,,1587378
1,yolov8_nano_64$dispatch_1_batchnorm2d_s8,,,1.321423000,ms,1321423.000,0,,firesim_measured,batchnorm2d_s8,,1321423
2,yolov8_nano_64$dispatch_2_silu_s8,,,4.683811000,ms,4683811.000,0,,firesim_measured,silu_s8,,4683811
3,yolov8_nano_64$dispatch_3_conv2d_s8,,,0.609568000,ms,609568.000,0,,firesim_measured,conv2d_s8,,609568
4,yolov8_nano_64$dispatch_4_batchnorm2d_s8,,,0.667654000,ms,667654.000,0,,firesim_measured,batchnorm2d_s8,,667654
5,yolov8_nano_64$dispatch_5_silu_s8,,,2.275444000,ms,2275444.000,0,,firesim_measured,silu_s8,,2275444
6,yolov8_nano_64$dispatch_6_conv2d_s8,,,0.418138000,ms,418138.000,0,,firesim_measured,conv2d_s8,,418138
7,yolov8_nano_64$dispatch_7_batchnorm2d_s8,,,0.663077000,ms,663077.000,0,,firesim_measured,batchnorm2d_s8,,663077
8,yolov8_nano_64$dispatch_8_silu_s8,,,2.280535000,ms,2280535.000,0,,firesim_measured,silu_s8,,2280535
9,yolov8_nano_64$dispatch_9_chunk2_c1,,,0.000000000,ms,0.000,0,,zero_cost_by_construction,chunk2_c1,,0
10,yolov8_nano_64$dispatch_10_conv2d_s8,,,0.380950000,ms,380950.000,0,,firesim_measured,conv2d_s8,,380950
11,yolov8_nano_64$dispatch_11_batchnorm2d_s8,,,0.331086000,ms,331086.000,0,,firesim_measured,batchnorm2d_s8,,331086
12,yolov8_nano_64$dispatch_12_silu_s8,,,1.160824000,ms,1160824.000,0,,firesim_measured,silu_s8,,1160824
13,yolov8_nano_64$dispatch_13_conv2d_s8,,,0.384206000,ms,384206.000,0,,firesim_measured,conv2d_s8,,384206
14,yolov8_nano_64$dispatch_14_batchnorm2d_s8,,,0.329501000,ms,329501.000,0,,firesim_measured,batchnorm2d_s8,,329501
15,yolov8_nano_64$dispatch_15_silu_s8,,,1.164550000,ms,1164550.000,0,,firesim_measured,silu_s8,,1164550
16,yolov8_nano_64$dispatch_16_add_s8,,,0.316088000,ms,316088.000,0,,firesim_measured,add_s8,,316088
17,yolov8_nano_64$dispatch_17_cat3_c1_s8,,,0.753906000,ms,753906.000,0,,firesim_measured,cat3_c1_s8,,753906
18,yolov8_nano_64$dispatch_18_conv2d_s8,,,0.445057000,ms,445057.000,0,,firesim_measured,conv2d_s8,,445057
19,yolov8_nano_64$dispatch_19_batchnorm2d_s8,,,0.660697000,ms,660697.000,0,,firesim_measured,batchnorm2d_s8,,660697
20,yolov8_nano_64$dispatch_20_silu_s8,,,2.299441000,ms,2299441.000,0,,firesim_measured,silu_s8,,2299441
21,yolov8_nano_64$dispatch_21_conv2d_s8,,,0.248453000,ms,248453.000,0,,firesim_measured,conv2d_s8,,248453
22,yolov8_nano_64$dispatch_22_batchnorm2d_s8,,,0.340078000,ms,340078.000,0,,firesim_measured,batchnorm2d_s8,,340078
23,yolov8_nano_64$dispatch_23_silu_s8,,,1.133665000,ms,1133665.000,0,,firesim_measured,silu_s8,,1133665
24,yolov8_nano_64$dispatch_24_conv2d_s8,,,0.180439000,ms,180439.000,0,,firesim_measured,conv2d_s8,,180439
25,yolov8_nano_64$dispatch_25_batchnorm2d_s8,,,0.338715000,ms,338715.000,0,,firesim_measured,batchnorm2d_s8,,338715
26,yolov8_nano_64$dispatch_26_silu_s8,,,1.134839000,ms,1134839.000,0,,firesim_measured,silu_s8,,1134839
27,yolov8_nano_64$dispatch_27_chunk2_c1,,,0.000000000,ms,0.000,0,,zero_cost_by_construction,chunk2_c1,,0
28,yolov8_nano_64$dispatch_28_conv2d_s8,,,0.147350000,ms,147350.000,0,,firesim_measured,conv2d_s8,,147350
29,yolov8_nano_64$dispatch_29_batchnorm2d_s8,,,0.169059000,ms,169059.000,0,,firesim_measured,batchnorm2d_s8,,169059
30,yolov8_nano_64$dispatch_30_silu_s8,,,0.540820000,ms,540820.000,0,,firesim_measured,silu_s8,,540820
31,yolov8_nano_64$dispatch_31_conv2d_s8,,,0.147261000,ms,147261.000,0,,firesim_measured,conv2d_s8,,147261
32,yolov8_nano_64$dispatch_32_batchnorm2d_s8,,,0.168155000,ms,168155.000,0,,firesim_measured,batchnorm2d_s8,,168155
33,yolov8_nano_64$dispatch_33_silu_s8,,,0.553971000,ms,553971.000,0,,firesim_measured,silu_s8,,553971
