dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,fused_full$dispatch_0_gemmini_q31_conv2d_s8_N1xIC1xIH60xIW90xOC16xOH30xOW45xKH5xKW5xSH2xSW2xPH2xPW2,,,0.314124,ms,314124.000000,0,,firesim,conv2d_s8,N=1;IC=1;IH=60;IW=90;OC=16;OH=30;OW=45;KH=5;KW=5;SH=2;SW=2;PH=2;PW=2,314124
1,fused_full$dispatch_1_gemmini_q31_conv2d_s8_N1xIC16xIH30xIW45xOC32xOH15xOW23xKH3xKW3xSH2xSW2xPH1xPW1,,,0.320155,ms,320155.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=30;IW=45;OC=32;OH=15;OW=23;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,320155
2,fused_full$dispatch_2_gemmini_q31_conv2d_s8_N1xIC32xIH15xIW23xOC64xOH8xOW12xKH3xKW3xSH2xSW2xPH1xPW1,,,0.173463,ms,173463.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=15;IW=23;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,173463
3,fused_full$dispatch_3_gemmini_q31_conv2d_s8_N1xIC64xIH8xIW12xOC64xOH4xOW6xKH3xKW3xSH2xSW2xPH1xPW1,,,0.084710,ms,84710.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=4;OW=6;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,84710
4,fused_full$dispatch_4_gemmini_q31_cast_i8_to_f16_n1536,,,0.101982,ms,101982.000000,0,,firesim,cast_i8_to_f16,n=1536,101982
5,fused_full$dispatch_5_gemmini_q31_linear_f16_M1xK1536xN512,,,83.779735,ms,83779735.000000,0,,firesim,linear_f16,M=1;K=1536;N=512,83779735
6,fused_full$dispatch_6_gemmini_q31_conv2d_s8_N1xIC4xIH8xIW8xOC16xOH8xOW8xKH3xKW3xSH1xSW1xPH1xPW1,,,0.016934,ms,16934.000000,0,,firesim,conv2d_s8,N=1;IC=4;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,16934
7,fused_full$dispatch_7_gemmini_q31_conv2d_s8_N1xIC16xIH8xIW8xOC16xOH8xOW8xKH3xKW3xSH1xSW1xPH1xPW1,,,0.023211,ms,23211.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,23211
8,fused_full$dispatch_8_gemmini_q31_cast_i8_to_f16_n1024,,,0.072322,ms,72322.000000,0,,firesim,cast_i8_to_f16,n=1024,72322
9,fused_full$dispatch_9_gemmini_q31_linear_f16_M1xK1024xN64,,,6.938273,ms,6938273.000000,0,,firesim,linear_f16,M=1;K=1024;N=64,6938273
10,fused_full$dispatch_10_gemmini_q31_cast_i8_to_f16_n21,,,0.001910,ms,1910.000000,0,,firesim,cast_i8_to_f16,n=21,1910
11,fused_full$dispatch_11_gemmini_q31_cat3_c1_f16_N1xH1xW1xC_inputs512|64|21xC_total597,,,0.011861,ms,11861.000000,0,,firesim,cat3_c1_f16,N=1;H=1;W=1;C_inputs=512|64|21;C_total=597,11861
12,fused_full$dispatch_12_gemmini_q31_lstm_f16_in_size597xH128,,,126.498574,ms,126498574.000000,0,,firesim,lstm_f16,in_size=597;H=128,126498574
13,fused_full$dispatch_13_gemmini_q31_lstm_f16_in_size128xH128,,,41.269505,ms,41269505.000000,0,,firesim,lstm_f16,in_size=128;H=128,41269505
14,fused_full$dispatch_14_gemmini_q31_lstm_f16_in_size128xH128,,,41.333828,ms,41333828.000000,0,,firesim,lstm_f16,in_size=128;H=128,41333828
15,fused_full$dispatch_15_gemmini_q31_linear_f16_M1xK128xN2,,,0.027518,ms,27518.000000,0,,firesim,linear_f16,M=1;K=128;N=2,27518
