dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_conv2d_s8,,,62.220801000,ms,62220801.000,0,,firesim_measured,conv2d_s8,,62220801
1,dronet$dispatch_1_maxpool2d_s8,,,4.334165000,ms,4334165.000,0,,firesim_measured,maxpool2d_s8,,4334165
2,dronet$dispatch_2_batchnorm2d_s8,,,1.861717000,ms,1861717.000,0,,firesim_measured,batchnorm2d_s8,,1861717
3,dronet$dispatch_3_conv2d_batchnorm2d_s8,,,0.205330000,ms,205330.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,205330
4,dronet$dispatch_4_conv2d_s8,,,39.179623000,ms,39179623.000,0,,firesim_measured,conv2d_s8,,39179623
5,dronet$dispatch_5_conv2d_s8,,,0.511608000,ms,511608.000,0,,firesim_measured,conv2d_s8,,511608
6,dronet$dispatch_6_add_s8,,,0.053195000,ms,53195.000,0,,firesim_measured,add_s8,,53195
7,dronet$dispatch_7_batchnorm2d_s8,,,38.909876000,ms,38909876.000,0,,firesim_measured,batchnorm2d_s8,,38909876
8,dronet$dispatch_8_conv2d_batchnorm2d_s8,,,6.833723000,ms,6833723.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,6833723
9,dronet$dispatch_9_conv2d_s8,,,0.502570000,ms,502570.000,0,,firesim_measured,conv2d_s8,,502570
10,dronet$dispatch_10_conv2d_s8,,,0.509526000,ms,509526.000,0,,firesim_measured,conv2d_s8,,509526
11,dronet$dispatch_11_add_s8,,,0.053541000,ms,53541.000,0,,firesim_measured,add_s8,,53541
12,dronet$dispatch_12_batchnorm2d_s8,,,18.947110000,ms,18947110.000,0,,firesim_measured,batchnorm2d_s8,,18947110
13,dronet$dispatch_13_conv2d_batchnorm2d_s8,,,0.261896000,ms,261896.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,261896
14,dronet$dispatch_14_conv2d_s8,,,0.026581000,ms,26581.000,0,,firesim_measured,conv2d_s8,,26581
15,dronet$dispatch_15_conv2d_s8,,,38.380129000,ms,38380129.000,0,,firesim_measured,conv2d_s8,,38380129
16,dronet$dispatch_16_add_s8,,,3.321473000,ms,3321473.000,0,,firesim_measured,add_s8,,3321473
17,dronet$dispatch_17_relu_s8,,,0.251448000,ms,251448.000,0,,firesim_measured,relu_s8,,251448
18,dronet$dispatch_18_linear_s8,,,0.260192000,ms,260192.000,0,,firesim_measured,linear_s8,,260192
19,dronet$dispatch_19_linear_s8,,,0.026472000,ms,26472.000,0,,firesim_measured,linear_s8,,26472
20,dronet$dispatch_20_sigmoid_s8,,,24.811057000,ms,24811057.000,0,,firesim_measured,sigmoid_s8,,24811057
