dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,attn_block$dispatch_0_ime_x60_layernorm_s8_M8xK32,,,0.020583,ms,20583.333333,0,,k1,layernorm_s8,M=8;K=32,494,6,0.91,reference
1,attn_block$dispatch_1_ime_x60_linear_s8_M8xK32xN32,,,0.014250,ms,14250.000000,0,,k1,linear_s8,M=8;K=32;N=32,342,6,1.87,curated[ime]/ime_vmadot_4x4x8
2,attn_block$dispatch_2_ime_x60_sin_s8_n256,,,0.017458,ms,17458.333333,0,,k1,sin_s8,n=256,419,6,1.82,curated[rvv]/rvv_memo_lut_gather
3,attn_block$dispatch_3_ime_x60_cos_s8_n256,,,0.016542,ms,16541.666667,0,,k1,cos_s8,n=256,397,6,0.66,curated[rvv]/rvv_memo_lut_gather
4,attn_block$dispatch_4_ime_x60_mul_s8_n256,,,0.001375,ms,1375.000000,0,,k1,mul_s8,n=256,33,6,1.24,curated[rvv]/rvv_frm_rmm
5,attn_block$dispatch_5_ime_x60_linear_s8_M8xK32xN32,,,0.014250,ms,14250.000000,0,,k1,linear_s8,M=8;K=32;N=32,342,6,149.1,curated[ime]/ime_vmadot_4x4x8
6,attn_block$dispatch_6_ime_x60_mul_s8_n256,,,0.001375,ms,1375.000000,0,,k1,mul_s8,n=256,33,6,2.98,curated[rvv]/rvv_frm_rmm
7,attn_block$dispatch_7_ime_x60_linear_s8_M8xK32xN32,,,0.014042,ms,14041.666667,0,,k1,linear_s8,M=8;K=32;N=32,337,6,0.69,curated[ime]/ime_vmadot_4x4x8
8,attn_block$dispatch_8_ime_x60_mul_s8_n256,,,0.001375,ms,1375.000000,0,,k1,mul_s8,n=256,33,6,0.0,curated[rvv]/rvv_frm_rmm
9,attn_block$dispatch_9_ime_x60_linear_s8_M8xK32xN32,,,0.013958,ms,13958.333333,0,,k1,linear_s8,M=8;K=32;N=32,335,6,2.57,curated[ime]/ime_vmadot_4x4x8
10,attn_block$dispatch_10_ime_x60_matmul_s8_M8xK32xN8xtranspose_b1,,,0.005458,ms,5458.333333,0,,k1,matmul_s8,M=8;K=32;N=8;transpose_b=1,131,6,2.91,curated[ime]/ime_vmadot_4x4x8
11,attn_block$dispatch_11_ime_x60_softmax_s8_M8xK8,,,0.009375,ms,9375.000000,0,,k1,softmax_s8,M=8;K=8,225,6,0.77,reference
12,attn_block$dispatch_12_ime_x60_matmul_s8_M8xK8xN32xtranspose_b0,,,0.015583,ms,15583.333333,0,,k1,matmul_s8,M=8;K=8;N=32;transpose_b=0,374,6,0.11,curated[ime]/ime_vmadot_4x4x8
13,attn_block$dispatch_13_ime_x60_linear_s8_M8xK32xN32,,,0.014000,ms,14000.000000,0,,k1,linear_s8,M=8;K=32;N=32,336,6,1.8,curated[ime]/ime_vmadot_4x4x8
