dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,attn_block$dispatch_0_rvv_x60_layernorm_s8_M8xK32,,,0.030792,ms,30791.666667,0,,k1,layernorm_s8,M=8;K=32,739,1,,reference
1,attn_block$dispatch_1_rvv_x60_linear_s8_M8xK32xN32,,,0.015792,ms,15791.666667,0,,k1,linear_s8,M=8;K=32;N=32,379,1,,curated[rvv]/direct
2,attn_block$dispatch_2_rvv_x60_sin_s8_n256,,,0.039958,ms,39958.333333,0,,k1,sin_s8,n=256,959,1,,reference
3,attn_block$dispatch_3_rvv_x60_cos_s8_n256,,,0.032042,ms,32041.666667,0,,k1,cos_s8,n=256,769,1,,reference
4,attn_block$dispatch_4_rvv_x60_mul_s8_n256,,,0.014375,ms,14375.000000,0,,k1,mul_s8,n=256,345,1,,reference
5,attn_block$dispatch_5_rvv_x60_linear_s8_M8xK32xN32,,,0.014667,ms,14666.666667,0,,k1,linear_s8,M=8;K=32;N=32,352,1,,curated[rvv]/direct
6,attn_block$dispatch_6_rvv_x60_mul_s8_n256,,,0.013625,ms,13625.000000,0,,k1,mul_s8,n=256,327,1,,reference
7,attn_block$dispatch_7_rvv_x60_linear_s8_M8xK32xN32,,,0.012833,ms,12833.333333,0,,k1,linear_s8,M=8;K=32;N=32,308,1,,curated[rvv]/direct
8,attn_block$dispatch_8_rvv_x60_mul_s8_n256,,,0.013625,ms,13625.000000,0,,k1,mul_s8,n=256,327,1,,reference
9,attn_block$dispatch_9_rvv_x60_linear_s8_M8xK32xN32,,,0.013875,ms,13875.000000,0,,k1,linear_s8,M=8;K=32;N=32,333,1,,curated[rvv]/direct
10,attn_block$dispatch_10_rvv_x60_matmul_s8_M8xK32xN8xtranspose_b1,,,0.007250,ms,7250.000000,0,,k1,matmul_s8,M=8;K=32;N=8;transpose_b=1,174,1,,curated[rvv]/rvv_k_reduce_n_lanes
11,attn_block$dispatch_11_rvv_x60_softmax_s8_M8xK8,,,0.010625,ms,10625.000000,0,,k1,softmax_s8,M=8;K=8,255,1,,reference
12,attn_block$dispatch_12_rvv_x60_matmul_s8_M8xK8xN32xtranspose_b0,,,0.012208,ms,12208.333333,0,,k1,matmul_s8,M=8;K=8;N=32;transpose_b=0,293,1,,curated[rvv]/rvv_k_reduce_n_lanes
13,attn_block$dispatch_13_rvv_x60_linear_s8_M8xK32xN32,,,0.012500,ms,12500.000000,0,,k1,linear_s8,M=8;K=32;N=32,300,1,,curated[rvv]/direct
