dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,dronet$dispatch_0_rvv_x60_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,1.944958,ms,1944958.333333,0,,k1,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,46679,6,1.51,curated[rvv]/rvv_vsmul_vnclip
1,dronet$dispatch_1_rvv_x60_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,0.721458,ms,721458.333333,0,,k1,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,17315,6,3.69,curated[rvv]/direct
2,dronet$dispatch_2_rvv_x60_batchnorm2d_s8_N1xC32xH27xW27,,,0.031500,ms,31500.000000,0,,k1,batchnorm2d_s8,N=1;C=32;H=27;W=27,756,6,2.46,curated[rvv]/direct
3,dronet$dispatch_3_rvv_x60_conv2d_batchnorm2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,1.147667,ms,1147666.666667,0,,k1,conv2d_batchnorm2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,27544,6,2.13,curated[rvv]/rvv_oc_blocked_bn_epilogue
4,dronet$dispatch_4_rvv_x60_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,0.762750,ms,762750.000000,0,,k1,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,18306,6,1.82,curated[rvv]/rvv_vsmul_vnclip
5,dronet$dispatch_5_rvv_x60_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,0.178792,ms,178791.666667,0,,k1,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4291,6,5.46,curated[rvv]/rvv_vsmul_vnclip
6,dronet$dispatch_6_rvv_x60_add_s8_n6272,,,0.033292,ms,33291.666667,0,,k1,add_s8,n=6272,799,6,0.3,curated[rvv]/rvv_frm_rmm
7,dronet$dispatch_7_rvv_x60_batchnorm2d_s8_N1xC32xH14xW14,,,0.010750,ms,10750.000000,0,,k1,batchnorm2d_s8,N=1;C=32;H=14;W=14,258,6,1.12,curated[rvv]/direct
8,dronet$dispatch_8_rvv_x60_conv2d_batchnorm2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,0.577000,ms,577000.000000,0,,k1,conv2d_batchnorm2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,13848,6,0.14,curated[rvv]/rvv_oc_blocked_bn_epilogue
9,dronet$dispatch_9_rvv_x60_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,0.940958,ms,940958.333333,0,,k1,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,22583,6,1.19,curated[rvv]/rvv_vsmul_vnclip
