dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,4.381458,ms,4381458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,105155,4,0.42,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
1,yolov8_nano$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,4.397208,ms,4397208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,105533,4,0.42,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
2,yolov8_nano$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,2.215667,ms,2215666.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,53176,4,0.46,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
4,yolov8_nano$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,3.770458,ms,3770458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,90491,4,0.32,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
5,yolov8_nano$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,3.762750,ms,3762750.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,90306,4,0.82,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
6,yolov8_nano$dispatch_6_rvv_x60_add_s8_n25600,,,0.138625,ms,138625.000000,0,,k1,add_s8,n=25600,3327,4,0.2,curated[rvv]/rvv_frm_rmm
7,yolov8_nano$dispatch_7_rvv_x60_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,0.103708,ms,103708.333333,0,,k1,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,2489,4,2.17,curated[rvv]/direct
8,yolov8_nano$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC48xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,2.900875,ms,2900875.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,69621,4,0.36,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
9,yolov8_nano$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH40xIW40xOC64xOH20xOW20xKH3xKW3xSH2xSW2xPH1xPW1,,,5.528625,ms,5528625.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,132687,4,0.25,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
10,yolov8_nano$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH20xIW20xOC64xOH20xOW20xKH1xKW1xSH1xSW1xPH0xPW0,,,2.650542,ms,2650541.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,63613,4,0.37,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
12,yolov8_nano$dispatch_12_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.225292,ms,2225291.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53407,4,1.68,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
13,yolov8_nano$dispatch_13_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.238042,ms,2238041.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53713,4,1.89,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
14,yolov8_nano$dispatch_14_rvv_x60_add_s8_n12800,,,0.067875,ms,67875.000000,0,,k1,add_s8,n=12800,1629,4,0.05,curated[rvv]/rvv_frm_rmm
15,yolov8_nano$dispatch_15_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.224500,ms,2224500.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53388,4,0.39,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
