dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,implementation
0,yolov8_nano$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,5.001542,ms,5001541.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,120037,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
1,yolov8_nano$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,4.494375,ms,4494375.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,107865,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
2,yolov8_nano$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.401042,ms,2401041.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,57625,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
4,yolov8_nano$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.869583,ms,3869583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,92870,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
5,yolov8_nano$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.812958,ms,3812958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,91511,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
6,yolov8_nano$dispatch_6_rvv_x60_add_s8_n25600,,,0.173333,ms,173333.333333,0,,k1,add_s8,n=25600,4160,curated[rvv]/rvv_frm_rmm
7,yolov8_nano$dispatch_7_rvv_x60_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,0.189333,ms,189333.333333,0,,k1,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,4544,curated[rvv]/direct
8,yolov8_nano$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.929083,ms,2929083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,70298,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
9,yolov8_nano$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,5.721333,ms,5721333.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,137312,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
10,yolov8_nano$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.602625,ms,2602625.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,62463,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
12,yolov8_nano$dispatch_12_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.447583,ms,2447583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,58742,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
13,yolov8_nano$dispatch_13_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.267250,ms,2267250.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,54414,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
14,yolov8_nano$dispatch_14_rvv_x60_add_s8_n12800,,,0.090167,ms,90166.666667,0,,k1,add_s8,n=12800,2164,curated[rvv]/rvv_frm_rmm
15,yolov8_nano$dispatch_15_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.258708,ms,2258708.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,54209,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
16,yolov8_nano$dispatch_16_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.245083,ms,2245083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,53882,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
17,yolov8_nano$dispatch_17_rvv_x60_add_s8_n12800,,,0.096917,ms,96916.666667,0,,k1,add_s8,n=12800,2326,curated[rvv]/rvv_frm_rmm
18,yolov8_nano$dispatch_18_rvv_x60_cat4_c1_s8_N1xH20xW20xC_inputs32|32|32|32xC_total128,,,0.113875,ms,113875.000000,0,,k1,cat4_c1_s8,N=1;H=20;W=20;C_inputs=32|32|32|32;C_total=128,2733,curated[rvv]/direct
19,yolov8_nano$dispatch_19_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,4.444083,ms,4444083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,106658,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
20,yolov8_nano$dispatch_20_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,5.071500,ms,5071500.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,121716,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
21,yolov8_nano$dispatch_21_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.338292,ms,2338291.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,56119,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
23,yolov8_nano$dispatch_23_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.733167,ms,2733166.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,65596,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
24,yolov8_nano$dispatch_24_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.408792,ms,2408791.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,57811,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
25,yolov8_nano$dispatch_25_rvv_x60_add_s8_n6400,,,0.042167,ms,42166.666667,0,,k1,add_s8,n=6400,1012,curated[rvv]/rvv_frm_rmm
26,yolov8_nano$dispatch_26_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.592250,ms,2592250.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,62214,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
27,yolov8_nano$dispatch_27_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.496417,ms,2496416.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,59914,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
28,yolov8_nano$dispatch_28_rvv_x60_add_s8_n6400,,,0.049333,ms,49333.333333,0,,k1,add_s8,n=6400,1184,curated[rvv]/rvv_frm_rmm
29,yolov8_nano$dispatch_29_rvv_x60_cat4_c1_s8_N1xH10xW10xC_inputs64|64|64|64xC_total256,,,0.058875,ms,58875.000000,0,,k1,cat4_c1_s8,N=1;H=10;W=10;C_inputs=64|64|64|64;C_total=256,1413,curated[rvv]/direct
30,yolov8_nano$dispatch_30_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,4.042333,ms,4042333.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,97016,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
31,yolov8_nano$dispatch_31_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,5.111125,ms,5111125.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,122667,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
32,yolov8_nano$dispatch_32_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,1.907458,ms,1907458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,45779,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
34,yolov8_nano$dispatch_34_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.645000,ms,2645000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,63480,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
35,yolov8_nano$dispatch_35_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.415333,ms,2415333.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,57968,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
36,yolov8_nano$dispatch_36_rvv_x60_add_s8_n3200,,,0.028250,ms,28250.000000,0,,k1,add_s8,n=3200,678,curated[rvv]/rvv_frm_rmm
37,yolov8_nano$dispatch_37_rvv_x60_cat3_c1_s8_N1xH5xW5xC_inputs128|128|128xC_total384,,,0.036500,ms,36500.000000,0,,k1,cat3_c1_s8,N=1;H=5;W=5;C_inputs=128|128|128;C_total=384,876,curated[rvv]/direct
38,yolov8_nano$dispatch_38_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.426083,ms,2426083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,58226,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
39,yolov8_nano$dispatch_39_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,1.058958,ms,1058958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,25415,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
40,yolov8_nano$dispatch_40_rvv_x60_maxpool2d_s8_N1xC128xIH5xIW5xOH5xOW5xKH5xKW5xSH1xSW1xPH2xPW2xDH1xDW1,,,0.501792,ms,501791.666667,0,,k1,maxpool2d_s8,N=1;C=128;IH=5;IW=5;OH=5;OW=5;KH=5;KW=5;SH=1;SW=1;PH=2;PW=2;DH=1;DW=1,12043,curated[rvv]/direct
41,yolov8_nano$dispatch_41_rvv_x60_maxpool2d_s8_N1xC128xIH5xIW5xOH5xOW5xKH5xKW5xSH1xSW1xPH2xPW2xDH1xDW1,,,0.456167,ms,456166.666667,0,,k1,maxpool2d_s8,N=1;C=128;IH=5;IW=5;OH=5;OW=5;KH=5;KW=5;SH=1;SW=1;PH=2;PW=2;DH=1;DW=1,10948,curated[rvv]/direct
42,yolov8_nano$dispatch_42_rvv_x60_maxpool2d_s8_N1xC128xIH5xIW5xOH5xOW5xKH5xKW5xSH1xSW1xPH2xPW2xDH1xDW1,,,0.447667,ms,447666.666667,0,,k1,maxpool2d_s8,N=1;C=128;IH=5;IW=5;OH=5;OW=5;KH=5;KW=5;SH=1;SW=1;PH=2;PW=2;DH=1;DW=1,10744,curated[rvv]/direct
43,yolov8_nano$dispatch_43_rvv_x60_cat4_c1_s8_N1xH5xW5xC_inputs128|128|128|128xC_total512,,,0.040583,ms,40583.333333,0,,k1,cat4_c1_s8,N=1;H=5;W=5;C_inputs=128|128|128|128;C_total=512,974,curated[rvv]/direct
44,yolov8_nano$dispatch_44_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.094458,ms,3094458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,74267,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
45,yolov8_nano$dispatch_45_rvv_x60_upsample_nearest_s8_N1xC256xIH5xIW5xscale2,,,0.188958,ms,188958.333333,0,,k1,upsample_nearest_s8,N=1;C=256;IH=5;IW=5;scale=2,4535,curated[rvv]/direct
46,yolov8_nano$dispatch_46_rvv_x60_cat2_c1_s8_N1xH10xW10xC_inputs256|128xC_total384,,,0.131000,ms,131000.000000,0,,k1,cat2_c1_s8,N=1;H=10;W=10;C_inputs=256|128;C_total=384,3144,curated[rvv]/direct
47,yolov8_nano$dispatch_47_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,6.265792,ms,6265791.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,150379,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
49,yolov8_nano$dispatch_49_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.547000,ms,2547000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,61128,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
50,yolov8_nano$dispatch_50_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.567958,ms,2567958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,61631,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
51,yolov8_nano$dispatch_51_rvv_x60_cat3_c1_s8_N1xH10xW10xC_inputs64|64|64xC_total192,,,0.062667,ms,62666.666667,0,,k1,cat3_c1_s8,N=1;H=10;W=10;C_inputs=64|64|64;C_total=192,1504,curated[rvv]/direct
52,yolov8_nano$dispatch_52_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.322500,ms,3322500.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,79740,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
53,yolov8_nano$dispatch_53_rvv_x60_upsample_nearest_s8_N1xC128xIH10xIW10xscale2,,,0.328708,ms,328708.333333,0,,k1,upsample_nearest_s8,N=1;C=128;IH=10;IW=10;scale=2,7889,curated[rvv]/direct
54,yolov8_nano$dispatch_54_rvv_x60_cat2_c1_s8_N1xH20xW20xC_inputs128|64xC_total192,,,0.215042,ms,215041.666667,0,,k1,cat2_c1_s8,N=1;H=20;W=20;C_inputs=128|64;C_total=192,5161,curated[rvv]/direct
55,yolov8_nano$dispatch_55_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,6.967917,ms,6967916.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,167230,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
57,yolov8_nano$dispatch_57_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.230000,ms,2230000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,53520,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
58,yolov8_nano$dispatch_58_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.301250,ms,2301250.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,55230,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
59,yolov8_nano$dispatch_59_rvv_x60_cat3_c1_s8_N1xH20xW20xC_inputs32|32|32xC_total96,,,0.095625,ms,95625.000000,0,,k1,cat3_c1_s8,N=1;H=20;W=20;C_inputs=32|32|32;C_total=96,2295,curated[rvv]/direct
60,yolov8_nano$dispatch_60_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.453375,ms,3453375.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,82881,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
61,yolov8_nano$dispatch_61_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.564083,ms,2564083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,61538,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
62,yolov8_nano$dispatch_62_rvv_x60_cat2_c1_s8_N1xH10xW10xC_inputs64|128xC_total192,,,0.077292,ms,77291.666667,0,,k1,cat2_c1_s8,N=1;H=10;W=10;C_inputs=64|128;C_total=192,1855,curated[rvv]/direct
63,yolov8_nano$dispatch_63_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.259667,ms,3259666.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,78232,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
65,yolov8_nano$dispatch_65_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.858667,ms,2858666.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,68608,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
66,yolov8_nano$dispatch_66_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.564875,ms,2564875.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,61557,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
67,yolov8_nano$dispatch_67_rvv_x60_cat3_c1_s8_N1xH10xW10xC_inputs64|64|64xC_total192,,,0.070917,ms,70916.666667,0,,k1,cat3_c1_s8,N=1;H=10;W=10;C_inputs=64|64|64;C_total=192,1702,curated[rvv]/direct
68,yolov8_nano$dispatch_68_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,3.275875,ms,3275875.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,78621,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
69,yolov8_nano$dispatch_69_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.335583,ms,2335583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,56054,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
70,yolov8_nano$dispatch_70_rvv_x60_cat2_c1_s8_N1xH5xW5xC_inputs128|256xC_total384,,,0.045875,ms,45875.000000,0,,k1,cat2_c1_s8,N=1;H=5;W=5;C_inputs=128|256;C_total=384,1101,curated[rvv]/direct
71,yolov8_nano$dispatch_71_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.662208,ms,2662208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,63893,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
73,yolov8_nano$dispatch_73_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.635333,ms,2635333.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,63248,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
74,yolov8_nano$dispatch_74_rvv_x60_conv2d_batchnorm2d_silu_s8_noshape,,,2.244000,ms,2244000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,53856,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
