dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,4.328750,ms,4328750.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,103890,4,1.43,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
1,yolov8_nano$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,4.376417,ms,4376416.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,105034,4,1.74,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
2,yolov8_nano$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,2.208708,ms,2208708.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,53009,4,0.53,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
4,yolov8_nano$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,3.795042,ms,3795041.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,91081,4,1.46,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
5,yolov8_nano$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,3.758083,ms,3758083.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,90194,4,0.36,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
6,yolov8_nano$dispatch_6_rvv_x60_add_s8_n25600,,,0.138625,ms,138625.000000,0,,k1,add_s8,n=25600,3327,4,0.44,curated[rvv]/rvv_frm_rmm
7,yolov8_nano$dispatch_7_rvv_x60_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,0.102958,ms,102958.333333,0,,k1,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,2471,4,1.13,curated[rvv]/direct
8,yolov8_nano$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC48xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,2.899042,ms,2899041.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,69577,4,1.21,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
9,yolov8_nano$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH40xIW40xOC64xOH20xOW20xKH3xKW3xSH2xSW2xPH1xPW1,,,5.567458,ms,5567458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,133619,4,0.14,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
10,yolov8_nano$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH20xIW20xOC64xOH20xOW20xKH1xKW1xSH1xSW1xPH0xPW0,,,2.638250,ms,2638250.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,63318,4,0.06,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
12,yolov8_nano$dispatch_12_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.264750,ms,2264750.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,54354,4,0.4,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
13,yolov8_nano$dispatch_13_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.226250,ms,2226250.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53430,4,0.43,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
14,yolov8_nano$dispatch_14_rvv_x60_add_s8_n12800,,,0.067792,ms,67791.666667,0,,k1,add_s8,n=12800,1627,4,0.19,curated[rvv]/rvv_frm_rmm
15,yolov8_nano$dispatch_15_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.237000,ms,2237000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53688,4,0.49,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
16,yolov8_nano$dispatch_16_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH20xIW20xOC32xOH20xOW20xKH3xKW3xSH1xSW1xPH1xPW1,,,2.235333,ms,2235333.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53648,4,1.53,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
17,yolov8_nano$dispatch_17_rvv_x60_add_s8_n12800,,,0.067750,ms,67750.000000,0,,k1,add_s8,n=12800,1626,4,0.22,curated[rvv]/rvv_frm_rmm
18,yolov8_nano$dispatch_18_rvv_x60_cat4_c1_s8_N1xH20xW20xC_inputs32|32|32|32xC_total128,,,0.068417,ms,68416.666667,0,,k1,cat4_c1_s8,N=1;H=20;W=20;C_inputs=32|32|32|32;C_total=128,1642,4,1.76,curated[rvv]/direct
19,yolov8_nano$dispatch_19_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC128xIH20xIW20xOC64xOH20xOW20xKH1xKW1xSH1xSW1xPH0xPW0,,,4.565208,ms,4565208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,109565,4,0.48,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
20,yolov8_nano$dispatch_20_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH20xIW20xOC128xOH10xOW10xKH3xKW3xSH2xSW2xPH1xPW1,,,4.959833,ms,4959833.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=20;IW=20;OC=128;OH=10;OW=10;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,119036,4,1.33,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
