dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,49.546125,ms,49546125.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1189107,4,0.22,reference
1,yolov8_nano$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,99.691458,ms,99691458.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2392595,4,1.47,reference
2,yolov8_nano$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,45.362958,ms,45362958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1088711,4,3.3,reference
4,yolov8_nano$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,46.968000,ms,46968000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1127232,4,0.15,reference
5,yolov8_nano$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,46.999833,ms,46999833.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1127996,4,0.09,reference
6,yolov8_nano$dispatch_6_rvv_x60_add_s8_n25600,,,0.137958,ms,137958.333333,0,,k1,add_s8,n=25600,3311,4,0.08,curated[rvv]/rvv_frm_rmm
7,yolov8_nano$dispatch_7_rvv_x60_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,0.105875,ms,105875.000000,0,,k1,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,2541,4,0.79,curated[rvv]/direct
8,yolov8_nano$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC48xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,63.645292,ms,63645291.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1527487,4,0.08,reference
9,yolov8_nano$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH40xIW40xOC64xOH20xOW20xKH3xKW3xSH2xSW2xPH1xPW1,,,93.765833,ms,93765833.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2250380,4,0.09,reference
10,yolov8_nano$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH20xIW20xOC64xOH20xOW20xKH1xKW1xSH1xSW1xPH0xPW0,,,38.646292,ms,38646291.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,927511,4,0.38,reference
