dispatch_id,module_name,mean_time,mean_unit,mean_time_ns,returncode,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation,name
0,yolov8_nano$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8,1.101625,ms,1101625.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=64;IW=96;OC=16;OH=32;OW=48;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,26439,5,3.08,curated[rvv],l0.conv
1,yolov8_nano$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8,1.394500,ms,1394500.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=32;IW=48;OC=32;OH=16;OW=24;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,33468,5,2.03,curated[rvv],l1.conv
2,yolov8_nano$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8,0.897792,ms,897791.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=16;IW=24;OC=32;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,21547,5,1.94,curated[rvv],l2.cv1.conv
4,yolov8_nano$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8,1.091958,ms,1091958.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=16;IW=24;OC=16;OH=16;OW=24;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,26207,5,1.63,curated[rvv],l2.m0.cv1.conv
5,yolov8_nano$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8,1.089458,ms,1089458.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=16;IW=24;OC=16;OH=16;OW=24;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,26147,5,1.37,curated[rvv],l2.m0.cv2.conv
6,yolov8_nano$dispatch_6_rvv_x60_add_s8,0.033375,ms,33375.000,0,k1,add_s8,n=6144,801,5,0.51,curated[rvv],add
7,yolov8_nano$dispatch_7_rvv_x60_cat3_c1_s8,0.021042,ms,21041.667,0,k1,cat3_c1_s8,N=1;H=16;W=24;C_inputs=16|16|16;C_total=48,505,5,2.54,curated[rvv],cat
8,yolov8_nano$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8,1.041792,ms,1041791.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=16;IW=24;OC=32;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,25003,5,4.24,curated[rvv],l2.cv2.conv
9,yolov8_nano$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8,1.218375,ms,1218375.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=16;IW=24;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,29241,5,1.37,curated[rvv],l3.conv
10,yolov8_nano$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8,0.666792,ms,666791.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=8;OW=12;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,16003,5,1.63,curated[rvv],l4.cv1.conv
12,yolov8_nano$dispatch_12_rvv_x60_conv2d_batchnorm2d_silu_s8,0.576167,ms,576166.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13828,5,0.13,curated[rvv],l4.m0.cv1.conv
13,yolov8_nano$dispatch_13_rvv_x60_conv2d_batchnorm2d_silu_s8,0.574250,ms,574250.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13782,5,1.64,curated[rvv],l4.m0.cv2.conv
14,yolov8_nano$dispatch_14_rvv_x60_add_s8,0.016167,ms,16166.667,0,k1,add_s8,n=3072,388,5,0.56,curated[rvv],add_1
15,yolov8_nano$dispatch_15_rvv_x60_conv2d_batchnorm2d_silu_s8,0.574667,ms,574666.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13792,5,1.30,curated[rvv],l4.m1.cv1.conv
16,yolov8_nano$dispatch_16_rvv_x60_conv2d_batchnorm2d_silu_s8,0.575042,ms,575041.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13801,5,0.04,curated[rvv],l4.m1.cv2.conv
17,yolov8_nano$dispatch_17_rvv_x60_add_s8,0.015917,ms,15916.667,0,k1,add_s8,n=3072,382,5,0.74,curated[rvv],add_2
18,yolov8_nano$dispatch_18_rvv_x60_cat4_c1_s8,0.013667,ms,13666.667,0,k1,cat4_c1_s8,N=1;H=8;W=12;C_inputs=32|32|32|32;C_total=128,328,5,1.25,curated[rvv],cat_1
19,yolov8_nano$dispatch_19_rvv_x60_conv2d_batchnorm2d_silu_s8,0.952417,ms,952416.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=8;IW=12;OC=64;OH=8;OW=12;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,22858,5,1.35,curated[rvv],l4.cv2.conv
20,yolov8_nano$dispatch_20_rvv_x60_conv2d_batchnorm2d_silu_s8,1.122667,ms,1122666.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=8;IW=12;OC=128;OH=4;OW=6;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,26944,5,1.26,curated[rvv],l5.conv
