dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_scalar_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,32.778458,ms,32778458.333333,0,,k1,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,786683
1,dronet$dispatch_1_scalar_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,1.497958,ms,1497958.333333,0,,k1,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,35951
2,dronet$dispatch_2_scalar_batchnorm2d_s8_N1xC32xH27xW27,,,1.280750,ms,1280750.000000,0,,k1,batchnorm2d_s8,N=1;C=32;H=27;W=27,30738
3,dronet$dispatch_3_scalar_conv2d_batchnorm2d_s8_scalar,,,22.467750,ms,22467750.000000,0,,k1,conv2d_batchnorm2d_s8,,539226
4,dronet$dispatch_4_scalar_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,19.743708,ms,19743708.333333,0,,k1,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,473849
5,dronet$dispatch_5_scalar_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,4.133417,ms,4133416.666667,0,,k1,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,99202
6,dronet$dispatch_6_scalar_add_s8_n6272,,,0.341958,ms,341958.333333,0,,k1,add_s8,n=6272,8207
7,dronet$dispatch_7_scalar_batchnorm2d_s8_N1xC32xH14xW14,,,0.349667,ms,349666.666667,0,,k1,batchnorm2d_s8,N=1;C=32;H=14;W=14,8392
8,dronet$dispatch_8_scalar_conv2d_batchnorm2d_s8_scalar,,,11.275625,ms,11275625.000000,0,,k1,conv2d_batchnorm2d_s8,,270615
9,dronet$dispatch_9_scalar_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,19.397917,ms,19397916.666667,0,,k1,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,465550
10,dronet$dispatch_10_scalar_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,2.011708,ms,2011708.333333,0,,k1,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,48281
11,dronet$dispatch_11_scalar_add_s8_n3136,,,0.177875,ms,177875.000000,0,,k1,add_s8,n=3136,4269
12,dronet$dispatch_12_scalar_batchnorm2d_s8_N1xC64xH7xW7,,,0.176000,ms,176000.000000,0,,k1,batchnorm2d_s8,N=1;C=64;H=7;W=7,4224
13,dronet$dispatch_13_scalar_conv2d_batchnorm2d_s8_scalar,,,14.054625,ms,14054625.000000,0,,k1,conv2d_batchnorm2d_s8,,337311
14,dronet$dispatch_14_scalar_conv2d_s8_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,24.995417,ms,24995416.666667,0,,k1,conv2d_s8,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,599890
15,dronet$dispatch_15_scalar_conv2d_s8_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,2.548458,ms,2548458.333333,0,,k1,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,61163
16,dronet$dispatch_16_scalar_add_s8_n2048,,,0.108750,ms,108750.000000,0,,k1,add_s8,n=2048,2610
17,dronet$dispatch_17_scalar_relu_s8_n2048,,,0.005375,ms,5375.000000,0,,k1,relu_s8,n=2048,129
18,dronet$dispatch_18_scalar_linear_s8_M1xK2048xN1,,,0.015542,ms,15541.666667,0,,k1,linear_s8,M=1;K=2048;N=1,373
19,dronet$dispatch_19_scalar_linear_s8_M1xK2048xN1,,,0.015208,ms,15208.333333,0,,k1,linear_s8,M=1;K=2048;N=1,365
20,dronet$dispatch_20_scalar_sigmoid_s8_n1,,,0.001208,ms,1208.333333,0,,k1,sigmoid_s8,n=1,29
