dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano$dispatch_0_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,53.747583,ms,53747583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,1289942
1,yolov8_nano$dispatch_1_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,105.731417,ms,105731416.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,2537554
2,yolov8_nano$dispatch_2_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,45.957792,ms,45957791.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,1102987
4,yolov8_nano$dispatch_4_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,51.033917,ms,51033916.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,1224814
5,yolov8_nano$dispatch_5_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,51.324000,ms,51324000.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,1231776
6,yolov8_nano$dispatch_6_scalar_add_s8_n25600,,,1.369333,ms,1369333.333333,0,,k1,add_s8,n=25600,32864
7,yolov8_nano$dispatch_7_scalar_cat3_c1_s8_N1xH40xW40xC_inputs16|16|16xC_total48,,,3.802292,ms,3802291.666667,0,,k1,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,91255
8,yolov8_nano$dispatch_8_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,63.864875,ms,63864875.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,1532757
9,yolov8_nano$dispatch_9_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,98.432875,ms,98432875.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,2362389
10,yolov8_nano$dispatch_10_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,38.877208,ms,38877208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,933053
12,yolov8_nano$dispatch_12_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,48.039375,ms,48039375.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,1152945
13,yolov8_nano$dispatch_13_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,47.988167,ms,47988166.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,1151716
14,yolov8_nano$dispatch_14_scalar_add_s8_n12800,,,0.688792,ms,688791.666667,0,,k1,add_s8,n=12800,16531
15,yolov8_nano$dispatch_15_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,47.819333,ms,47819333.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,1147664
16,yolov8_nano$dispatch_16_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,48.162667,ms,48162666.666667,0,,k1,conv2d_batchnorm2d_silu_s8,,1155904
17,yolov8_nano$dispatch_17_scalar_add_s8_n12800,,,0.692917,ms,692916.666667,0,,k1,add_s8,n=12800,16630
18,yolov8_nano$dispatch_18_scalar_cat4_c1_s8_N1xH20xW20xC_inputs32|32|32|32xC_total128,,,2.636792,ms,2636791.666667,0,,k1,cat4_c1_s8,N=1;H=20;W=20;C_inputs=32|32|32|32;C_total=128,63283
19,yolov8_nano$dispatch_19_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,73.928958,ms,73928958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,1774295
20,yolov8_nano$dispatch_20_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,93.799750,ms,93799750.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,2251194
21,yolov8_nano$dispatch_21_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,35.347625,ms,35347625.000000,0,,k1,conv2d_batchnorm2d_silu_s8,,848343
23,yolov8_nano$dispatch_23_scalar_conv2d_batchnorm2d_silu_s8_scalar,,,46.159208,ms,46159208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,,1107821
