dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_conv2d_s8,,,284.170520000,ms,284170520.000,0,,firesim_measured,conv2d_s8,,7104263
1,dronet$dispatch_1_maxpool2d_s8,,,173.850120000,ms,173850120.000,0,,firesim_measured,maxpool2d_s8,,4346253
2,dronet$dispatch_2_batchnorm2d_s8,,,74.542880000,ms,74542880.000,0,,firesim_measured,batchnorm2d_s8,,1863572
3,dronet$dispatch_3_conv2d_batchnorm2d_s8,,,8.242440000,ms,8242440.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,206061
4,dronet$dispatch_4_conv2d_s8,,,20.999000000,ms,20999000.000,0,,firesim_measured,conv2d_s8,,524975
5,dronet$dispatch_5_conv2d_s8,,,20.463800000,ms,20463800.000,0,,firesim_measured,conv2d_s8,,511595
6,dronet$dispatch_6_add_s8,,,2.134200000,ms,2134200.000,0,,firesim_measured,add_s8,,53355
7,dronet$dispatch_7_batchnorm2d_s8,,,16.958200000,ms,16958200.000,0,,firesim_measured,batchnorm2d_s8,,423955
8,dronet$dispatch_8_conv2d_batchnorm2d_s8,,,15.877280000,ms,15877280.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,396932
9,dronet$dispatch_9_conv2d_s8,,,20.116400000,ms,20116400.000,0,,firesim_measured,conv2d_s8,,502910
10,dronet$dispatch_10_conv2d_s8,,,20.425760000,ms,20425760.000,0,,firesim_measured,conv2d_s8,,510644
11,dronet$dispatch_11_add_s8,,,2.135040000,ms,2135040.000,0,,firesim_measured,add_s8,,53376
12,dronet$dispatch_12_batchnorm2d_s8,,,7.569200000,ms,7569200.000,0,,firesim_measured,batchnorm2d_s8,,189230
13,dronet$dispatch_13_conv2d_batchnorm2d_s8,,,10.491840000,ms,10491840.000,0,,firesim_measured,conv2d_batchnorm2d_s8,,262296
14,dronet$dispatch_14_conv2d_s8,,,1.067960000,ms,1067960.000,0,,firesim_measured,conv2d_s8,,26699
15,dronet$dispatch_15_conv2d_s8,,,7.639640000,ms,7639640.000,0,,firesim_measured,conv2d_s8,,190991
16,dronet$dispatch_16_add_s8,,,6.092480000,ms,6092480.000,0,,firesim_measured,add_s8,,152312
17,dronet$dispatch_17_relu_s8,,,10.062040000,ms,10062040.000,0,,firesim_measured,relu_s8,,251551
18,dronet$dispatch_18_linear_s8,,,10.461080000,ms,10461080.000,0,,firesim_measured,linear_s8,,261527
19,dronet$dispatch_19_linear_s8,,,1.061080000,ms,1061080.000,0,,firesim_measured,linear_s8,,26527
20,dronet$dispatch_20_sigmoid_s8,,,4.562160000,ms,4562160.000,0,,firesim_measured,sigmoid_s8,,114054
