dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano_64$dispatch_0_conv2d_s8,,,63.495120000,ms,63495120.000,0,,firesim_measured,conv2d_s8,,1587378
1,yolov8_nano_64$dispatch_1_batchnorm2d_s8,,,52.856920000,ms,52856920.000,0,,firesim_measured,batchnorm2d_s8,,1321423
2,yolov8_nano_64$dispatch_2_silu_s8,,,187.352440000,ms,187352440.000,0,,firesim_measured,silu_s8,,4683811
3,yolov8_nano_64$dispatch_3_conv2d_s8,,,24.382720000,ms,24382720.000,0,,firesim_measured,conv2d_s8,,609568
4,yolov8_nano_64$dispatch_4_batchnorm2d_s8,,,26.706160000,ms,26706160.000,0,,firesim_measured,batchnorm2d_s8,,667654
5,yolov8_nano_64$dispatch_5_silu_s8,,,91.017760000,ms,91017760.000,0,,firesim_measured,silu_s8,,2275444
6,yolov8_nano_64$dispatch_6_conv2d_s8,,,16.725520000,ms,16725520.000,0,,firesim_measured,conv2d_s8,,418138
7,yolov8_nano_64$dispatch_7_batchnorm2d_s8,,,26.523080000,ms,26523080.000,0,,firesim_measured,batchnorm2d_s8,,663077
8,yolov8_nano_64$dispatch_8_silu_s8,,,91.221400000,ms,91221400.000,0,,firesim_measured,silu_s8,,2280535
9,yolov8_nano_64$dispatch_9_chunk2_c1,,,0.000000000,ms,0.000,0,,zero_cost_by_construction,chunk2_c1,,0
10,yolov8_nano_64$dispatch_10_conv2d_s8,,,15.238000000,ms,15238000.000,0,,firesim_measured,conv2d_s8,,380950
11,yolov8_nano_64$dispatch_11_batchnorm2d_s8,,,13.243440000,ms,13243440.000,0,,firesim_measured,batchnorm2d_s8,,331086
12,yolov8_nano_64$dispatch_12_silu_s8,,,46.432960000,ms,46432960.000,0,,firesim_measured,silu_s8,,1160824
13,yolov8_nano_64$dispatch_13_conv2d_s8,,,15.368240000,ms,15368240.000,0,,firesim_measured,conv2d_s8,,384206
14,yolov8_nano_64$dispatch_14_batchnorm2d_s8,,,13.180040000,ms,13180040.000,0,,firesim_measured,batchnorm2d_s8,,329501
15,yolov8_nano_64$dispatch_15_silu_s8,,,46.582000000,ms,46582000.000,0,,firesim_measured,silu_s8,,1164550
16,yolov8_nano_64$dispatch_16_add_s8,,,12.643520000,ms,12643520.000,0,,firesim_measured,add_s8,,316088
17,yolov8_nano_64$dispatch_17_cat3_c1_s8,,,30.156240000,ms,30156240.000,0,,firesim_measured,cat3_c1_s8,,753906
18,yolov8_nano_64$dispatch_18_conv2d_s8,,,17.802280000,ms,17802280.000,0,,firesim_measured,conv2d_s8,,445057
19,yolov8_nano_64$dispatch_19_batchnorm2d_s8,,,26.427880000,ms,26427880.000,0,,firesim_measured,batchnorm2d_s8,,660697
20,yolov8_nano_64$dispatch_20_silu_s8,,,91.977640000,ms,91977640.000,0,,firesim_measured,silu_s8,,2299441
21,yolov8_nano_64$dispatch_21_conv2d_s8,,,9.938120000,ms,9938120.000,0,,firesim_measured,conv2d_s8,,248453
22,yolov8_nano_64$dispatch_22_batchnorm2d_s8,,,13.603120000,ms,13603120.000,0,,firesim_measured,batchnorm2d_s8,,340078
23,yolov8_nano_64$dispatch_23_silu_s8,,,45.346600000,ms,45346600.000,0,,firesim_measured,silu_s8,,1133665
24,yolov8_nano_64$dispatch_24_conv2d_s8,,,7.217560000,ms,7217560.000,0,,firesim_measured,conv2d_s8,,180439
25,yolov8_nano_64$dispatch_25_batchnorm2d_s8,,,13.548600000,ms,13548600.000,0,,firesim_measured,batchnorm2d_s8,,338715
26,yolov8_nano_64$dispatch_26_silu_s8,,,45.393560000,ms,45393560.000,0,,firesim_measured,silu_s8,,1134839
27,yolov8_nano_64$dispatch_27_chunk2_c1,,,0.000000000,ms,0.000,0,,zero_cost_by_construction,chunk2_c1,,0
28,yolov8_nano_64$dispatch_28_conv2d_s8,,,5.894000000,ms,5894000.000,0,,firesim_measured,conv2d_s8,,147350
29,yolov8_nano_64$dispatch_29_batchnorm2d_s8,,,6.762360000,ms,6762360.000,0,,firesim_measured,batchnorm2d_s8,,169059
30,yolov8_nano_64$dispatch_30_silu_s8,,,21.632800000,ms,21632800.000,0,,firesim_measured,silu_s8,,540820
31,yolov8_nano_64$dispatch_31_conv2d_s8,,,5.890440000,ms,5890440.000,0,,firesim_measured,conv2d_s8,,147261
32,yolov8_nano_64$dispatch_32_batchnorm2d_s8,,,6.726200000,ms,6726200.000,0,,firesim_measured,batchnorm2d_s8,,168155
33,yolov8_nano_64$dispatch_33_silu_s8,,,22.158840000,ms,22158840.000,0,,firesim_measured,silu_s8,,553971
34,yolov8_nano_64$dispatch_34_add_s8,,,6.548320000,ms,6548320.000,0,,firesim_measured,add_s8,,163708
35,yolov8_nano_64$dispatch_35_conv2d_s8,,,5.875000000,ms,5875000.000,0,,firesim_measured,conv2d_s8,,146875
36,yolov8_nano_64$dispatch_36_batchnorm2d_s8,,,6.723520000,ms,6723520.000,0,,firesim_measured,batchnorm2d_s8,,168088
37,yolov8_nano_64$dispatch_37_silu_s8,,,21.671440000,ms,21671440.000,0,,firesim_measured,silu_s8,,541786
38,yolov8_nano_64$dispatch_38_conv2d_s8,,,5.872360000,ms,5872360.000,0,,firesim_measured,conv2d_s8,,146809
39,yolov8_nano_64$dispatch_39_batchnorm2d_s8,,,6.748080000,ms,6748080.000,0,,firesim_measured,batchnorm2d_s8,,168702
40,yolov8_nano_64$dispatch_40_silu_s8,,,22.933040000,ms,22933040.000,0,,firesim_measured,silu_s8,,573326
41,yolov8_nano_64$dispatch_41_add_s8,,,6.554720000,ms,6554720.000,0,,firesim_measured,add_s8,,163868
42,yolov8_nano_64$dispatch_42_cat4_c1_s8,,,23.960600000,ms,23960600.000,0,,firesim_measured,cat4_c1_s8,,599015
43,yolov8_nano_64$dispatch_43_conv2d_s8,,,8.271120000,ms,8271120.000,0,,firesim_measured,conv2d_s8,,206778
44,yolov8_nano_64$dispatch_44_batchnorm2d_s8,,,13.620640000,ms,13620640.000,0,,firesim_measured,batchnorm2d_s8,,340516
