dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,fused_full$dispatch_0_rvv_x60_conv2d_s8_N1xIC1xIH60xIW90xOC16xOH30xOW45xKH5xKW5xSH2xSW2xPH2xPW2,,,0.509292,ms,509291.666667,0,,k1,conv2d_s8,N=1;IC=1;IH=60;IW=90;OC=16;OH=30;OW=45;KH=5;KW=5;SH=2;SW=2;PH=2;PW=2,12223,6,0.16,curated[rvv]/rvv_vsmul_vnclip
1,fused_full$dispatch_1_rvv_x60_conv2d_s8_N1xIC16xIH30xIW45xOC32xOH15xOW23xKH3xKW3xSH2xSW2xPH1xPW1,,,0.659958,ms,659958.333333,0,,k1,conv2d_s8,N=1;IC=16;IH=30;IW=45;OC=32;OH=15;OW=23;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,15839,6,3.29,curated[rvv]/rvv_vsmul_vnclip
2,fused_full$dispatch_2_rvv_x60_conv2d_s8_N1xIC32xIH15xIW23xOC64xOH8xOW12xKH3xKW3xSH2xSW2xPH1xPW1,,,0.745792,ms,745791.666667,0,,k1,conv2d_s8,N=1;IC=32;IH=15;IW=23;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,17899,6,4.51,curated[rvv]/rvv_vsmul_vnclip
3,fused_full$dispatch_3_rvv_x60_conv2d_s8_N1xIC64xIH8xIW12xOC64xOH4xOW6xKH3xKW3xSH2xSW2xPH1xPW1,,,0.433167,ms,433166.666667,0,,k1,conv2d_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=4;OW=6;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,10396,6,6.14,curated[rvv]/rvv_vsmul_vnclip
4,fused_full$dispatch_4_rvv_x60_cast_i8_to_f16_n1536,,,0.001458,ms,1458.333333,0,,k1,cast_i8_to_f16,n=1536,35,6,11.77,curated[rvv]/direct
5,fused_full$dispatch_5_rvv_x60_linear_f16_M1xK1536xN512,,,0.331875,ms,331875.000000,0,,k1,linear_f16,M=1;K=1536;N=512,7965,6,5.84,curated[rvv]/narrow
6,fused_full$dispatch_6_rvv_x60_conv2d_s8_N1xIC4xIH8xIW8xOC16xOH8xOW8xKH3xKW3xSH1xSW1xPH1xPW1,,,0.035250,ms,35250.000000,0,,k1,conv2d_s8,N=1;IC=4;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,846,6,0.93,curated[rvv]/rvv_vsmul_vnclip
7,fused_full$dispatch_7_rvv_x60_conv2d_s8_N1xIC16xIH8xIW8xOC16xOH8xOW8xKH3xKW3xSH1xSW1xPH1xPW1,,,0.112417,ms,112416.666667,0,,k1,conv2d_s8,N=1;IC=16;IH=8;IW=8;OC=16;OH=8;OW=8;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2698,6,0.1,curated[rvv]/rvv_vsmul_vnclip
8,fused_full$dispatch_8_rvv_x60_cast_i8_to_f16_n1024,,,0.000958,ms,958.333333,0,,k1,cast_i8_to_f16,n=1024,23,6,9.69,curated[rvv]/direct
9,fused_full$dispatch_9_rvv_x60_linear_f16_M1xK1024xN64,,,0.027292,ms,27291.666667,0,,k1,linear_f16,M=1;K=1024;N=64,655,6,91.43,curated[rvv]/narrow
10,fused_full$dispatch_10_rvv_x60_cat3_c1_f16_N1xH1xW1xC_inputs512|64|21xC_total597,,,0.001458,ms,1458.333333,0,,k1,cat3_c1_f16,N=1;H=1;W=1;C_inputs=512|64|21;C_total=597,35,6,23.4,curated[rvv]/direct
11,fused_full$dispatch_11_rvv_x60_lstm_f16_input_size597xhidden_size128,,,0.300625,ms,300625.000000,0,,k1,lstm_f16,input_size=597;hidden_size=128,7215,6,0.72,curated[rvv]/rvv_gate_f16_dot
12,fused_full$dispatch_12_rvv_x60_lstm_f16_input_size128xhidden_size128,,,0.222375,ms,222375.000000,0,,k1,lstm_f16,input_size=128;hidden_size=128,5337,6,12.72,curated[rvv]/rvv_gate_f16_dot
13,fused_full$dispatch_13_rvv_x60_lstm_f16_input_size128xhidden_size128,,,0.227958,ms,227958.333333,0,,k1,lstm_f16,input_size=128;hidden_size=128,5471,6,5.09,curated[rvv]/rvv_gate_f16_dot
14,fused_full$dispatch_14_rvv_x60_linear_f16_M1xK128xN2,,,0.000833,ms,833.333333,0,,k1,linear_f16,M=1;K=128;N=2,20,6,19.94,curated[rvv]/narrow
