dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano_64x96$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC3xIH64xIW96xOC16xOH32xOW48xKH3xKW3xSH2xSW2xPH1xPW1,,,0.960917,ms,960916.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=64;IW=96;OC=16;OH=32;OW=48;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,23062,6,1.14,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
1,yolov8_nano_64x96$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH32xIW48xOC32xOH16xOW24xKH3xKW3xSH2xSW2xPH1xPW1,,,1.175708,ms,1175708.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=32;IW=48;OC=32;OH=16;OW=24;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,28217,6,1.46,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
2,yolov8_nano_64x96$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH16xIW24xOC32xOH16xOW24xKH1xKW1xSH1xSW1xPH0xPW0,,,0.675958,ms,675958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=16;IW=24;OC=32;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,16223,6,3.0,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
4,yolov8_nano_64x96$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH16xIW24xOC16xOH16xOW24xKH3xKW3xSH1xSW1xPH1xPW1,,,1.013542,ms,1013541.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=16;IW=24;OC=16;OH=16;OW=24;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,24325,6,3.26,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
5,yolov8_nano_64x96$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH16xIW24xOC16xOH16xOW24xKH3xKW3xSH1xSW1xPH1xPW1,,,0.991500,ms,991500.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=16;IW=24;OC=16;OH=16;OW=24;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,23796,6,2.15,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
6,yolov8_nano_64x96$dispatch_6_rvv_x60_add_s8_n6144,,,0.034250,ms,34250.000000,0,,k1,add_s8,n=6144,822,6,2.01,curated[rvv]/rvv_frm_rmm
7,yolov8_nano_64x96$dispatch_7_rvv_x60_cat3_c1_s8_N1xH16xW24xC_inputs16|16|16xC_total48,,,0.020625,ms,20625.000000,0,,k1,cat3_c1_s8,N=1;H=16;W=24;C_inputs=16|16|16;C_total=48,495,6,2.39,curated[rvv]/direct
8,yolov8_nano_64x96$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC48xIH16xIW24xOC32xOH16xOW24xKH1xKW1xSH1xSW1xPH0xPW0,,,0.810875,ms,810875.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=16;IW=24;OC=32;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,19461,6,1.57,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
9,yolov8_nano_64x96$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH16xIW24xOC64xOH8xOW12xKH3xKW3xSH2xSW2xPH1xPW1,,,0.632208,ms,632208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=16;IW=24;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,15173,6,0.2,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
10,yolov8_nano_64x96$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH8xIW12xOC64xOH8xOW12xKH1xKW1xSH1xSW1xPH0xPW0,,,0.383500,ms,383500.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=8;OW=12;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,9204,6,0.36,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
12,yolov8_nano_64x96$dispatch_12_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH8xIW12xOC32xOH8xOW12xKH3xKW3xSH1xSW1xPH1xPW1,,,0.537208,ms,537208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,12893,6,2.31,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
13,yolov8_nano_64x96$dispatch_13_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH8xIW12xOC32xOH8xOW12xKH3xKW3xSH1xSW1xPH1xPW1,,,0.525375,ms,525375.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,12609,6,0.31,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
14,yolov8_nano_64x96$dispatch_14_rvv_x60_add_s8_n3072,,,0.019250,ms,19250.000000,0,,k1,add_s8,n=3072,462,6,3.46,curated[rvv]/rvv_frm_rmm
15,yolov8_nano_64x96$dispatch_15_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH8xIW12xOC32xOH8xOW12xKH3xKW3xSH1xSW1xPH1xPW1,,,0.526708,ms,526708.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=8;IW=12;OC=32;OH=8;OW=12;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,12641,6,0.26,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
