entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,dronet,0,0,conv2d_s8,conv_modules.0,gemmini,0,0,0.000000,1.883290,0.018000,1.840000,1.822000
1,dronet,0,1,maxpool2d_s8,maxpool1,rvv,1,1,1.883290,0.759159,1.847000,2.621000,0.774000
2,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,1,1,2.642449,1.877673,2.629000,4.522000,1.893000
3,dronet,0,8,conv2d_s8,conv_modules.3,gemmini,0,0,2.642449,0.208815,2.627000,2.860000,0.233000
4,dronet,0,3,relu_s8,relu_modules.0,rvv,1,1,4.520122,0.004869,4.523000,4.529000,0.006000
5,dronet,0,4,conv2d_s8,conv_modules.1,gemmini,0,0,4.524991,0.289076,4.534000,4.849000,0.315000
6,dronet,0,5,batchnorm2d_s8,bn_modules.1,rvv,1,1,4.814067,0.514996,4.854000,5.374000,0.520000
7,dronet,0,6,relu_s8,relu_modules.1,rvv,1,1,5.329063,0.001252,5.375000,5.377000,0.002000
8,dronet,0,7,conv2d_s8,conv_modules.2,gemmini,0,0,5.330315,0.176299,5.381000,5.568000,0.187000
9,dronet,0,9,add_s8,add,rvv,1,1,5.506614,0.510602,5.573000,6.089000,0.516000
10,dronet,0,10,batchnorm2d_s8,bn_modules.2,rvv,1,1,6.017216,0.516146,6.096000,6.614000,0.518000
11,dronet,0,16,conv2d_s8,conv_modules.6,gemmini,0,0,6.017216,0.086652,6.094000,6.188000,0.094000
12,dronet,0,11,relu_s8,relu_modules.2,rvv,1,1,6.533362,0.001374,6.615000,6.616000,0.001000
13,dronet,0,12,conv2d_s8,conv_modules.4,gemmini,0,0,6.534736,0.237070,6.621000,6.879000,0.258000
14,dronet,0,13,batchnorm2d_s8,bn_modules.3,gemmini,0,0,6.771806,0.261920,6.880000,7.140000,0.260000
15,dronet,0,14,relu_s8,relu_modules.3,rvv,1,1,7.033726,0.000680,7.145000,7.146000,0.001000
16,dronet,0,15,conv2d_s8,conv_modules.5,gemmini,0,0,7.034406,0.630382,7.150000,7.844000,0.694000
17,dronet,0,17,add_s8,add_1,gemmini,0,0,7.664788,0.255601,7.845000,8.100000,0.255000
18,dronet,0,18,batchnorm2d_s8,bn_modules.4,rvv,1,1,7.920389,0.261099,8.105000,8.369000,0.264000
19,dronet,0,24,conv2d_s8,conv_modules.9,gemmini,0,0,7.920389,0.110213,8.107000,8.227000,0.120000
20,yolov8_nano,0,0,conv2d_s8,l0.conv,gemmini,0,0,8.030602,1.987734,8.228000,10.296000,2.068000
21,dronet,0,19,relu_s8,relu_modules.4,rvv,1,1,8.181488,0.000675,8.370000,8.371000,0.001000
22,dronet,0,20,conv2d_s8,conv_modules.7,gemmini,0,0,10.018336,2.178630,10.306000,12.726000,2.420000
23,yolov8_nano,0,1,batchnorm2d_s8,l0.bn,rvv,1,1,10.018336,0.201914,10.304000,10.506000,0.202000
24,yolov8_nano,0,2,silu_s8,l0.act,rvv,1,1,10.220250,1.364681,10.507000,11.960000,1.453000
25,dronet,0,21,batchnorm2d_s8,bn_modules.5,rvv,1,1,12.196966,0.178453,12.732000,12.913000,0.181000
26,yolov8_nano,0,3,conv2d_s8,l1.conv,gemmini,0,0,12.196966,1.457389,12.734000,14.175000,1.441000
27,dronet,0,22,relu_s8,relu_modules.5,rvv,1,1,12.375419,0.000340,12.914000,12.915000,0.001000
28,yolov8_nano,0,4,batchnorm2d_s8,l1.bn,rvv,1,1,13.654355,0.100251,14.181000,14.282000,0.101000
29,yolov8_nano,0,5,silu_s8,l1.act,rvv,1,1,13.754606,0.710735,14.283000,14.996000,0.713000
30,yolov8_nano,0,6,conv2d_s8,l2.cv1.conv,gemmini,0,0,14.465341,0.973992,15.001000,15.992000,0.991000
31,yolov8_nano,0,7,batchnorm2d_s8,l2.cv1.bn,rvv,1,1,15.439333,0.100299,15.997000,16.098000,0.101000
32,yolov8_nano,0,8,silu_s8,l2.cv1.act,rvv,1,1,15.539632,0.706339,16.099000,16.808000,0.709000
33,yolov8_nano,0,-1,chunk2_c1,chunk,gemmini,0,0,16.245972,0.000000,0.000000,0.000000,0.000000
34,yolov8_nano,0,9,conv2d_s8,l2.m0.cv1.conv,gemmini,0,0,16.245972,0.432114,16.813000,17.242000,0.429000
35,yolov8_nano,0,10,batchnorm2d_s8,l2.m0.cv1.bn,rvv,1,1,16.678085,0.050225,17.247000,17.298000,0.051000
36,yolov8_nano,0,11,silu_s8,l2.m0.cv1.act,rvv,1,1,16.728310,0.381656,17.298000,17.681000,0.383000
37,yolov8_nano,0,12,conv2d_s8,l2.m0.cv2.conv,gemmini,0,0,17.109966,0.427881,17.685000,18.113000,0.428000
38,yolov8_nano,0,13,batchnorm2d_s8,l2.m0.cv2.bn,rvv,1,1,17.537848,0.050188,18.118000,18.169000,0.051000
39,yolov8_nano,0,14,silu_s8,l2.m0.cv2.act,rvv,1,1,17.588036,0.381730,18.170000,18.552000,0.382000
40,yolov8_nano,0,15,add_s8,add,rvv,1,1,17.969765,0.076627,18.553000,18.630000,0.077000
41,yolov8_nano,0,16,cat3_c1_s8,cat,rvv,1,1,18.046392,0.124297,18.631000,18.756000,0.125000
42,yolov8_nano,0,17,conv2d_s8,l2.cv2.conv,gemmini,0,0,18.170689,1.192819,18.761000,19.939000,1.178000
43,yolov8_nano,0,18,batchnorm2d_s8,l2.cv2.bn,rvv,1,1,19.363508,0.100376,19.945000,20.046000,0.101000
44,yolov8_nano,0,19,silu_s8,l2.cv2.act,rvv,1,1,19.463884,0.707435,20.047000,20.755000,0.708000
45,yolov8_nano,0,20,conv2d_s8,l3.conv,gemmini,0,0,20.171318,0.798630,20.759000,21.508000,0.749000
46,yolov8_nano,0,21,batchnorm2d_s8,l3.bn,rvv,1,1,20.969950,0.051880,21.514000,21.567000,0.053000
47,yolov8_nano,0,22,silu_s8,l3.act,rvv,1,1,21.021830,0.381801,21.568000,21.950000,0.382000
