entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,fused_split,0,1,qnn_graph,fused_depth_conv,hta,7,0,0.129000,1.568000,0.134000,0.753000,0.619000
1,mlp_control,0,0,qnn_graph,mlp_control_full,dsp,6,1,0.649000,0.589000,0.653000,1.249000,0.596000
2,fused_split,0,0,qnn_graph,fused_vision_conv,dsp,6,2,1.238000,0.459000,1.299000,2.052000,0.753000
3,fused_split,0,2,qnn_graph,fused_tail,dsp,6,2,1.697000,4.303000,2.066000,5.392000,3.326000
4,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,5,3,6.893000,0.107000,6.907000,6.967000,0.060000
5,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,0,8.530010,0.931000,8.533000,9.592000,1.059000
6,fused_split,1,1,qnn_graph,fused_depth_conv,dsp,6,2,9.069010,0.392000,9.370000,10.047000,0.677000
7,mlp_control,2,0,qnn_graph,mlp_control_full,dsp,6,1,9.461010,0.589000,10.100000,10.693000,0.593000
8,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,5,3,12.000000,0.107000,12.009000,12.057000,0.048000
9,fused_split,1,2,qnn_graph,fused_tail,cpu,4,4,12.107000,0.354000,12.118000,15.545000,3.427000
10,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,0,16.000000,0.931000,16.007000,16.732000,0.725000
11,mlp_control,4,0,qnn_graph,mlp_control_full,dsp,6,1,16.911000,0.589000,16.918000,17.366000,0.448000
12,fused_split,2,1,qnn_graph,fused_depth_conv,hta,7,0,16.931000,1.568000,16.934000,17.492000,0.558000
13,fused_split,2,2,qnn_graph,fused_tail,cpu,4,4,19.646000,0.354000,19.654000,20.459000,0.805000
14,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,5,3,20.000000,0.107000,20.008000,20.061000,0.053000
