/prj/qct/webtech_scratch20/mlg_user_admin/qaisw_source_repo/rel/qairt-2.45.0/release/SNPE_SRC/avante-tools/prebuilt/dsp/hexagon-sdk-4.1.0/ipc/fastrpc/rpcmem/src/rpcmem_android.c:38:dummy call to rpcmem_init, rpcmem APIs will be used from libxdsprpc
[run] e=0   mlp_control   #0  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.107 ms (start=   0.042, late=+0.042)
[run] e=3   dronet        #0  dronet_full            lane=cpu|dronet CPU predicted=  6.998 actual=  9.879 ms (start=   0.122, late=+0.015)
[run] e=4   mlp_control   #1  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.077 ms (start=  10.056, late=+2.951)
[run] e=5   mlp_control   #2  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.048 ms (start=  10.153, late=+0.153)
[run] e=2   yolov8n_a     #0  yolov8n_backbone       lane=hta|yolov8n_a HTA predicted= 13.909 actual= 13.334 ms (start=   0.012, late=+0.012)
[run] e=8   mlp_control   #3  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.074 ms (start=  15.544, late=+0.544)
[run] e=1   yolov8n_c     #0  yolov8n_backbone       lane=dsp|yolov8n_c DSP predicted= 13.267 actual= 15.623 ms (start=   0.035, late=+0.035)
[run] e=6   dronet        #1  dronet_full            lane=dsp|dronet DSP predicted=  0.645 actual=  0.964 ms (start=  15.832, late=+2.565)
[run] e=10  mlp_control   #4  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.066 ms (start=  20.796, late=+0.008)
[run] e=7   yolov8n_d     #0  yolov8n_backbone       lane=hta|yolov8n_d HTA predicted= 13.909 actual= 12.241 ms (start=  13.974, late=+0.065)
[run] e=11  dronet        #2  dronet_full            lane=cpu|dronet CPU predicted=  6.998 actual=  6.897 ms (start=  20.904, late=+0.009)
[run] e=13  mlp_control   #5  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  1.602 ms (start=  27.900, late=+0.007)
[run] e=14  mlp_control   #6  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.042 ms (start=  30.007, late=+0.007)
[run] e=17  mlp_control   #7  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.060 ms (start=  35.018, late=+0.018)
[run] e=9   yolov8n_a     #0  yolov8n_head           lane=dsp|yolov8n_a DSP predicted= 15.377 actual= 18.395 ms (start=  16.830, late=+0.818)
[run] e=15  dronet        #3  dronet_full            lane=dsp|dronet DSP predicted=  0.645 actual=  0.924 ms (start=  35.447, late=+4.058)
[run] e=18  mlp_control   #8  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.043 ms (start=  40.008, late=+0.008)
[run] e=12  yolov8n_b     #0  yolov8n_backbone       lane=hta|yolov8n_b HTA predicted= 13.909 actual= 13.739 ms (start=  27.880, late=+0.062)
[run] e=16  yolov8n_c     #0  yolov8n_head           lane=dsp|yolov8n_c DSP predicted= 15.377 actual= 22.177 ms (start=  36.553, late=+4.519)
[run] e=22  mlp_control   #9  mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  1.578 ms (start=  59.153, late=+11.742)
[run] e=21  yolov8n_e     #0  yolov8n_backbone       lane=hta|yolov8n_e HTA predicted= 13.909 actual= 14.122 ms (start=  58.595, late=+14.838)
[run] e=20  dronet        #4  dronet_full            lane=hta|dronet HTA predicted=  2.030 actual=  1.469 ms (start=  73.199, late=+31.472)
[run] e=23  yolov8n_b     #0  yolov8n_head           lane=dsp|yolov8n_b DSP predicted= 15.377 actual= 18.190 ms (start=  60.777, late=+12.777)
[run] e=19  yolov8n_d     #0  yolov8n_head           lane=cpu|yolov8n_d CPU predicted= 39.464 actual= 50.995 ms (start=  40.205, late=+0.098)
[run] e=24  yolov8n_e     #0  yolov8n_head           lane=dsp|yolov8n_e DSP predicted= 15.377 actual= 15.643 ms (start=  79.179, late=+14.985)

[summary] 25/25 entries executed, wall=94.822 ms (predicted makespan 79.571 ms, ratio 1.19x), tensor handoffs=3

=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles,time_unit,backend,ctx,graph,dep_wait_ms,gate_ms,n_ir_ops
0,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,5,0.000000,0.107000,0,42,149,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.001250,0.033174,7
1,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,dsp,6,0.000000,13.267000,1,35,15658,us,DSP,ctx_yolov8n_backbone__Dsp.bin,yolov8n_HTA_split_seg100,0.001094,0.029268,103
2,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,hta,7,0.000000,13.909000,2,12,13346,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,0.001042,0.007031,103
3,dronet,0,0,qnn_graph,dronet_full,cpu,4,0.107000,6.998000,3,122,10000,us,CPU,ctx_dronet_full_hta__Cpu.bin,dronet_full_hta,0.018592,0.107333,24
4,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,5,7.105000,0.107000,0,10055,10132,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,10.037418,10.047417,7
5,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,5,10.000000,0.107000,0,10152,10201,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,10.138137,10.145845,7
6,dronet,1,0,qnn_graph,dronet_full,dsp,6,13.267000,0.645000,4,15832,16796,us,DSP,ctx_dronet_full_hta__Dsp.bin,dronet_full_hta,15.808215,15.825193,24
7,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,13.909000,13.909000,5,13974,26215,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,13.623634,13.966778,103
8,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,5,15.000000,0.107000,0,15544,15618,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,10.204693,15.522566,7
9,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,16.012000,15.377000,6,16829,35224,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,16.810411,16.823430,146
10,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,5,20.788000,0.107000,0,20796,20861,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,15.640471,20.788673,7
11,dronet,2,0,qnn_graph,dronet_full,cpu,4,20.895000,6.998000,3,20903,27801,us,CPU,ctx_dronet_full_hta__Cpu.bin,dronet_full_hta,15.665365,20.895173,24
12,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,27.818000,13.909000,7,27879,41619,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,13.658058,27.874500,103
13,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,5,27.893000,0.107000,0,27899,29501,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,27.824713,27.893352,7
14,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,5,30.000000,0.107000,0,30006,30049,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,29.507832,30.000076,7
15,dronet,3,0,qnn_graph,dronet_full,dsp,6,31.389000,0.645000,4,35447,36371,us,DSP,ctx_dronet_full_hta__Dsp.bin,dronet_full_hta,16.806869,31.456967,24
16,yolov8n_c,0,1,qnn_graph,yolov8n_head,dsp,6,32.034000,15.377000,1,36552,58729,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,35.539438,35.545063,146
17,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,5,35.000000,0.107000,0,35017,35078,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,30.052728,35.000376,7
18,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,5,40.000000,0.107000,0,40007,40050,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,35.083753,40.000310,7
19,yolov8n_d,0,1,qnn_graph,yolov8n_head,cpu,5,40.107000,39.464000,8,40204,91199,us,CPU,ctx_yolov8n_head__Cpu.bin,yolov8n_HTA_split_seg101,40.068064,40.196750,146
20,dronet,4,0,qnn_graph,dronet_full,hta,7,41.727000,2.030000,9,73198,74667,us,HTA,ctx_dronet_full_hta__Hta.bin,dronet_full_hta,58.542532,58.649710,24
