/prj/qct/webtech_scratch20/mlg_user_admin/qaisw_source_repo/rel/qairt-2.45.0/release/SNPE_SRC/avante-tools/prebuilt/dsp/hexagon-sdk-4.1.0/ipc/fastrpc/rpcmem/src/rpcmem_android.c:38:dummy call to rpcmem_init, rpcmem APIs will be used from libxdsprpc
[run] e=3   mlp_control   #0  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.076 ms (start=   0.028, late=+0.014)
[run] e=1   fused_split   #0  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.236 ms (start=   0.041, late=+0.041)
[run] e=0   fused_split   #0  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  1.598 ms (start=   0.036, late=+0.036)
[run] e=5   mlp_control   #1  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.072 ms (start=   5.013, late=+0.013)
[run] e=6   fused_split   #0  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  3.969 ms (start=   6.670, late=+0.024)
[run] e=7   mlp_control   #2  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.070 ms (start=  10.770, late=+0.770)
[run] e=2   yolov8n_e     #0  yolov8n_backbone       lane=hta|yolov8n_e HTA predicted= 13.909 actual= 11.940 ms (start=   0.028, late=+0.028)
[run] e=11  mlp_control   #3  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.061 ms (start=  15.016, late=+0.016)
[run] e=9   fused_split   #1  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.339 ms (start=  13.993, late=+0.084)
[run] e=4   yolov8n_c     #0  yolov8n_backbone       lane=dsp|yolov8n_c DSP predicted= 13.267 actual= 14.300 ms (start=   1.968, late=+1.509)
[run] e=8   fused_split   #1  fused_depth_conv       lane=dsp|fused_split DSP predicted=  0.392 actual=  0.761 ms (start=  16.426, late=+2.700)
[run] e=12  fused_split   #1  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  1.344 ms (start=  18.628, late=+1.982)
[run] e=14  fused_split   #2  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.092 ms (start=  20.023, late=+0.023)
[run] e=13  fused_split   #2  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.598 ms (start=  20.011, late=+0.011)
[run] e=16  mlp_control   #4  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.081 ms (start=  22.903, late=+0.010)
[run] e=17  fused_split   #2  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.928 ms (start=  23.252, late=+0.252)
[run] e=18  mlp_control   #5  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.051 ms (start=  25.007, late=+0.007)
[run] e=10  yolov8n_d     #0  yolov8n_backbone       lane=hta|yolov8n_d HTA predicted= 13.909 actual= 13.323 ms (start=  15.883, late=+1.043)
[run] e=20  mlp_control   #6  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.179 ms (start=  32.930, late=+0.037)
[run] e=22  fused_split   #3  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.125 ms (start=  36.665, late=+0.033)
[run] e=15  yolov8n_e     #0  yolov8n_head           lane=dsp|yolov8n_e DSP predicted= 15.377 actual= 19.388 ms (start=  20.879, late=+0.069)
[run] e=21  fused_split   #3  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.813 ms (start=  40.704, late=+4.517)
[run] e=19  yolov8n_b     #0  yolov8n_backbone       lane=hta|yolov8n_b HTA predicted= 13.909 actual= 12.918 ms (start=  29.377, late=+0.628)
[run] e=23  fused_split   #3  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.925 ms (start=  41.868, late=+5.222)
[run] e=25  mlp_control   #7  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.068 ms (start=  42.837, late=+5.837)
[run] e=26  mlp_control   #8  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.045 ms (start=  42.928, late=+2.928)
[run] e=27  fused_split   #4  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  0.605 ms (start=  42.743, late=+0.085)
[run] e=28  fused_split   #4  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.079 ms (start=  43.585, late=+0.010)
[run] e=29  fused_split   #4  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.560 ms (start=  43.745, late=+0.156)
[run] e=30  mlp_control   #9  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.049 ms (start=  45.008, late=+0.008)
[run] e=24  yolov8n_d     #0  yolov8n_head           lane=dsp|yolov8n_d DSP predicted= 15.377 actual= 16.493 ms (start=  41.863, late=+5.217)
[run] e=32  yolov8n_c     #0  yolov8n_head           lane=dsp|yolov8n_c DSP predicted= 15.377 actual= 18.598 ms (start=  58.611, late=+6.588)
[run] e=33  yolov8n_a     #0  yolov8n_backbone       lane=hta|yolov8n_a HTA predicted= 13.909 actual= 14.302 ms (start=  63.372, late=+9.881)
[run] e=34  yolov8n_a     #0  yolov8n_head           lane=dsp|yolov8n_a DSP predicted= 15.377 actual= 16.558 ms (start=  77.825, late=+10.425)
[run] e=31  yolov8n_b     #0  yolov8n_head           lane=cpu|yolov8n_b CPU predicted= 39.464 actual= 50.249 ms (start=  45.176, late=+0.069)

[summary] 35/35 entries executed, wall=95.425 ms (predicted makespan 84.571 ms, ratio 1.13x), tensor handoffs=3

=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles,time_unit,backend,ctx,graph,dep_wait_ms,gate_ms,n_ir_ops
0,fused_split,0,0,qnn_graph,fused_vision_conv,dsp,6,0.000000,0.459000,0,35,1633,us,DSP,ctx_fused_vision_conv__Dsp.bin,fused_vision_conv,0.007563,0.030148,4
1,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,0.000000,0.014000,1,41,276,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,0.005372,0.030409,2
2,yolov8n_e,0,0,qnn_graph,yolov8n_backbone,hta,7,0.000000,13.909000,2,27,11967,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,0.019194,0.021176,103
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,0.014000,0.107000,3,27,104,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.006102,0.016326,7
4,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,dsp,6,0.459000,13.267000,4,1967,16268,us,DSP,ctx_yolov8n_backbone__Dsp.bin,yolov8n_HTA_split_seg100,1.930942,1.960047,103
5,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,5.000000,0.107000,3,5013,5084,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.114646,5.000108,7
6,fused_split,0,2,qnn_graph,fused_tail,cpu,5,6.646000,0.354000,1,6669,10639,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,5.398971,6.654657,10
7,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,10.000000,0.107000,3,10770,10840,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,10.749278,10.760075,7
8,fused_split,1,1,qnn_graph,fused_depth_conv,dsp,6,13.726000,0.392000,0,16425,17187,us,DSP,ctx_fused_depth_conv__Dsp.bin,fused_depth_conv,16.413792,16.420104,2
9,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,13.909000,0.931000,5,13993,15332,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,0.005007,13.975495,4
10,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,14.840000,13.909000,6,15882,29205,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,15.647205,15.871178,103
11,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,15.000000,0.107000,3,15016,15077,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,10.847650,15.000272,7
12,fused_split,1,2,qnn_graph,fused_tail,cpu,5,16.646000,0.354000,1,18628,19972,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,17.639487,18.617216,10
13,fused_split,2,0,qnn_graph,fused_vision_conv,dsp,6,20.000000,0.459000,0,20010,20608,us,DSP,ctx_fused_vision_conv__Dsp.bin,fused_vision_conv,17.209850,20.001006,4
14,fused_split,2,1,qnn_graph,fused_depth_conv,cpu,5,20.000000,0.014000,1,20022,20114,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,19.993599,20.006013,2
15,yolov8n_e,0,1,qnn_graph,yolov8n_head,dsp,6,20.810000,15.377000,7,20878,40266,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,20.626606,20.868417,146
16,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,22.893000,0.107000,3,22903,22984,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,20.130152,22.893507,7
17,fused_split,2,2,qnn_graph,fused_tail,cpu,5,23.000000,0.354000,1,23251,24179,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,23.233013,23.242037,10
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,25.000000,0.107000,3,25006,25057,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,24.199006,25.000227,7
19,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,28.749000,13.909000,8,29377,42295,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,15.675476,28.814282,103
20,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,4,32.893000,0.107000,3,32929,33108,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,25.062140,32.893306,7
21,fused_split,3,0,qnn_graph,fused_vision_conv,dsp,6,36.187000,0.459000,0,40703,41516,us,DSP,ctx_fused_vision_conv__Dsp.bin,fused_vision_conv,20.629266,36.187331,4
22,fused_split,3,1,qnn_graph,fused_depth_conv,cpu,5,36.632000,0.014000,1,36664,36789,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,33.362845,36.646752,2
23,fused_split,3,2,qnn_graph,fused_tail,cpu,5,36.646000,0.354000,1,41868,42793,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,41.852420,41.857897,10
24,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,36.646000,15.377000,9,41862,58355,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,41.836042,41.855393,146
25,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,4,37.000000,0.107000,3,42836,42904,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,42.817735,42.826758,7
26,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,4,40.000000,0.107000,3,42927,42972,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,42.911726,42.920228,7
27,fused_split,4,0,qnn_graph,fused_vision_conv,hta,7,42.658000,0.931000,5,42743,43348,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,29.938683,42.721813,4
