/prj/qct/webtech_scratch20/mlg_user_admin/qaisw_source_repo/rel/qairt-2.45.0/release/SNPE_SRC/avante-tools/prebuilt/dsp/hexagon-sdk-4.1.0/ipc/fastrpc/rpcmem/src/rpcmem_android.c:38:dummy call to rpcmem_init, rpcmem APIs will be used from libxdsprpc
[run] e=0   fused_split   #0  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.183 ms (start=   0.019, late=+0.019)
[run] e=3   mlp_control   #0  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.056 ms (start=   0.235, late=+0.221)
[run] e=2   fused_split   #0  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.379 ms (start=   0.013, late=+0.013)
[run] e=6   mlp_control   #1  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.135 ms (start=   6.016, late=+0.016)
[run] e=5   fused_split   #0  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  1.928 ms (start=   5.702, late=+0.056)
[run] e=1   yolov8n_a     #0  yolov8n_backbone       lane=dsp|yolov8n_a DSP predicted= 13.267 actual= 13.549 ms (start=   0.037, late=+0.037)
[run] e=9   mlp_control   #2  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.078 ms (start=  14.910, late=+0.017)
[run] e=10  fused_split   #1  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.264 ms (start=  15.320, late=+0.320)
[run] e=4   yolov8n_b     #0  yolov8n_backbone       lane=hta|yolov8n_b HTA predicted= 13.909 actual= 14.130 ms (start=   1.417, late=+0.486)
[run] e=8   fused_split   #1  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.195 ms (start=  15.722, late=+0.882)
[run] e=11  fused_split   #1  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.747 ms (start=  16.953, late=+1.182)
[run] e=12  mlp_control   #3  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.056 ms (start=  18.008, late=+0.008)
[run] e=14  mlp_control   #4  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.054 ms (start=  24.007, late=+0.007)
[run] e=13  fused_split   #2  fused_depth_conv       lane=hta|fused_split HTA predicted=  1.568 actual=  0.980 ms (start=  24.105, late=+0.105)
[run] e=15  fused_split   #2  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.012 ms (start=  25.572, late=+0.004)
[run] e=18  mlp_control   #5  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.065 ms (start=  30.013, late=+0.013)
[run] e=17  fused_split   #2  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.942 ms (start=  29.660, late=+0.014)
[run] e=7   yolov8n_a     #0  yolov8n_head           lane=dsp|yolov8n_a DSP predicted= 15.377 actual= 17.468 ms (start=  13.776, late=+0.509)
[run] e=16  yolov8n_b     #0  yolov8n_head           lane=dsp|yolov8n_b DSP predicted= 15.377 actual= 16.929 ms (start=  31.430, late=+2.786)

[summary] 19/19 entries executed, wall=48.359 ms (predicted makespan 44.021 ms, ratio 1.10x), tensor handoffs=3

=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles,time_unit,backend,ctx,graph,dep_wait_ms,gate_ms,n_ir_ops
0,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,0.000000,0.014000,0,19,202,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,0.000780,0.009312,2
1,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,dsp,6,0.000000,13.267000,1,36,13585,us,DSP,ctx_yolov8n_backbone__Dsp.bin,yolov8n_HTA_split_seg100,0.000885,0.032097,103
2,fused_split,0,0,qnn_graph,fused_vision_conv,hta,7,0.000000,0.931000,2,12,1391,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,0.000885,0.007127,4
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,0.014000,0.107000,3,235,291,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.222756,0.228271,7
4,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,0.931000,13.909000,4,1416,15547,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,0.007231,0.986537,103
5,fused_split,0,2,qnn_graph,fused_tail,cpu,5,5.646000,0.354000,0,5701,7630,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,1.590819,5.646678,10
6,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,6.000000,0.107000,3,6015,6150,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.302818,6.000112,7
7,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,13.267000,15.377000,1,13776,31244,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,13.695710,13.701848,146
8,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,14.840000,0.931000,2,15722,16917,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,1.408483,14.932053,4
9,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,14.893000,0.107000,3,14909,14988,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,6.170014,14.893297,7
10,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,5,15.000000,0.014000,0,15319,15583,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,15.300574,15.310042,2
11,fused_split,1,2,qnn_graph,fused_tail,cpu,5,15.771000,0.354000,0,16952,17699,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,16.935767,16.943102,10
12,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,18.000000,0.107000,3,18008,18064,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,17.719159,18.000128,7
13,fused_split,2,1,qnn_graph,fused_depth_conv,hta,7,24.000000,1.568000,2,24104,25084,us,HTA,ctx_fused_depth_conv__Hta.bin,fused_depth_conv,16.930929,24.096583,2
14,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,24.000000,0.107000,3,24007,24061,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,18.071345,24.000447,7
15,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,25.568000,0.931000,2,25572,26584,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,25.098102,25.568272,4
16,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,28.644000,15.377000,5,31430,48359,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,15.814443,28.702206,146
17,fused_split,2,2,qnn_graph,fused_tail,cpu,5,29.646000,0.354000,0,29659,30601,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,26.773403,29.646553,10
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,30.000000,0.107000,3,30013,30077,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,24.066151,30.000663,7
=== MODELBLASTER_XPURT_TRACE_END ===
