/prj/qct/webtech_scratch20/mlg_user_admin/qaisw_source_repo/rel/qairt-2.45.0/release/SNPE_SRC/avante-tools/prebuilt/dsp/hexagon-sdk-4.1.0/ipc/fastrpc/rpcmem/src/rpcmem_android.c:38:dummy call to rpcmem_init, rpcmem APIs will be used from libxdsprpc
[run] e=0   fused_split   #0  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.103 ms (start=   0.048, late=+0.048)
[run] e=3   mlp_control   #0  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.055 ms (start=   0.226, late=+0.212)
[run] e=2   fused_split   #0  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  0.775 ms (start=   0.013, late=+0.013)
[run] e=6   mlp_control   #1  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.094 ms (start=   6.018, late=+0.018)
[run] e=5   fused_split   #0  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  3.690 ms (start=   5.673, late=+0.027)
[run] e=1   yolov8n_a     #0  yolov8n_backbone       lane=dsp|yolov8n_a DSP predicted= 13.267 actual= 13.540 ms (start=   0.015, late=+0.015)
[run] e=4   yolov8n_b     #0  yolov8n_backbone       lane=hta|yolov8n_b HTA predicted= 13.909 actual= 13.601 ms (start=   0.989, late=+0.058)
[run] e=9   mlp_control   #2  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.089 ms (start=  14.908, late=+0.015)
[run] e=10  fused_split   #1  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.092 ms (start=  15.254, late=+0.254)
[run] e=8   fused_split   #1  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.197 ms (start=  14.850, late=+0.010)
[run] e=11  fused_split   #1  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.847 ms (start=  16.077, late=+0.306)
[run] e=12  mlp_control   #3  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.061 ms (start=  18.009, late=+0.009)
[run] e=14  mlp_control   #4  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.069 ms (start=  24.054, late=+0.054)
[run] e=13  fused_split   #2  fused_depth_conv       lane=hta|fused_split HTA predicted=  1.568 actual=  0.905 ms (start=  24.117, late=+0.117)
[run] e=15  fused_split   #2  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  0.637 ms (start=  25.572, late=+0.004)
[run] e=18  mlp_control   #5  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.055 ms (start=  30.014, late=+0.014)
[run] e=17  fused_split   #2  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.949 ms (start=  29.660, late=+0.014)
[run] e=7   yolov8n_a     #0  yolov8n_head           lane=dsp|yolov8n_a DSP predicted= 15.377 actual= 17.466 ms (start=  13.750, late=+0.483)
[run] e=16  yolov8n_b     #0  yolov8n_head           lane=dsp|yolov8n_b DSP predicted= 15.377 actual= 16.981 ms (start=  31.391, late=+2.747)

[summary] 19/19 entries executed, wall=48.371 ms (predicted makespan 44.021 ms, ratio 1.10x), tensor handoffs=3

=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles,time_unit,backend,ctx,graph,dep_wait_ms,gate_ms,n_ir_ops
0,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,0.000000,0.014000,0,48,151,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,0.001457,0.038040,2
1,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,dsp,6,0.000000,13.267000,1,15,13555,us,DSP,ctx_yolov8n_backbone__Dsp.bin,yolov8n_HTA_split_seg100,0.001197,0.007650,103
2,fused_split,0,0,qnn_graph,fused_vision_conv,hta,7,0.000000,0.931000,2,13,788,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,0.001093,0.007598,4
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,0.014000,0.107000,3,226,281,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.213249,0.218609,7
4,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,0.931000,13.909000,4,989,14590,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,0.006297,0.986001,103
5,fused_split,0,2,qnn_graph,fused_tail,cpu,5,5.646000,0.354000,0,5672,9362,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,0.981266,5.646350,10
6,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,6.000000,0.107000,3,6018,6111,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.292189,6.000099,7
7,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,13.267000,15.377000,1,13750,31215,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,13.658468,13.666482,146
8,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,14.840000,0.931000,2,14850,16046,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,0.802830,14.840493,4
9,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,14.893000,0.107000,3,14908,14996,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,6.127122,14.893415,7
10,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,5,15.000000,0.014000,0,15254,15346,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,15.235612,15.245395,2
11,fused_split,1,2,qnn_graph,fused_tail,cpu,5,15.771000,0.354000,0,16076,16924,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,16.063160,16.068415,10
12,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,18.000000,0.107000,3,18009,18070,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,16.948365,18.000193,7
13,fused_split,2,1,qnn_graph,fused_depth_conv,hta,7,24.000000,1.568000,2,24117,25022,us,HTA,ctx_fused_depth_conv__Hta.bin,fused_depth_conv,16.058424,24.108009,2
14,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,24.000000,0.107000,3,24054,24123,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,18.078613,24.000136,7
15,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,25.568000,0.931000,2,25571,26208,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,25.033178,25.568329,4
16,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,28.644000,15.377000,5,31390,48371,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,14.921359,28.703051,146
17,fused_split,2,2,qnn_graph,fused_tail,cpu,5,29.646000,0.354000,0,29660,30609,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,26.415027,29.646538,10
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,30.000000,0.107000,3,30014,30069,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,24.138295,30.000651,7
=== MODELBLASTER_XPURT_TRACE_END ===
