/prj/qct/webtech_scratch20/mlg_user_admin/qaisw_source_repo/rel/qairt-2.45.0/release/SNPE_SRC/avante-tools/prebuilt/dsp/hexagon-sdk-4.1.0/ipc/fastrpc/rpcmem/src/rpcmem_android.c:38:dummy call to rpcmem_init, rpcmem APIs will be used from libxdsprpc
[run] e=1   fused_split   #0  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.070 ms (start=   0.035, late=+0.035)
[run] e=3   mlp_control   #0  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.149 ms (start=   0.049, late=+0.035)
[run] e=0   fused_split   #0  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.010 ms (start=   0.037, late=+0.037)
[run] e=5   mlp_control   #1  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.147 ms (start=   5.026, late=+0.026)
[run] e=6   fused_split   #0  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  4.080 ms (start=   6.668, late=+0.022)
[run] e=2   yolov8n_a     #0  yolov8n_backbone       lane=dsp|yolov8n_a DSP predicted= 13.267 actual= 13.046 ms (start=   0.034, late=+0.034)
[run] e=8   mlp_control   #2  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.102 ms (start=  13.909, late=+0.016)
[run] e=10  mlp_control   #3  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.046 ms (start=  15.009, late=+0.009)
[run] e=9   fused_split   #1  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.092 ms (start=  15.060, late=+0.074)
[run] e=4   yolov8n_b     #0  yolov8n_backbone       lane=hta|yolov8n_b HTA predicted= 13.909 actual= 14.384 ms (start=   1.086, late=+0.155)
[run] e=11  fused_split   #1  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.022 ms (start=  15.947, late=+0.232)
[run] e=12  fused_split   #1  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  0.757 ms (start=  17.000, late=+0.354)
[run] e=13  fused_split   #2  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.195 ms (start=  20.005, late=+0.005)
[run] e=15  mlp_control   #4  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.062 ms (start=  24.284, late=+0.391)
[run] e=16  fused_split   #2  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.071 ms (start=  26.646, late=+0.014)
[run] e=17  fused_split   #2  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  2.734 ms (start=  26.743, late=+0.097)
[run] e=18  mlp_control   #5  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.069 ms (start=  29.748, late=+2.748)
[run] e=21  mlp_control   #6  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.051 ms (start=  30.020, late=+0.006)
[run] e=20  fused_split   #3  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.056 ms (start=  30.024, late=+0.024)
[run] e=7   yolov8n_a     #0  yolov8n_head           lane=dsp|yolov8n_a DSP predicted= 15.377 actual= 18.886 ms (start=  13.335, late=+0.068)
[run] e=14  yolov8n_e     #0  yolov8n_backbone       lane=hta|yolov8n_e HTA predicted= 13.909 actual= 13.443 ms (start=  21.598, late=+0.667)
[run] e=22  fused_split   #3  fused_vision_conv      lane=hta|fused_split HTA predicted=  0.931 actual=  1.455 ms (start=  35.721, late=+0.006)
[run] e=23  fused_split   #3  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  3.464 ms (start=  37.255, late=+0.609)
[run] e=25  mlp_control   #7  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.115 ms (start=  40.795, late=+3.795)
[run] e=26  fused_split   #4  fused_depth_conv       lane=cpu|fused_split CPU predicted=  0.014 actual=  0.087 ms (start=  41.197, late=+1.197)
[run] e=27  mlp_control   #8  mlp_control_full       lane=cpu|mlp_control CPU predicted=  0.107 actual=  0.079 ms (start=  43.903, late=+0.010)
[run] e=19  yolov8n_b     #0  yolov8n_head           lane=dsp|yolov8n_b DSP predicted= 15.377 actual= 22.913 ms (start=  32.334, late=+3.690)
[run] e=28  fused_split   #4  fused_vision_conv      lane=dsp|fused_split DSP predicted=  0.459 actual=  0.765 ms (start=  55.724, late=+11.703)
[run] e=24  yolov8n_d     #0  yolov8n_backbone       lane=hta|yolov8n_d HTA predicted= 13.909 actual= 19.724 ms (start=  37.284, late=+0.638)
[run] e=31  mlp_control   #9  mlp_control_full       lane=dsp|mlp_control DSP predicted=  0.589 actual=  0.540 ms (start=  57.110, late=+12.110)
[run] e=29  fused_split   #4  fused_tail             lane=cpu|fused_split CPU predicted=  0.354 actual=  4.148 ms (start=  57.117, late=+12.637)
[run] e=33  yolov8n_c     #0  yolov8n_backbone       lane=hta|yolov8n_c HTA predicted= 13.909 actual= 14.316 ms (start=  57.218, late=+6.663)
[run] e=32  yolov8n_d     #0  yolov8n_head           lane=dsp|yolov8n_d DSP predicted= 15.377 actual= 18.850 ms (start=  58.797, late=+8.242)
[run] e=34  yolov8n_c     #0  yolov8n_head           lane=dsp|yolov8n_c DSP predicted= 15.377 actual= 15.196 ms (start=  78.108, late=+9.187)
[run] e=30  yolov8n_e     #0  yolov8n_head           lane=cpu|yolov8n_e CPU predicted= 39.464 actual= 52.863 ms (start=  44.915, late=+0.081)

[summary] 35/35 entries executed, wall=97.778 ms (predicted makespan 84.298 ms, ratio 1.16x), tensor handoffs=3

=== MODELBLASTER_XPURT_TRACE_BEGIN ===
entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles,time_unit,backend,ctx,graph,dep_wait_ms,gate_ms,n_ir_ops
0,fused_split,0,0,qnn_graph,fused_vision_conv,hta,7,0.000000,0.931000,0,37,1046,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,0.000781,0.031541,4
1,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,0.000000,0.014000,1,34,104,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,0.004997,0.013845,2
2,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,dsp,6,0.000000,13.267000,2,34,13079,us,DSP,ctx_yolov8n_backbone__Dsp.bin,yolov8n_HTA_split_seg100,0.004372,0.027221,103
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,0.014000,0.107000,3,49,198,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.004060,0.036434,7
4,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,0.931000,13.909000,4,1085,15469,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,1.065480,1.081043,103
5,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,5.000000,0.107000,3,5025,5173,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,0.202520,5.000225,7
6,fused_split,0,2,qnn_graph,fused_tail,cpu,5,6.646000,0.354000,1,6668,10748,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,5.219505,6.649635,10
7,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,13.267000,15.377000,2,13334,32220,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,13.178934,13.267365,146
8,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,13.893000,0.107000,3,13908,14011,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,10.985672,13.893557,7
9,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,5,14.986000,0.014000,1,15060,15152,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,14.246861,15.049966,2
10,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,15.000000,0.107000,3,15008,15054,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,14.032630,15.000312,7
11,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,15.715000,0.931000,0,15946,16969,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,15.937805,15.942229,4
12,fused_split,1,2,qnn_graph,fused_tail,cpu,5,16.646000,0.354000,1,17000,17757,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,16.983663,16.990377,10
13,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,20.000000,0.931000,0,20004,21199,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,16.976897,20.000329,4
14,yolov8n_e,0,0,qnn_graph,yolov8n_backbone,hta,7,20.931000,13.909000,5,21597,35041,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,21.218675,21.587072,103
15,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,23.893000,0.107000,3,24284,24345,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,17.777087,24.266674,7
16,fused_split,2,1,qnn_graph,fused_depth_conv,cpu,5,26.632000,0.014000,1,26646,26717,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,24.373373,26.634454,2
17,fused_split,2,2,qnn_graph,fused_tail,cpu,5,26.646000,0.354000,1,26743,29477,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,26.730170,26.734751,10
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,27.000000,0.107000,3,29748,29816,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,29.725652,29.736739,7
19,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,28.644000,15.377000,6,32334,55247,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,15.867332,28.719924,146
20,fused_split,3,1,qnn_graph,fused_depth_conv,cpu,5,30.000000,0.014000,1,30023,30079,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,30.005620,30.014312,2
21,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,4,30.014000,0.107000,3,30019,30070,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,29.833236,30.014156,7
22,fused_split,3,0,qnn_graph,fused_vision_conv,hta,7,35.715000,0.931000,0,35720,37175,us,HTA,ctx_fused_vision_conv__Hta.bin,fused_vision_conv,35.502074,35.715263,4
23,fused_split,3,2,qnn_graph,fused_tail,cpu,5,36.646000,0.354000,1,37254,40719,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,37.214254,37.244285,10
24,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,36.646000,13.909000,7,37284,57008,us,HTA,ctx_yolov8n_backbone__Hta.bin,yolov8n_HTA_split_seg100,37.208476,37.278533,103
25,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,4,37.000000,0.107000,3,40795,40910,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,40.760615,40.780237,7
26,fused_split,4,1,qnn_graph,fused_depth_conv,cpu,5,40.000000,0.014000,1,41196,41283,us,CPU,ctx_fused_depth_conv__Cpu.bin,fused_depth_conv,41.171796,41.184392,2
27,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,4,43.893000,0.107000,3,43902,43981,us,CPU,ctx_mlp_control_fp32__Cpu.bin,mlp_control_fp32,41.300980,43.893296,7
28,fused_split,4,0,qnn_graph,fused_vision_conv,dsp,6,44.021000,0.459000,8,55723,56488,us,DSP,ctx_fused_vision_conv__Dsp.bin,fused_vision_conv,32.502376,44.080201,4
29,fused_split,4,2,qnn_graph,fused_tail,cpu,5,44.480000,0.354000,1,57116,61264,us,CPU,ctx_fused_tail_from_conv_fp32__Cpu.bin,fused_tail_from_conv,57.026220,57.036890,10
30,yolov8n_e,0,1,qnn_graph,yolov8n_head,cpu,5,44.834000,39.464000,9,44914,97777,us,CPU,ctx_yolov8n_head__Cpu.bin,yolov8n_HTA_split_seg101,44.213237,44.892154,146
31,mlp_control,9,0,qnn_graph,mlp_control_full,dsp,6,45.000000,0.589000,10,57109,57649,us,DSP,ctx_mlp_control__Dsp.bin,mlp_control,57.000768,57.031997,7
32,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,50.555000,15.377000,11,58796,77646,us,DSP,ctx_yolov8n_head__Dsp.bin,yolov8n_HTA_split_seg101,58.771763,58.789511,146
