entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,fused_split,0,0,qnn_graph,fused_vision_conv,hta,7,0,0.000000,0.931000,0.042000,2.919000,2.877000
1,fused_split,0,1,qnn_graph,fused_depth_conv,cpu,5,1,0.000000,0.014000,0.039000,0.124000,0.085000
2,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,dsp,6,2,0.000000,13.267000,0.041000,12.636000,12.595000
3,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,4,3,0.014000,0.107000,0.050000,0.136000,0.086000
4,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,4,0.931000,13.909000,3.434000,17.398000,13.964000
5,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,4,3,5.000000,0.107000,6.240000,6.356000,0.116000
6,fused_split,0,2,qnn_graph,fused_tail,cpu,5,1,6.646000,0.354000,6.663000,10.616000,3.953000
7,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,2,13.267000,15.377000,13.347000,31.220000,17.873000
8,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,4,3,13.893000,0.107000,13.905000,13.978000,0.073000
9,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,5,1,14.986000,0.014000,15.003000,17.108000,2.105000
10,mlp_control,3,0,qnn_graph,mlp_control_full,cpu,4,3,15.000000,0.107000,15.005000,15.057000,0.052000
11,fused_split,1,0,qnn_graph,fused_vision_conv,hta,7,0,15.715000,0.931000,17.654000,18.804000,1.150000
12,fused_split,1,2,qnn_graph,fused_tail,cpu,5,1,16.646000,0.354000,19.122000,19.787000,0.665000
13,fused_split,2,0,qnn_graph,fused_vision_conv,hta,7,0,20.000000,0.931000,20.007000,20.937000,0.930000
14,yolov8n_e,0,0,qnn_graph,yolov8n_backbone,hta,7,5,20.931000,13.909000,20.988000,33.880000,12.892000
15,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,4,3,23.893000,0.107000,23.914000,23.996000,0.082000
16,fused_split,2,1,qnn_graph,fused_depth_conv,cpu,5,1,26.632000,0.014000,26.649000,30.498000,3.849000
17,fused_split,2,2,qnn_graph,fused_tail,cpu,5,1,26.646000,0.354000,32.511000,33.477000,0.966000
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,4,3,27.000000,0.107000,33.533000,33.631000,0.098000
19,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,6,28.644000,15.377000,31.619000,49.820000,18.201000
20,fused_split,3,1,qnn_graph,fused_depth_conv,cpu,5,1,30.000000,0.014000,33.664000,33.889000,0.225000
21,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,4,3,30.014000,0.107000,33.664000,33.721000,0.057000
22,fused_split,3,0,qnn_graph,fused_vision_conv,hta,7,0,35.715000,0.931000,35.720000,36.877000,1.157000
23,fused_split,3,2,qnn_graph,fused_tail,cpu,5,1,36.646000,0.354000,37.361000,39.459000,2.098000
24,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,7,36.646000,13.909000,37.402000,63.545000,26.143000
25,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,4,3,37.000000,0.107000,40.229000,40.289000,0.060000
26,fused_split,4,1,qnn_graph,fused_depth_conv,cpu,5,1,40.000000,0.014000,40.500000,40.558000,0.058000
27,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,4,3,43.893000,0.107000,43.899000,43.945000,0.046000
28,fused_split,4,0,qnn_graph,fused_vision_conv,dsp,6,8,44.021000,0.459000,58.368000,59.055000,0.687000
29,fused_split,4,2,qnn_graph,fused_tail,cpu,5,1,44.480000,0.354000,59.160000,63.991000,4.831000
30,yolov8n_e,0,1,qnn_graph,yolov8n_head,cpu,5,9,44.834000,39.464000,44.910000,98.634000,53.724000
31,mlp_control,9,0,qnn_graph,mlp_control_full,dsp,6,10,45.000000,0.589000,59.148000,59.631000,0.483000
32,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,11,50.555000,15.377000,63.864000,81.516000,17.652000
33,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,hta,7,12,50.555000,13.909000,63.787000,77.316000,13.529000
34,yolov8n_c,0,1,qnn_graph,yolov8n_head,dsp,6,13,68.921000,15.377000,81.685000,96.880000,15.195000
