entry_id,network,instance,dispatch_id,op,name,core_kind,hart,worker_kind_idx,predicted_start_ms,predicted_duration_ms,actual_start_ms,actual_end_ms,actual_duration_ms
0,fused_split,0,1,qnn_graph,fused_depth_conv,hta,7,0,0.000000,1.568000,0.048000,1.641000,1.593000
1,mlp_control,0,0,qnn_graph,mlp_control_full,cpu,5,1,0.000000,0.107000,0.034000,0.124000,0.090000
2,fused_split,0,0,qnn_graph,fused_vision_conv,dsp,6,2,0.000000,0.459000,0.051000,1.028000,0.977000
3,vint,0,0,qnn_graph,vint_encoders,dsp,6,3,0.459000,14.213000,1.056000,17.070000,16.014000
4,yolov8n_a,0,0,qnn_graph,yolov8n_backbone,hta,7,4,1.680000,13.909000,1.688000,15.080000,13.392000
5,mlp_control,1,0,qnn_graph,mlp_control_full,cpu,5,1,5.000000,0.107000,5.018000,5.190000,0.172000
6,fused_split,0,2,qnn_graph,fused_tail,cpu,4,5,6.646000,0.354000,6.663000,10.344000,3.681000
7,fused_split,1,1,qnn_graph,fused_depth_conv,cpu,4,5,10.000000,0.014000,10.388000,10.442000,0.054000
8,mlp_control,2,0,qnn_graph,mlp_control_full,cpu,5,1,10.014000,0.107000,10.578000,10.650000,0.072000
9,mlp_control,3,0,qnn_graph,mlp_control_full,dsp,6,6,15.000000,0.589000,17.128000,17.766000,0.638000
10,fused_split,1,0,qnn_graph,fused_vision_conv,dsp,6,2,15.589000,0.459000,17.781000,18.506000,0.725000
11,fused_split,1,2,qnn_graph,fused_tail,cpu,4,5,16.646000,0.354000,18.541000,19.089000,0.548000
12,fused_split,2,0,qnn_graph,fused_vision_conv,dsp,6,2,20.000000,0.459000,20.006000,20.427000,0.421000
13,mlp_control,4,0,qnn_graph,mlp_control_full,cpu,5,1,20.000000,0.107000,20.007000,20.066000,0.059000
14,fused_split,2,1,qnn_graph,fused_depth_conv,hta,7,0,20.000000,1.568000,20.006000,20.752000,0.746000
15,yolov8n_a,0,1,qnn_graph,yolov8n_head,dsp,6,7,20.459000,15.377000,20.520000,38.525000,18.005000
16,yolov8n_b,0,0,qnn_graph,yolov8n_backbone,hta,7,8,21.568000,13.909000,21.629000,35.741000,14.112000
17,fused_split,2,2,qnn_graph,fused_tail,cpu,4,5,26.646000,0.354000,26.674000,27.770000,1.096000
18,mlp_control,5,0,qnn_graph,mlp_control_full,cpu,5,1,27.000000,0.107000,27.019000,27.132000,0.113000
19,fused_split,3,1,qnn_graph,fused_depth_conv,cpu,4,5,30.000000,0.014000,30.009000,30.300000,0.291000
20,mlp_control,6,0,qnn_graph,mlp_control_full,cpu,5,1,32.893000,0.107000,32.903000,32.965000,0.062000
21,yolov8n_c,0,0,qnn_graph,yolov8n_backbone,hta,7,9,36.091000,13.909000,36.153000,49.248000,13.095000
22,fused_split,3,0,qnn_graph,fused_vision_conv,dsp,6,2,36.187000,0.459000,38.667000,39.352000,0.685000
23,fused_split,3,2,qnn_graph,fused_tail,cpu,4,5,36.646000,0.354000,39.700000,40.908000,1.208000
24,mlp_control,7,0,qnn_graph,mlp_control_full,cpu,5,1,37.893000,0.107000,40.966000,41.051000,0.085000
25,mlp_control,8,0,qnn_graph,mlp_control_full,cpu,5,1,42.411000,0.107000,42.417000,42.471000,0.054000
26,fused_split,4,0,qnn_graph,fused_vision_conv,dsp,6,2,44.692000,0.459000,44.702000,46.900000,2.198000
27,fused_split,4,1,qnn_graph,fused_depth_conv,dsp,6,2,46.053000,0.392000,47.755000,48.185000,0.430000
28,mlp_control,9,0,qnn_graph,mlp_control_full,dsp,6,6,46.445000,0.589000,46.945000,47.445000,0.500000
29,fused_split,4,2,qnn_graph,fused_tail,cpu,4,5,46.646000,0.354000,48.244000,49.705000,1.461000
30,yolov8n_b,0,1,qnn_graph,yolov8n_head,dsp,6,10,47.034000,15.377000,48.241000,67.182000,18.941000
31,fused_split,5,0,qnn_graph,fused_vision_conv,hta,7,0,50.000000,0.931000,50.004000,50.848000,0.844000
32,yolov8n_d,0,0,qnn_graph,yolov8n_backbone,hta,7,11,50.931000,13.909000,50.990000,64.928000,13.938000
33,fused_split,5,1,qnn_graph,fused_depth_conv,cpu,4,5,52.879000,0.014000,52.902000,54.050000,1.148000
34,mlp_control,10,0,qnn_graph,mlp_control_full,cpu,5,1,52.893000,0.107000,52.904000,52.976000,0.072000
35,fused_split,5,2,qnn_graph,fused_tail,cpu,4,5,56.646000,0.354000,56.655000,57.655000,1.000000
36,mlp_control,11,0,qnn_graph,mlp_control_full,cpu,5,1,57.000000,0.107000,57.012000,57.093000,0.081000
37,mlp_control,12,0,qnn_graph,mlp_control_full,dsp,6,6,62.411000,0.589000,67.552000,68.133000,0.581000
38,fused_split,6,1,qnn_graph,fused_depth_conv,dsp,6,2,64.231000,0.392000,68.160000,68.569000,0.409000
39,yolov8n_c,0,1,qnn_graph,yolov8n_head,dsp,6,12,64.623000,15.377000,68.583000,85.519000,16.936000
40,fused_split,6,0,qnn_graph,fused_vision_conv,hta,7,0,64.840000,0.931000,65.391000,66.309000,0.918000
41,fused_split,6,2,qnn_graph,fused_tail,cpu,4,5,66.646000,0.354000,68.769000,69.632000,0.863000
42,mlp_control,13,0,qnn_graph,mlp_control_full,cpu,5,1,67.000000,0.107000,67.015000,67.076000,0.061000
43,fused_split,7,1,qnn_graph,fused_depth_conv,hta,7,0,70.000000,1.568000,70.005000,70.759000,0.754000
44,fused_split,7,0,qnn_graph,fused_vision_conv,hta,7,0,71.568000,0.931000,71.571000,72.576000,1.005000
45,mlp_control,14,0,qnn_graph,mlp_control_full,cpu,5,1,72.392000,0.107000,72.407000,72.467000,0.060000
46,fused_split,7,2,qnn_graph,fused_tail,cpu,4,5,74.646000,0.354000,74.659000,75.519000,0.860000
47,mlp_control,15,0,qnn_graph,mlp_control_full,cpu,5,1,75.000000,0.107000,75.006000,75.050000,0.044000
48,vint,0,1,qnn_graph,vint_decoder,cpu,5,13,78.801000,37.826000,78.867000,105.531000,26.664000
49,fused_split,8,1,qnn_graph,fused_depth_conv,dsp,6,2,80.000000,0.392000,86.584000,88.197000,1.613000
50,fused_split,8,0,qnn_graph,fused_vision_conv,hta,7,0,80.050000,0.931000,82.333000,86.130000,3.797000
51,mlp_control,16,0,qnn_graph,mlp_control_full,dsp,6,6,80.392000,0.589000,86.017000,86.566000,0.549000
52,yolov8n_e,0,0,qnn_graph,yolov8n_backbone,hta,7,14,80.981000,13.909000,86.222000,101.707000,15.485000
53,fused_split,8,2,qnn_graph,fused_tail,dsp,6,2,80.981000,4.303000,88.223000,91.550000,3.327000
54,mlp_control,17,0,qnn_graph,mlp_control_full,dsp,6,6,85.284000,0.589000,91.973000,92.769000,0.796000
55,yolov8n_d,0,1,qnn_graph,yolov8n_head,dsp,6,15,85.873000,15.377000,92.832000,110.361000,17.529000
56,yolov8n_e,0,1,qnn_graph,yolov8n_head,dsp,6,16,101.250000,15.377000,110.755000,126.910000,16.155000
