source,point,arm,job,tile,lane,count
sweep,baseline_seed0,baseline,dronet_a,dronet_full,dsp,1
sweep,baseline_seed0,baseline,dronet_a,dronet_full,hta,2
sweep,baseline_seed0,baseline,mlp_control,mlp_control_full,cpu,5
sweep,baseline_seed0,baseline,mlp_control,mlp_control_full,dsp,1
sweep,baseline_seed0,baseline,yolov8n_c,yolov8n_backbone,hta,1
sweep,baseline_seed0,baseline,dronet_b,dronet_full,dsp,2
sweep,baseline_seed0,baseline,dronet_b,dronet_full,hta,1
sweep,baseline_seed0,baseline,yolov8n_a,yolov8n_backbone,dsp,1
sweep,baseline_seed0,baseline,yolov8n_b,yolov8n_backbone,hta,1
sweep,baseline_seed0,baseline,yolov8n_a,yolov8n_head,dsp,1
sweep,baseline_seed0,baseline,yolov8n_c,yolov8n_head,cpu,1
sweep,baseline_seed0,baseline,yolov8n_d,yolov8n_backbone,hta,1
sweep,baseline_seed0,baseline,yolov8n_b,yolov8n_head,dsp,1
sweep,baseline_seed0,baseline,yolov8n_d,yolov8n_head,dsp,1
sweep,baseline_seed1,baseline,mlp_control,mlp_control_full,cpu,9
sweep,baseline_seed1,baseline,mlp_control,mlp_control_full,dsp,1
sweep,baseline_seed1,baseline,yolov8n_c,yolov8n_backbone,dsp,1
sweep,baseline_seed1,baseline,yolov8n_a,yolov8n_backbone,hta,1
sweep,baseline_seed1,baseline,dronet,dronet_full,cpu,2
sweep,baseline_seed1,baseline,dronet,dronet_full,dsp,2
sweep,baseline_seed1,baseline,dronet,dronet_full,hta,1
sweep,baseline_seed1,baseline,yolov8n_d,yolov8n_backbone,hta,1
sweep,baseline_seed1,baseline,yolov8n_a,yolov8n_head,dsp,1
sweep,baseline_seed1,baseline,yolov8n_b,yolov8n_backbone,hta,1
sweep,baseline_seed1,baseline,yolov8n_c,yolov8n_head,dsp,1
sweep,baseline_seed1,baseline,yolov8n_d,yolov8n_head,cpu,1
sweep,baseline_seed1,baseline,yolov8n_e,yolov8n_backbone,hta,1
sweep,baseline_seed1,baseline,yolov8n_b,yolov8n_head,dsp,1
sweep,baseline_seed1,baseline,yolov8n_e,yolov8n_head,dsp,1
sweep,baseline_seed2,baseline,dronet,dronet_full,dsp,1
sweep,baseline_seed2,baseline,dronet,dronet_full,cpu,1
sweep,baseline_seed2,baseline,dronet,dronet_full,hta,1
sweep,baseline_seed2,baseline,mlp_control,mlp_control_full,cpu,10
sweep,baseline_seed2,baseline,mlp_control,mlp_control_full,dsp,5
sweep,baseline_seed2,baseline,yolov8n_d,yolov8n_backbone,dsp,1
sweep,baseline_seed2,baseline,yolov8n_a,yolov8n_backbone,hta,1
sweep,baseline_seed2,baseline,yolov8n_c,yolov8n_backbone,hta,1
sweep,baseline_seed2,baseline,yolov8n_a,yolov8n_head,dsp,1
sweep,baseline_seed2,baseline,yolov8n_c,yolov8n_head,cpu,1
sweep,baseline_seed2,baseline,yolov8n_d,yolov8n_head,dsp,1
sweep,baseline_seed2,baseline,yolov8n_b,yolov8n_backbone,hta,1
sweep,baseline_seed2,baseline,yolov8n_b,yolov8n_head,dsp,1
sweep,baseline_seed3,baseline,dronet_a,dronet_full,dsp,2
sweep,baseline_seed3,baseline,dronet_a,dronet_full,hta,1
sweep,baseline_seed3,baseline,mlp_control,mlp_control_full,cpu,6
sweep,baseline_seed3,baseline,yolov8n_b,yolov8n_backbone,dsp,1
sweep,baseline_seed3,baseline,dronet_b,dronet_full,hta,2
sweep,baseline_seed3,baseline,dronet_b,dronet_full,dsp,1
sweep,baseline_seed3,baseline,yolov8n_a,yolov8n_backbone,hta,1
sweep,baseline_seed3,baseline,yolov8n_b,yolov8n_head,dsp,1
sweep,baseline_seed3,baseline,yolov8n_a,yolov8n_head,dsp,1
sweep,baseline_seed6,baseline,dronet,dronet_full,hta,7
sweep,baseline_seed6,baseline,dronet,dronet_full,dsp,3
sweep,baseline_seed6,baseline,mlp_control,mlp_control_full,cpu,10
sweep,baseline_seed6,baseline,yolov8n_d,yolov8n_backbone,dsp,1
sweep,baseline_seed6,baseline,yolov8n_b,yolov8n_backbone,hta,1
sweep,baseline_seed6,baseline,yolov8n_d,yolov8n_head,dsp,1
sweep,baseline_seed6,baseline,yolov8n_a,yolov8n_backbone,dsp,1
sweep,baseline_seed6,baseline,yolov8n_a,yolov8n_head,dsp,1
sweep,baseline_seed6,baseline,yolov8n_e,yolov8n_backbone,hta,1
sweep,baseline_seed6,baseline,yolov8n_b,yolov8n_head,cpu,1
sweep,baseline_seed6,baseline,yolov8n_c,yolov8n_backbone,hta,1
sweep,baseline_seed6,baseline,yolov8n_e,yolov8n_head,dsp,1
sweep,baseline_seed6,baseline,yolov8n_c,yolov8n_head,dsp,1
sweep,fused_seed0,fused,fused_split,fused_vision_conv,dsp,2
sweep,fused_seed0,fused,fused_split,fused_vision_conv,hta,1
sweep,fused_seed0,fused,yolov8n_b,yolov8n_backbone,hta,1
sweep,fused_seed0,fused,fused_split,fused_depth_conv,cpu,2
sweep,fused_seed0,fused,fused_split,fused_depth_conv,dsp,1
sweep,fused_seed0,fused,mlp_control,mlp_control_full,cpu,4
sweep,fused_seed0,fused,mlp_control,mlp_control_full,dsp,2
sweep,fused_seed0,fused,fused_split,fused_tail,cpu,2
sweep,fused_seed0,fused,fused_split,fused_tail,dsp,1
sweep,fused_seed0,fused,yolov8n_a,yolov8n_backbone,dsp,1
sweep,fused_seed0,fused,yolov8n_a,yolov8n_head,dsp,1
sweep,fused_seed0,fused,yolov8n_c,yolov8n_backbone,hta,1
sweep,fused_seed0,fused,yolov8n_b,yolov8n_head,cpu,1
sweep,fused_seed0,fused,yolov8n_d,yolov8n_backbone,hta,1
sweep,fused_seed0,fused,yolov8n_c,yolov8n_head,dsp,1
sweep,fused_seed0,fused,yolov8n_d,yolov8n_head,dsp,1
