strategy,trajectory,hard_output_valid_rate,soft_utility_fraction,switch_count,consumer_invocations,epochs_in_candidate,fraction_in_candidate,max_input_age,n_epochs,selector_overhead_us_per_epoch,selector_overhead_us_total,soft_completed,soft_offered,switches_per_epoch,transition_violations,worst_epoch_output_valid
static_cand_c1_defer12,ramp,0.6373626373626373,0.9,0,364,"{""cand_c1_defer12"": 10}","{""cand_c1_defer12"": 1.0}",410.54607399999986,10,0.0,0.0,18,20,0.0,2,0.16129032258064516
static_cand_c2_defer12_admit2,ramp,0.8866666666666667,0.7,0,300,"{""cand_c2_defer12_admit2"": 10}","{""cand_c2_defer12_admit2"": 1.0}",90.54607400000002,10,0.0,0.0,14,20,0.0,0,0.8666666666666667
static_cand_c2_defer12_admit1,ramp,0.9066666666666666,0.4,0,300,"{""cand_c2_defer12_admit1"": 10}","{""cand_c2_defer12_admit1"": 1.0}",90.54607400000002,10,0.0,0.0,8,20,0.0,0,0.9
adaptive,ramp,0.9066666666666666,0.4,1,300,"{""cand_c1_defer12"": 2, ""cand_c2_defer12_admit1"": 8}","{""cand_c1_defer12"": 0.2, ""cand_c2_defer12_admit1"": 0.8}",90.54607400000002,10,4.2611,42.611,8,20,0.1,0,0.9
oracle_contention_aware,ramp,0.9066666666666666,0.4,2,300,"{""cand_c1_defer12"": 4, ""cand_c2_defer12_admit1"": 6}","{""cand_c1_defer12"": 0.4, ""cand_c2_defer12_admit1"": 0.6}",90.54607400000002,10,0.0,0.0,8,20,0.2,0,0.9
static_cand_c1_defer12,step,0.48598130841121495,0.75,0,428,"{""cand_c1_defer12"": 10}","{""cand_c1_defer12"": 1.0}",410.54607399999986,10,0.0,0.0,12,16,0.0,4,0.16129032258064516
static_cand_c2_defer12_admit2,step,0.9066666666666666,0.5,0,300,"{""cand_c2_defer12_admit2"": 10}","{""cand_c2_defer12_admit2"": 1.0}",90.54607400000002,10,0.0,0.0,8,16,0.0,0,0.8666666666666667
static_cand_c2_defer12_admit1,step,0.92,0.25,0,300,"{""cand_c2_defer12_admit1"": 10}","{""cand_c2_defer12_admit1"": 1.0}",90.54607400000002,10,0.0,0.0,4,16,0.0,0,0.9
adaptive,step,0.7801204819277109,0.375,2,332,"{""cand_c1_defer12"": 3, ""cand_c2_defer12_admit1"": 4, ""cand_c2_defer12_admit2"": 3}","{""cand_c1_defer12"": 0.3, ""cand_c2_defer12_admit1"": 0.4, ""cand_c2_defer12_admit2"": 0.3}",410.54607399999986,10,2.2832,22.832,6,16,0.2,1,0.16129032258064516
oracle_contention_aware,step,0.92,0.25,2,300,"{""cand_c1_defer12"": 6, ""cand_c2_defer12_admit1"": 4}","{""cand_c1_defer12"": 0.6, ""cand_c2_defer12_admit1"": 0.4}",90.54607400000002,10,0.0,0.0,4,16,0.2,0,0.9
static_cand_c1_defer12,oscillate,0.41304347826086957,0.75,0,460,"{""cand_c1_defer12"": 10}","{""cand_c1_defer12"": 1.0}",410.54607399999986,10,0.0,0.0,15,20,0.0,5,0.16129032258064516
static_cand_c2_defer12_admit2,oscillate,0.9,0.5,0,300,"{""cand_c2_defer12_admit2"": 10}","{""cand_c2_defer12_admit2"": 1.0}",90.54607400000002,10,0.0,0.0,10,20,0.0,0,0.8666666666666667
static_cand_c2_defer12_admit1,oscillate,0.9166666666666666,0.25,0,300,"{""cand_c2_defer12_admit1"": 10}","{""cand_c2_defer12_admit1"": 1.0}",90.54607400000002,10,0.0,0.0,5,20,0.0,0,0.9
adaptive,oscillate,0.7710843373493976,0.45,3,332,"{""cand_c1_defer12"": 2, ""cand_c2_defer12_admit1"": 5, ""cand_c2_defer12_admit2"": 3}","{""cand_c1_defer12"": 0.2, ""cand_c2_defer12_admit1"": 0.5, ""cand_c2_defer12_admit2"": 0.3}",410.54607399999986,10,2.654,26.54,9,20,0.3,1,0.16129032258064516
oracle_contention_aware,oscillate,0.9166666666666666,0.25,9,300,"{""cand_c1_defer12"": 5, ""cand_c2_defer12_admit1"": 5}","{""cand_c1_defer12"": 0.5, ""cand_c2_defer12_admit1"": 0.5}",90.54607400000002,10,0.0,0.0,5,20,0.9,0,0.9
static_cand_c1_defer12,sustained,0.16129032258064516,0.75,0,620,"{""cand_c1_defer12"": 10}","{""cand_c1_defer12"": 1.0}",410.54607399999986,10,0.0,0.0,30,40,0.0,10,0.16129032258064516
static_cand_c2_defer12_admit2,sustained,0.8666666666666667,0.5,0,300,"{""cand_c2_defer12_admit2"": 10}","{""cand_c2_defer12_admit2"": 1.0}",90.54607400000002,10,0.0,0.0,20,40,0.0,0,0.8666666666666667
static_cand_c2_defer12_admit1,sustained,0.9,0.25,0,300,"{""cand_c2_defer12_admit1"": 10}","{""cand_c2_defer12_admit1"": 1.0}",90.54607400000002,10,0.0,0.0,10,40,0.0,0,0.9
adaptive,sustained,0.7620481927710844,0.3,1,332,"{""cand_c1_defer12"": 1, ""cand_c2_defer12_admit1"": 9}","{""cand_c1_defer12"": 0.1, ""cand_c2_defer12_admit1"": 0.9}",410.54607399999986,10,2.2152,22.152,12,40,0.1,1,0.16129032258064516
oracle_contention_aware,sustained,0.9,0.25,0,300,"{""cand_c2_defer12_admit1"": 10}","{""cand_c2_defer12_admit1"": 1.0}",90.54607400000002,10,0.0,0.0,10,40,0.0,0,0.9
static_static_nominal,ramp,0.3487179487179487,1.0,0,390,"{""static_nominal"": 10}","{""static_nominal"": 1.0}",500.54607399999986,10,0.0,0.0,20,20,0.0,4,0.0
static_static_nominal,step,0.3853211009174312,1.0,0,436,"{""static_nominal"": 10}","{""static_nominal"": 1.0}",500.54607399999986,10,0.0,0.0,16,16,0.0,4,0.0
static_static_nominal,oscillate,0.2978723404255319,1.0,0,470,"{""static_nominal"": 10}","{""static_nominal"": 1.0}",500.54607399999986,10,0.0,0.0,20,20,0.0,5,0.0
static_static_nominal,sustained,0.0,1.0,0,640,"{""static_nominal"": 10}","{""static_nominal"": 1.0}",500.54607399999986,10,0.0,0.0,40,40,0.0,10,0.0
