strategy,trajectory,epoch,observation_from_epoch,observed_max_age,freshness_window,risk,level_before,level_after,candidate_before,candidate_after,target_level,reason,switched,switch_count,epochs_at_level_before,epochs_since_switch_before,blocked_by
adaptive,ramp,0,,,80.546074,,0,0,cand_c1_defer12,cand_c1_defer12,0,bootstrap_no_observation,False,0,0,-1,
adaptive,ramp,1,0,60.54607400000002,80.546074,0.7516949119084316,0,0,cand_c1_defer12,cand_c1_defer12,0,held_no_trigger,False,0,1,-1,
adaptive,ramp,2,1,90.54607400000002,80.546074,1.1241525440457845,0,2,cand_c1_defer12,cand_c2_defer12_admit1,2,escalated,True,1,2,-1,
adaptive,ramp,3,2,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,0,0,
adaptive,ramp,4,3,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,1,1,
adaptive,ramp,5,4,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,2,2,
adaptive,ramp,6,5,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,3,3,
adaptive,ramp,7,6,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,4,4,
adaptive,ramp,8,7,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,5,5,
adaptive,ramp,9,8,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,6,6,
adaptive,step,0,,,80.546074,,0,0,cand_c1_defer12,cand_c1_defer12,0,bootstrap_no_observation,False,0,0,-1,
adaptive,step,1,0,60.54607400000002,80.546074,0.7516949119084316,0,0,cand_c1_defer12,cand_c1_defer12,0,held_no_trigger,False,0,1,-1,
adaptive,step,2,1,60.54607400000002,80.546074,0.7516949119084316,0,0,cand_c1_defer12,cand_c1_defer12,0,held_no_trigger,False,0,2,-1,
adaptive,step,3,2,410.54607399999986,80.546074,5.097033953510879,0,2,cand_c1_defer12,cand_c2_defer12_admit1,2,escalated,True,1,3,-1,
adaptive,step,4,3,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,0,0,
adaptive,step,5,4,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,1,1,
adaptive,step,6,5,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,2,2,
adaptive,step,7,6,60.54607400000002,80.546074,0.7516949119084316,2,1,cand_c2_defer12_admit1,cand_c2_defer12_admit2,0,deescalated,True,2,3,3,
adaptive,step,8,7,60.54607400000002,80.546074,0.7516949119084316,1,1,cand_c2_defer12_admit2,cand_c2_defer12_admit2,0,held_hysteresis,False,2,0,0,held_hysteresis
adaptive,step,9,8,60.54607400000002,80.546074,0.7516949119084316,1,1,cand_c2_defer12_admit2,cand_c2_defer12_admit2,0,held_hysteresis,False,2,1,1,held_hysteresis
adaptive,oscillate,0,,,80.546074,,0,0,cand_c1_defer12,cand_c1_defer12,0,bootstrap_no_observation,False,0,0,-1,
adaptive,oscillate,1,0,60.54607400000002,80.546074,0.7516949119084316,0,0,cand_c1_defer12,cand_c1_defer12,0,held_no_trigger,False,0,1,-1,
adaptive,oscillate,2,1,410.54607399999986,80.546074,5.097033953510879,0,2,cand_c1_defer12,cand_c2_defer12_admit1,2,escalated,True,1,2,-1,
adaptive,oscillate,3,2,60.54607400000002,80.546074,0.7516949119084316,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,0,held_min_residency,False,1,0,0,held_min_residency|held_cooldown
adaptive,oscillate,4,3,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,1,1,
adaptive,oscillate,5,4,60.54607400000002,80.546074,0.7516949119084316,2,1,cand_c2_defer12_admit1,cand_c2_defer12_admit2,0,deescalated,True,2,2,2,
adaptive,oscillate,6,5,90.54607400000002,80.546074,1.1241525440457845,1,1,cand_c2_defer12_admit2,cand_c2_defer12_admit2,2,held_min_residency,False,2,0,0,held_min_residency|held_cooldown
adaptive,oscillate,7,6,60.54607400000002,80.546074,0.7516949119084316,1,1,cand_c2_defer12_admit2,cand_c2_defer12_admit2,0,held_hysteresis,False,2,1,1,held_hysteresis
adaptive,oscillate,8,7,90.54607400000002,80.546074,1.1241525440457845,1,2,cand_c2_defer12_admit2,cand_c2_defer12_admit1,2,escalated,True,3,2,2,
adaptive,oscillate,9,8,60.54607400000002,80.546074,0.7516949119084316,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,0,held_min_residency,False,3,0,0,held_min_residency|held_cooldown
adaptive,sustained,0,,,80.546074,,0,0,cand_c1_defer12,cand_c1_defer12,0,bootstrap_no_observation,False,0,0,-1,
adaptive,sustained,1,0,410.54607399999986,80.546074,5.097033953510879,0,2,cand_c1_defer12,cand_c2_defer12_admit1,2,escalated,True,1,1,-1,
adaptive,sustained,2,1,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,0,0,
adaptive,sustained,3,2,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,1,1,
adaptive,sustained,4,3,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,2,2,
adaptive,sustained,5,4,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,3,3,
adaptive,sustained,6,5,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,4,4,
adaptive,sustained,7,6,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,5,5,
adaptive,sustained,8,7,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,6,6,
adaptive,sustained,9,8,90.54607400000002,80.546074,1.1241525440457845,2,2,cand_c2_defer12_admit1,cand_c2_defer12_admit1,2,held_at_max_protection,False,1,7,7,
