policy,contention_level,seed,task,instance,criticality,release_time,start_time,end_time,deadline
probe_defer40,0,0,dronet,0,hard,0.0,0.546074,17.174682999999995,50.0
probe_defer40,0,0,dronet,1,hard,50.0,50.546074,67.17468299999999,100.0
probe_defer40,0,0,dronet,2,hard,100.0,100.54607400000002,117.17468300000002,150.0
probe_defer40,0,0,dronet,3,hard,150.0,150.546074,167.17468300000002,200.0
probe_defer40,0,0,dronet,4,hard,200.0,200.546074,217.17468300000002,250.0
probe_defer40,0,0,dronet,5,hard,250.0,250.546074,267.17468299999996,300.0
probe_defer40,0,0,mlp_control,0,hard,0.0,0.0,0.546074,10.0
probe_defer40,0,0,mlp_control,1,hard,10.0,10.0,10.546074000000003,20.0
probe_defer40,0,0,mlp_control,10,hard,100.0,100.0,100.54607400000002,110.0
probe_defer40,0,0,mlp_control,11,hard,110.0,110.0,110.54607400000002,120.0
probe_defer40,0,0,mlp_control,12,hard,120.0,120.0,120.54607400000002,130.0
probe_defer40,0,0,mlp_control,13,hard,130.0,130.0,130.546074,140.0
probe_defer40,0,0,mlp_control,14,hard,140.0,140.0,140.546074,150.0
probe_defer40,0,0,mlp_control,15,hard,150.0,150.0,150.546074,160.0
probe_defer40,0,0,mlp_control,16,hard,160.0,160.0,160.546074,170.0
probe_defer40,0,0,mlp_control,17,hard,170.0,170.0,170.546074,180.0
probe_defer40,0,0,mlp_control,18,hard,180.0,180.0,180.546074,190.0
probe_defer40,0,0,mlp_control,19,hard,190.0,190.0,190.546074,200.0
probe_defer40,0,0,mlp_control,2,hard,20.0,20.0,20.546073999999994,30.0
probe_defer40,0,0,mlp_control,20,hard,200.0,200.0,200.546074,210.0
probe_defer40,0,0,mlp_control,21,hard,210.0,210.0,210.546074,220.0
probe_defer40,0,0,mlp_control,22,hard,220.0,220.0,220.546074,230.0
probe_defer40,0,0,mlp_control,23,hard,230.0,230.0,230.546074,240.0
probe_defer40,0,0,mlp_control,24,hard,240.0,240.0,240.546074,250.0
probe_defer40,0,0,mlp_control,25,hard,250.0,250.0,250.546074,260.0
probe_defer40,0,0,mlp_control,26,hard,260.0,260.0,260.5460739999999,270.0
probe_defer40,0,0,mlp_control,27,hard,270.0,270.0,270.5460739999999,280.0
probe_defer40,0,0,mlp_control,28,hard,280.0,280.0,280.5460739999999,290.0
probe_defer40,0,0,mlp_control,29,hard,290.0,290.0,290.5460739999999,300.0
probe_defer40,0,0,mlp_control,3,hard,30.0,30.0,30.546073999999994,40.0
probe_defer40,0,0,mlp_control,4,hard,40.0,40.0,40.546074,50.0
probe_defer40,0,0,mlp_control,5,hard,50.0,50.0,50.546074,60.0
probe_defer40,0,0,mlp_control,6,hard,60.0,60.0,60.546074,70.0
probe_defer40,0,0,mlp_control,7,hard,70.0,70.0,70.54607400000002,80.0
probe_defer40,0,0,mlp_control,8,hard,80.0,80.0,80.54607400000002,90.0
probe_defer40,0,0,mlp_control,9,hard,90.0,90.0,90.54607400000002,100.0
probe_defer40,1,0,dronet,0,hard,0.0,0.546074,17.174682999999995,50.0
probe_defer40,1,0,dronet,1,hard,50.0,110.54607400000002,127.17468300000002,100.0
probe_defer40,1,0,dronet,2,hard,100.0,130.546074,147.17468300000002,150.0
probe_defer40,1,0,dronet,3,hard,150.0,150.546074,167.17468300000002,200.0
probe_defer40,1,0,dronet,4,hard,200.0,200.546074,217.17468300000002,250.0
probe_defer40,1,0,dronet,5,hard,250.0,250.546074,267.17468299999996,300.0
probe_defer40,1,0,mlp_control,0,hard,0.0,0.0,0.546074,10.0
probe_defer40,1,0,mlp_control,1,hard,10.0,10.0,10.546074000000003,20.0
probe_defer40,1,0,mlp_control,10,hard,100.0,100.0,100.54607400000002,110.0
probe_defer40,1,0,mlp_control,11,hard,110.0,110.0,110.54607400000002,120.0
probe_defer40,1,0,mlp_control,12,hard,120.0,120.0,120.54607400000002,130.0
probe_defer40,1,0,mlp_control,13,hard,130.0,130.0,130.546074,140.0
probe_defer40,1,0,mlp_control,14,hard,140.0,140.0,140.546074,150.0
probe_defer40,1,0,mlp_control,15,hard,150.0,150.0,150.546074,160.0
probe_defer40,1,0,mlp_control,16,hard,160.0,160.0,160.546074,170.0
probe_defer40,1,0,mlp_control,17,hard,170.0,170.0,170.546074,180.0
probe_defer40,1,0,mlp_control,18,hard,180.0,180.0,180.546074,190.0
probe_defer40,1,0,mlp_control,19,hard,190.0,190.0,190.546074,200.0
probe_defer40,1,0,mlp_control,2,hard,20.0,20.0,20.546073999999994,30.0
probe_defer40,1,0,mlp_control,20,hard,200.0,200.0,200.546074,210.0
probe_defer40,1,0,mlp_control,21,hard,210.0,210.0,210.546074,220.0
probe_defer40,1,0,mlp_control,22,hard,220.0,220.0,220.546074,230.0
probe_defer40,1,0,mlp_control,23,hard,230.0,230.0,230.546074,240.0
probe_defer40,1,0,mlp_control,24,hard,240.0,240.0,240.546074,250.0
probe_defer40,1,0,mlp_control,25,hard,250.0,250.0,250.546074,260.0
probe_defer40,1,0,mlp_control,26,hard,260.0,260.0,260.5460739999999,270.0
probe_defer40,1,0,mlp_control,27,hard,270.0,270.0,270.5460739999999,280.0
probe_defer40,1,0,mlp_control,28,hard,280.0,280.0,280.5460739999999,290.0
probe_defer40,1,0,mlp_control,29,hard,290.0,290.0,290.5460739999999,300.0
probe_defer40,1,0,mlp_control,3,hard,30.0,30.0,30.546073999999994,40.0
probe_defer40,1,0,mlp_control,4,hard,40.0,40.0,40.546074,50.0
probe_defer40,1,0,mlp_control,5,hard,50.0,50.0,50.546074,60.0
probe_defer40,1,0,mlp_control,6,hard,60.0,60.0,60.546074,70.0
probe_defer40,1,0,mlp_control,7,hard,70.0,70.0,70.54607400000002,80.0
probe_defer40,1,0,mlp_control,8,hard,80.0,80.0,80.62957200000002,90.0
probe_defer40,1,0,mlp_control,9,hard,90.0,90.0,90.54607400000002,100.0
probe_defer40,1,0,yolov8_nano_64,0,soft,40.0,40.546074,103.58571800000001,340.0
probe_defer40,2,0,dronet,0,hard,0.0,0.546074,17.174682999999995,50.0
probe_defer40,2,0,dronet,1,hard,50.0,110.54607400000002,127.17468300000002,100.0
probe_defer40,2,0,dronet,2,hard,100.0,130.546074,147.17468300000002,150.0
probe_defer40,2,0,dronet,3,hard,150.0,150.546074,167.17468300000002,200.0
probe_defer40,2,0,dronet,4,hard,200.0,260.5460739999999,277.1746829999999,250.0
probe_defer40,2,0,dronet,5,hard,250.0,280.5460739999999,297.1746829999999,300.0
probe_defer40,2,0,mlp_control,0,hard,0.0,0.0,0.546074,10.0
probe_defer40,2,0,mlp_control,1,hard,10.0,10.0,10.546074000000003,20.0
probe_defer40,2,0,mlp_control,10,hard,100.0,100.0,100.54607400000002,110.0
probe_defer40,2,0,mlp_control,11,hard,110.0,110.0,110.54607400000002,120.0
probe_defer40,2,0,mlp_control,12,hard,120.0,120.0,120.54607400000002,130.0
probe_defer40,2,0,mlp_control,13,hard,130.0,130.0,130.546074,140.0
probe_defer40,2,0,mlp_control,14,hard,140.0,140.0,140.546074,150.0
probe_defer40,2,0,mlp_control,15,hard,150.0,150.0,150.546074,160.0
probe_defer40,2,0,mlp_control,16,hard,160.0,160.0,160.546074,170.0
probe_defer40,2,0,mlp_control,17,hard,170.0,170.0,170.546074,180.0
probe_defer40,2,0,mlp_control,18,hard,180.0,180.0,180.546074,190.0
probe_defer40,2,0,mlp_control,19,hard,190.0,190.0,190.546074,200.0
probe_defer40,2,0,mlp_control,2,hard,20.0,20.0,20.546073999999994,30.0
probe_defer40,2,0,mlp_control,20,hard,200.0,200.0,200.546074,210.0
probe_defer40,2,0,mlp_control,21,hard,210.0,210.0,210.546074,220.0
probe_defer40,2,0,mlp_control,22,hard,220.0,220.0,220.546074,230.0
probe_defer40,2,0,mlp_control,23,hard,230.0,230.0,230.629572,240.0
probe_defer40,2,0,mlp_control,24,hard,240.0,240.0,240.546074,250.0
probe_defer40,2,0,mlp_control,25,hard,250.0,250.0,250.546074,260.0
probe_defer40,2,0,mlp_control,26,hard,260.0,260.0,260.5460739999999,270.0
probe_defer40,2,0,mlp_control,27,hard,270.0,270.0,270.5460739999999,280.0
probe_defer40,2,0,mlp_control,28,hard,280.0,280.0,280.5460739999999,290.0
probe_defer40,2,0,mlp_control,29,hard,290.0,290.0,290.5460739999999,300.0
probe_defer40,2,0,mlp_control,3,hard,30.0,30.0,30.546073999999994,40.0
probe_defer40,2,0,mlp_control,4,hard,40.0,40.0,40.546074,50.0
probe_defer40,2,0,mlp_control,5,hard,50.0,50.0,50.546074,60.0
probe_defer40,2,0,mlp_control,6,hard,60.0,60.0,60.546074,70.0
probe_defer40,2,0,mlp_control,7,hard,70.0,70.0,70.54607400000002,80.0
probe_defer40,2,0,mlp_control,8,hard,80.0,80.0,80.62957200000002,90.0
probe_defer40,2,0,mlp_control,9,hard,90.0,90.0,90.54607400000002,100.0
probe_defer40,2,0,yolov8_nano_64,0,soft,40.0,40.546074,103.58571800000001,340.0
probe_defer40,2,0,yolov8_nano_64,1,soft,190.0,190.546074,253.585718,490.0
probe_defer40,3,0,dronet,0,hard,0.0,0.546074,17.174682999999995,50.0
probe_defer40,3,0,dronet,1,hard,50.0,110.54607400000002,127.17468300000002,100.0
probe_defer40,3,0,dronet,10,hard,500.0,523.9993809999996,540.6279899999994,550.0
probe_defer40,3,0,dronet,2,hard,100.0,130.546074,147.686291,150.0
probe_defer40,3,0,dronet,3,hard,150.0,210.546074,227.17468300000002,200.0
probe_defer40,3,0,dronet,4,hard,200.0,230.546074,247.686291,250.0
probe_defer40,3,0,dronet,5,hard,250.0,310.5460739999999,327.1746829999999,300.0
probe_defer40,3,0,dronet,6,hard,300.0,330.5460739999999,347.6862909999999,350.0
probe_defer40,3,0,dronet,7,hard,350.0,410.5460739999999,427.1746829999999,400.0
probe_defer40,3,0,dronet,8,hard,400.0,430.5460739999999,447.6862909999999,450.0
probe_defer40,3,0,dronet,9,hard,450.0,507.51690999999977,524.1455189999996,500.0
probe_defer40,3,0,mlp_control,0,hard,0.0,0.0,0.546074,10.0
probe_defer40,3,0,mlp_control,1,hard,10.0,10.0,10.546074000000003,20.0
probe_defer40,3,0,mlp_control,10,hard,100.0,100.0,100.54607400000002,110.0
probe_defer40,3,0,mlp_control,11,hard,110.0,110.0,110.54607400000002,120.0
