entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv,1,0.000000,2.165125,0,7162,69071
1,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,69120,73516
2,yolov8_nano,0,0,conv2d_batchnorm2d_silu_s8,l0.conv,rvv,2,0.000000,5.001542,0,73552,191475
3,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,191524,191929
4,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,191945,192404
5,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,192419,192632
6,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,192649,192846
7,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,192858,192989
8,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,193012,193050
9,dronet,0,1,maxpool2d_s8,maxpool1,rvv,0,2.165125,0.801750,0,193070,212691
10,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,0,2.966875,0.060042,0,212713,214366
11,dronet,0,5,conv2d_s8,conv_modules.3,rvv,1,2.966875,0.191792,0,214390,219187
12,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,0,3.026917,1.216792,0,219200,248209
13,dronet,0,4,conv2d_s8,conv_modules.2,rvv,0,4.243709,0.777542,0,248225,267993
14,yolov8_nano,0,1,conv2d_batchnorm2d_silu_s8,l1.conv,rvv,2,5.001542,4.494375,0,268027,382201
15,dronet,0,6,add_s8,add,rvv,0,5.021251,0.049542,0,382241,383303
16,dronet,0,10,conv2d_s8,conv_modules.6,rvv,1,5.070793,0.088750,0,383324,389699
17,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,0,5.070793,0.024583,0,389713,390352
18,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,0,5.095376,0.748125,0,390379,405299
19,dronet,0,9,conv2d_s8,conv_modules.5,rvv,0,5.843501,0.934917,0,405308,427481
20,dronet,0,11,add_s8,add_1,rvv,0,6.778418,0.020708,0,427506,428094
21,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,0,6.799126,0.010667,0,428107,428459
22,dronet,0,15,conv2d_s8,conv_modules.9,rvv,1,6.799126,0.114250,0,428485,431097
