entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv,1,0.000000,2.165125,0,1,7453,68172
1,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,12746,13992
2,yolov8_nano,0,0,conv2d_batchnorm2d_silu_s8,l0.conv,rvv,2,0.000000,5.001542,0,2,20046,143958
3,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,14038,14504
4,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,14524,15086
5,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,15127,15425
6,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,15448,15684
7,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,15706,15845
8,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,15862,15898
9,dronet,0,1,maxpool2d_s8,maxpool1,rvv,0,2.165125,0.801750,0,0,69190,88824
10,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,0,2.966875,0.060042,0,0,89083,91058
11,dronet,0,5,conv2d_s8,conv_modules.3,rvv,1,2.966875,0.191792,0,1,89543,94641
12,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,0,3.026917,1.216792,0,0,91077,119250
13,dronet,0,4,conv2d_s8,conv_modules.2,rvv,0,4.243709,0.777542,0,0,119280,137731
14,yolov8_nano,0,1,conv2d_batchnorm2d_silu_s8,l1.conv,rvv,2,5.001542,4.494375,0,2,144021,259254
15,dronet,0,6,add_s8,add,rvv,0,5.021251,0.049542,0,0,137760,138717
16,dronet,0,10,conv2d_s8,conv_modules.6,rvv,1,5.070793,0.088750,0,1,139388,145276
17,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,0,5.070793,0.024583,0,0,138970,139536
18,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,0,5.095376,0.748125,0,0,139553,159217
19,dronet,0,9,conv2d_s8,conv_modules.5,rvv,0,5.843501,0.934917,0,0,159279,181502
20,dronet,0,11,add_s8,add_1,rvv,0,6.778418,0.020708,0,0,181516,182189
21,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,0,6.799126,0.010667,0,0,182405,182833
22,dronet,0,15,conv2d_s8,conv_modules.9,rvv,1,6.799126,0.114250,0,1,182835,185795
23,dronet,0,13,conv2d_batchnorm2d_s8,conv_modules.7,rvv,0,6.809793,0.931250,0,0,182856,203744
24,dronet,0,14,conv2d_s8,conv_modules.8,rvv,0,7.741043,1.634875,0,0,203783,239120
25,dronet,0,16,add_s8,add_2,rvv,0,9.375918,0.010833,0,0,239151,239446
26,dronet,0,17,relu_s8,relu_modules.6,rvv,0,9.386751,0.001167,0,0,239453,239480
27,dronet,0,18,linear_s8,linear1,rvv,1,9.387918,0.002792,0,1,240486,240551
28,dronet,0,19,linear_s8,linear2,rvv,0,9.387918,0.001958,0,0,239766,239861
29,dronet,0,20,sigmoid_s8,sigmoid1,rvv,0,9.389876,0.001417,0,0,239874,239919
30,yolov8_nano,0,2,conv2d_batchnorm2d_silu_s8,l2.cv1.conv,rvv,1,9.495917,2.401042,0,1,259817,317763
31,mlp_control,1,0,linear_s8,mlp.0,rvv,0,10.000000,0.028667,0,0,240195,240681
32,mlp_control,1,1,elu_s8,mlp.1,rvv,0,10.028667,0.015125,0,0,240702,241080
33,mlp_control,1,2,linear_s8,mlp.2,rvv,0,10.043792,0.018458,0,0,241088,241512
34,mlp_control,1,3,elu_s8,mlp.3,rvv,0,10.062250,0.008250,0,0,241529,241747
35,mlp_control,1,4,linear_s8,mlp.4,rvv,0,10.070500,0.006250,0,0,241755,241940
36,mlp_control,1,5,elu_s8,mlp.5,rvv,0,10.076750,0.005125,0,0,241952,242089
37,mlp_control,1,6,linear_s8,mlp.6,rvv,0,10.081875,0.001125,0,0,242102,242140
38,yolov8_nano,0,-1,chunk2_c1,chunk,rvv,0,11.896959,0.000000,-1,-1,0,0
39,yolov8_nano,0,3,conv2d_batchnorm2d_silu_s8,l2.m0.cv1.conv,rvv,0,11.896959,3.869583,0,0,318526,410597
40,yolov8_nano,0,4,conv2d_batchnorm2d_silu_s8,l2.m0.cv2.conv,rvv,0,15.766542,3.812958,0,0,410624,503463
41,yolov8_nano,0,5,add_s8,add,rvv,0,19.579500,0.173333,0,0,503490,507804
