entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv,3,0.000000,2.165125,0,3,8415,71081
1,fused_full,0,0,conv2d_s8,vision_cnn.0,rvv,1,0.000000,0.641500,0,1,12912,37927
2,fused_full,0,5,conv2d_s8,depth_conv.0,rvv,2,0.000000,0.038875,0,2,17926,19754
3,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,22618,23582
4,yolov8_nano,0,0,conv2d_batchnorm2d_silu_s8,l0.conv,rvv_c1,5,0.000000,5.001542,1,5,40691,180776
5,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,23609,24111
6,fused_full,0,6,conv2d_s8,depth_conv.2,rvv,2,0.038875,0.122833,0,2,19821,23362
7,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,24123,24636
8,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,24710,24966
9,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,24974,25188
10,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,25202,25342
11,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,25346,25414
12,fused_full,0,7,linear_s8,depth_fc,rvv,2,0.161708,0.021875,0,2,23407,28231
13,fused_full,0,1,conv2d_s8,vision_cnn.2,rvv,0,0.641500,0.719500,0,0,38827,59053
14,fused_full,0,2,conv2d_s8,vision_cnn.4,rvv,0,1.361000,0.745583,0,0,59080,83316
15,fused_full,0,3,conv2d_s8,vision_cnn.6,rvv,0,2.106583,0.439917,0,0,83339,94509
16,dronet,0,1,maxpool2d_s8,maxpool1,rvv,3,2.165125,0.801750,0,3,71187,90639
17,fused_full,0,4,linear_s8,vision_fc,rvv,0,2.546500,0.260708,0,0,94529,147367
18,fused_full,0,8,cat3_c1_s8,cat,rvv,0,2.807208,0.040083,0,0,147442,148438
19,fused_full,0,9,lstm_s8,lstm.l0,rvv,0,2.847291,0.330208,0,0,148450,179668
20,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,3,2.966875,0.060042,0,3,91018,92773
21,dronet,0,5,conv2d_s8,conv_modules.3,rvv_c1,4,2.966875,0.191792,1,4,91658,99575
22,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,3,3.026917,1.216792,0,3,92812,126625
