entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv,3,0.000000,2.165125,0,3,8350,73346
1,fused_full,0,0,conv2d_s8,vision_cnn.0,rvv,1,0.000000,0.512750,0,1,12905,36917
2,fused_full,0,6,conv2d_s8,depth_conv.0,rvv,2,0.000000,0.035208,0,2,20224,21943
3,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,25607,29607
4,yolov8_nano,0,0,conv2d_batchnorm2d_silu_s8,l0.conv,rvv_c1,5,0.000000,5.001542,1,5,31868,173863
5,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,29639,30079
6,fused_full,0,7,conv2d_s8,depth_conv.2,rvv,2,0.035208,0.112583,0,2,21998,24767
7,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,30100,30650
8,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,30673,30918
9,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,30969,31220
10,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,31230,31377
11,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,31391,31454
12,fused_full,0,8,cast_i8_to_f16,flatten_1__cast_f16,rvv,2,0.147791,0.000917,0,2,24808,24995
13,fused_full,0,9,linear_f16,depth_fc,rvv,2,0.148708,0.027208,0,2,25018,34581
14,fused_full,0,1,conv2d_s8,vision_cnn.2,rvv,0,0.512750,0.662500,0,0,37777,56164
15,fused_full,0,2,conv2d_s8,vision_cnn.4,rvv,0,1.175250,0.743458,0,0,56210,78758
16,fused_full,0,3,conv2d_s8,vision_cnn.6,rvv,0,1.918708,0.434958,0,0,78785,90054
17,dronet,0,1,maxpool2d_s8,maxpool1,rvv,3,2.165125,0.801750,0,3,73429,93234
18,fused_full,0,4,cast_i8_to_f16,flatten__cast_f16,rvv,0,2.353666,0.001667,0,0,90087,90358
19,fused_full,0,5,linear_f16,vision_fc,rvv,0,2.355333,0.329167,0,0,90371,192673
20,fused_full,0,10,cat3_c1_f16,cat,rvv,0,2.684500,0.001833,0,0,192753,192855
21,fused_full,0,11,lstm_f16,lstm.l0,rvv,0,2.686333,0.301458,0,0,192865,243723
22,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,3,2.966875,0.060042,0,3,93628,96042
23,dronet,0,5,conv2d_s8,conv_modules.3,rvv_c1,4,2.966875,0.191792,1,4,94638,102140
24,fused_full,0,12,lstm_f16,lstm.l1,rvv,0,2.987791,0.228875,0,0,243802,266063
25,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,3,3.026917,1.216792,0,3,96079,129109
26,fused_full,0,13,lstm_f16,lstm.l2,rvv,0,3.216666,0.228417,0,0,266135,283479
27,fused_full,0,14,linear_f16,head,rvv,0,3.445083,0.000875,0,0,283525,283576
28,dronet,0,4,conv2d_s8,conv_modules.2,rvv,3,4.243709,0.777542,0,3,129161,150270
29,yolov8_nano,0,1,conv2d_batchnorm2d_silu_s8,l1.conv,rvv_c1,5,5.001542,4.494375,1,5,173986,310569
30,dronet,0,6,add_s8,add,rvv,3,5.021251,0.049542,0,3,150330,151974
31,dronet,0,10,conv2d_s8,conv_modules.6,rvv_c1,4,5.070793,0.088750,1,4,153778,162279
32,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,3,5.070793,0.024583,0,3,152474,153190
33,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,3,5.095376,0.748125,0,3,153211,176216
34,dronet,0,9,conv2d_s8,conv_modules.5,rvv,3,5.843501,0.934917,0,3,176251,203069
35,dronet,0,11,add_s8,add_1,rvv,3,6.778418,0.020708,0,3,203155,203697
36,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,3,6.799126,0.010667,0,3,204174,211090
37,dronet,0,15,conv2d_s8,conv_modules.9,rvv_c1,4,6.799126,0.114250,1,4,205354,214247
38,dronet,0,13,conv2d_batchnorm2d_s8,conv_modules.7,rvv,3,6.809793,0.931250,0,3,211124,235548
39,dronet,0,14,conv2d_s8,conv_modules.8,rvv,3,7.741043,1.634875,0,3,235613,277820
40,dronet,0,16,add_s8,add_2,rvv,3,9.375918,0.010833,0,3,277872,278356
41,dronet,0,17,relu_s8,relu_modules.6,rvv,3,9.386751,0.001167,0,3,278366,278408
42,dronet,0,18,linear_s8,linear1,rvv,3,9.387918,0.002792,0,3,278756,278863
43,dronet,0,19,linear_s8,linear2,rvv_c1,4,9.387918,0.001958,1,4,279801,279946
44,dronet,0,20,sigmoid_s8,sigmoid1,rvv_c1,4,9.389876,0.001417,1,4,279968,280021
45,yolov8_nano,0,2,conv2d_batchnorm2d_silu_s8,l2.cv1.conv,rvv_c1,5,9.495917,2.401042,1,5,310661,373215
46,fused_full,1,0,conv2d_s8,vision_cnn.0,rvv,1,10.000000,0.512750,0,1,285260,297571
47,fused_full,1,6,conv2d_s8,depth_conv.0,rvv,2,10.000000,0.035208,0,2,285246,286190
48,mlp_control,1,0,linear_s8,mlp.0,rvv,0,10.000000,0.028667,0,0,284155,284565
49,mlp_control,1,1,elu_s8,mlp.1,rvv,0,10.028667,0.015125,0,0,284581,284941
50,fused_full,1,7,conv2d_s8,depth_conv.2,rvv,2,10.035208,0.112583,0,2,286205,288920
51,mlp_control,1,2,linear_s8,mlp.2,rvv,0,10.043792,0.018458,0,0,284947,285403
52,mlp_control,1,3,elu_s8,mlp.3,rvv,0,10.062250,0.008250,0,0,285433,285643
53,mlp_control,1,4,linear_s8,mlp.4,rvv,0,10.070500,0.006250,0,0,285658,285867
54,mlp_control,1,5,elu_s8,mlp.5,rvv,0,10.076750,0.005125,0,0,285874,286015
55,mlp_control,1,6,linear_s8,mlp.6,rvv,0,10.081875,0.001125,0,0,286024,286059
56,fused_full,1,8,cast_i8_to_f16,flatten_1__cast_f16,rvv,2,10.147791,0.000917,0,2,288929,288970
57,fused_full,1,9,linear_f16,depth_fc,rvv,2,10.148708,0.027208,0,2,288985,289684
58,fused_full,1,1,conv2d_s8,vision_cnn.2,rvv,0,10.512750,0.662500,0,0,298382,315189
59,fused_full,1,2,conv2d_s8,vision_cnn.4,rvv,0,11.175250,0.743458,0,0,315219,332128
60,yolov8_nano,0,-1,chunk2_c1,chunk,rvv_c1,5,11.896959,0.000000,-1,-1,0,0
61,yolov8_nano,0,3,conv2d_batchnorm2d_silu_s8,l2.m0.cv1.conv,rvv_c1,5,11.896959,3.869583,1,5,373336,470113
62,fused_full,1,3,conv2d_s8,vision_cnn.6,rvv,0,11.918708,0.434958,0,0,332151,342763
63,fused_full,1,4,cast_i8_to_f16,flatten__cast_f16,rvv,0,12.353666,0.001667,0,0,342779,342838
64,fused_full,1,5,linear_f16,vision_fc,rvv,0,12.355333,0.329167,0,0,342844,352961
65,fused_full,1,10,cat3_c1_f16,cat,rvv,0,12.684500,0.001833,0,0,353034,353135
66,fused_full,1,11,lstm_f16,lstm.l0,rvv,0,12.686333,0.301458,0,0,353149,360449
67,fused_full,1,12,lstm_f16,lstm.l1,rvv,0,12.987791,0.228875,0,0,360529,366311
68,fused_full,1,13,lstm_f16,lstm.l2,rvv,0,13.216666,0.228417,0,0,366327,372201
69,fused_full,1,14,linear_f16,head,rvv,0,13.445083,0.000875,0,0,372229,372279
70,yolov8_nano,0,4,conv2d_batchnorm2d_silu_s8,l2.m0.cv2.conv,rvv_c1,5,15.766542,3.812958,1,5,470180,566841
71,yolov8_nano,0,5,add_s8,add,rvv_c1,5,19.579500,0.173333,1,5,566900,571609
72,yolov8_nano,0,6,cat3_c1_s8,cat,rvv_c1,5,19.752832,0.189333,1,5,571630,578040
73,yolov8_nano,0,7,conv2d_batchnorm2d_silu_s8,l2.cv2.conv,rvv_c1,5,19.942165,2.929083,1,5,578080,648998
74,fused_full,2,0,conv2d_s8,vision_cnn.0,rvv,1,20.000000,0.512750,0,1,480032,492233
75,fused_full,2,6,conv2d_s8,depth_conv.0,rvv,2,20.000000,0.035208,0,2,374194,375098
