entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv_c1,4,0.000000,2.165125,1,7726,61692
1,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,5750,10128
2,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,10165,10632
3,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,10646,11394
4,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,11415,11711
5,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,11729,11960
6,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,11979,12154
7,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,12174,12210
8,dronet,0,1,maxpool2d_s8,maxpool1,rvv,0,2.165125,0.801750,0,62654,81804
9,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,0,2.966875,0.060042,0,82085,84332
10,dronet,0,5,conv2d_s8,conv_modules.3,rvv_c1,4,2.966875,0.191792,1,82421,88167
11,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,0,3.026917,1.216792,0,84369,113768
12,dronet,0,4,conv2d_s8,conv_modules.2,rvv,0,4.243709,0.777542,0,113787,132979
13,dronet,0,6,add_s8,add,rvv,0,5.021251,0.049542,0,132991,134045
14,dronet,0,10,conv2d_s8,conv_modules.6,rvv_c1,4,5.070793,0.088750,1,134615,140711
15,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,0,5.070793,0.024583,0,134282,134824
16,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,0,5.095376,0.748125,0,134840,153500
17,dronet,0,9,conv2d_s8,conv_modules.5,rvv,0,5.843501,0.934917,0,153523,176942
18,dronet,0,11,add_s8,add_1,rvv,0,6.778418,0.020708,0,176966,177702
19,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,0,6.799126,0.010667,0,177908,178230
20,dronet,0,15,conv2d_s8,conv_modules.9,rvv_c1,4,6.799126,0.114250,1,178282,185255
21,dronet,0,13,conv2d_batchnorm2d_s8,conv_modules.7,rvv,0,6.809793,0.931250,0,178240,200169
22,dronet,0,14,conv2d_s8,conv_modules.8,rvv,0,7.741043,1.634875,0,200202,235405
23,dronet,0,16,add_s8,add_2,rvv,0,9.375918,0.010833,0,235437,235816
24,dronet,0,17,relu_s8,relu_modules.6,rvv,0,9.386751,0.001167,0,235822,235849
25,dronet,0,18,linear_s8,linear1,rvv_c1,4,9.387918,0.002792,1,236876,236934
26,dronet,0,19,linear_s8,linear2,rvv,0,9.387918,0.001958,0,236119,236231
27,dronet,0,20,sigmoid_s8,sigmoid1,rvv,0,9.389876,0.001417,0,236250,236307
28,mlp_control,1,0,linear_s8,mlp.0,rvv,0,10.000000,0.028667,0,240017,240401
29,mlp_control,1,1,elu_s8,mlp.1,rvv,0,10.028667,0.015125,0,240416,240794
30,mlp_control,1,2,linear_s8,mlp.2,rvv,0,10.043792,0.018458,0,240799,241335
31,mlp_control,1,3,elu_s8,mlp.3,rvv,0,10.062250,0.008250,0,241351,241552
32,mlp_control,1,4,linear_s8,mlp.4,rvv,0,10.070500,0.006250,0,241558,241735
33,mlp_control,1,5,elu_s8,mlp.5,rvv,0,10.076750,0.005125,0,241751,241891
34,mlp_control,1,6,linear_s8,mlp.6,rvv,0,10.081875,0.001125,0,241898,241933
35,mlp_control,2,0,linear_s8,mlp.0,rvv,0,20.000000,0.028667,0,480019,480336
