entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv,1,0.000000,2.165125,0,1,6695,63949
1,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,19991,20574
2,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,20593,20995
3,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,21004,21562
4,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,21582,21796
5,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,21803,21989
6,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,21993,22124
7,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,22133,22175
8,dronet,0,1,maxpool2d_s8,maxpool1,rvv,0,2.165125,0.801750,0,0,64725,84051
9,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,0,2.966875,0.060042,0,0,84297,86032
10,dronet,0,5,conv2d_s8,conv_modules.3,rvv,1,2.966875,0.191792,0,1,84679,89856
11,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv,0,3.026917,1.216792,0,0,86060,114199
12,dronet,0,4,conv2d_s8,conv_modules.2,rvv,0,4.243709,0.777542,0,0,114212,132814
13,dronet,0,6,add_s8,add,rvv,0,5.021251,0.049542,0,0,132832,133879
14,dronet,0,10,conv2d_s8,conv_modules.6,rvv,1,5.070793,0.088750,0,1,134401,140640
15,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,0,5.070793,0.024583,0,0,134108,134809
16,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,0,5.095376,0.748125,0,0,134830,153279
17,dronet,0,9,conv2d_s8,conv_modules.5,rvv,0,5.843501,0.934917,0,0,153301,175205
18,dronet,0,11,add_s8,add_1,rvv,0,6.778418,0.020708,0,0,175217,175631
19,dronet,0,12,batchnorm2d_s8,bn_modules.4,rvv,0,6.799126,0.010667,0,0,175877,176386
20,dronet,0,15,conv2d_s8,conv_modules.9,rvv,1,6.799126,0.114250,0,1,176161,180172
21,dronet,0,13,conv2d_batchnorm2d_s8,conv_modules.7,rvv,0,6.809793,0.931250,0,0,176401,198554
22,dronet,0,14,conv2d_s8,conv_modules.8,rvv,0,7.741043,1.634875,0,0,198578,238349
23,dronet,0,16,add_s8,add_2,rvv,0,9.375918,0.010833,0,0,238385,238662
