graph_iter,dispatch_key,dispatch_id,ordinal,total,job_name,module_name,target,cores,planned_start_us,ready_us,start_us,end_us,queue_delay_us,run_us,total_latency_us
0,dronet0_dispatch_0,0,1,1,dronet0,dronet$dispatch_0_rvv_x60_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,CPU_E,3,-0.0,0.0,-0.0,2128.5,0.0,2128.5,2128.5
0,mlp_control0_dispatch_0,0,1,1,mlp_control0,mlp_control$dispatch_0_rvv_x60_linear_s8_M1xK16xN256,CPU_P,3,-0.0,0.0,-0.0,28.625,0.0,28.625,28.625
0,dronet0_dispatch_1,1,1,1,dronet0,dronet$dispatch_1_rvv_x60_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,CPU_E,3,2128.5,2128.5,2128.5,2932.375,0.0,803.875,803.875
0,dronet0_dispatch_2,2,1,1,dronet0,dronet$dispatch_2_rvv_x60_batchnorm2d_s8_N1xC32xH27xW27,CPU_E,3,2932.375,2932.375,2932.375,3066.167,0.0,133.792,133.792
0,dronet0_dispatch_3,3,1,1,dronet0,dronet$dispatch_3_rvv_x60_conv2d_batchnorm2d_s8_noshape,CPU_E,3,3066.167,3066.167,3066.167,4242.292,0.0,1176.125,1176.125
0,dronet0_dispatch_4,4,1,1,dronet0,dronet$dispatch_4_rvv_x60_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,CPU_E,3,4242.292,4242.292,4242.292,5014.292,0.0,772.0,772.0
0,dronet0_dispatch_5,5,1,1,dronet0,dronet$dispatch_5_rvv_x60_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,CPU_P,1,4823.875,2932.375,4823.875,5014.292,1891.5,190.417,2081.917
0,dronet0_dispatch_6,6,1,1,dronet0,dronet$dispatch_6_rvv_x60_add_s8_n6272,CPU_E,3,5014.292,5014.292,5014.292,5358.584,0.0,344.292,344.292
0,dronet0_dispatch_7,7,1,1,dronet0,dronet$dispatch_7_rvv_x60_batchnorm2d_s8_N1xC32xH14xW14,CPU_E,3,5358.584,5358.584,5358.584,5383.542,0.0,24.958,24.958
0,dronet0_dispatch_8,8,1,1,dronet0,dronet$dispatch_8_rvv_x60_conv2d_batchnorm2d_s8_noshape,CPU_E,3,5383.542,5383.542,5383.542,6128.167,0.0,744.625,744.625
0,dronet0_dispatch_9,9,1,1,dronet0,dronet$dispatch_9_rvv_x60_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,CPU_E,3,6128.167,6128.167,6128.167,7104.792,0.0,976.625,976.625
0,dronet0_dispatch_10,10,1,1,dronet0,dronet$dispatch_10_rvv_x60_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,CPU_P,1,7008.167,5358.584,7008.167,7104.792,1649.583,96.625,1746.208
0,dronet0_dispatch_11,11,1,1,dronet0,dronet$dispatch_11_rvv_x60_add_s8_n3136,CPU_E,3,7104.792,7104.792,7104.792,7273.0,0.0,168.208,168.208
0,dronet0_dispatch_12,12,1,1,dronet0,dronet$dispatch_12_rvv_x60_batchnorm2d_s8_N1xC64xH7xW7,CPU_E,2,7273.0,7273.0,7273.0,7283.208,0.0,10.208,10.208
0,dronet0_dispatch_15,15,1,1,dronet0,dronet$dispatch_15_rvv_x60_conv2d_s8_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,CPU_P,1,7273.0,7273.0,7273.0,7382.208,0.0,109.208,109.208
0,dronet0_dispatch_13,13,1,1,dronet0,dronet$dispatch_13_rvv_x60_conv2d_batchnorm2d_s8_noshape,CPU_E,3,7283.208,7283.208,7283.208,8215.458,0.0,932.25,932.25
0,dronet0_dispatch_14,14,1,1,dronet0,dronet$dispatch_14_rvv_x60_conv2d_s8_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,CPU_E,3,8215.458,8215.458,8215.458,9813.875,0.0,1598.417,1598.417
0,dronet0_dispatch_16,16,1,1,dronet0,dronet$dispatch_16_rvv_x60_add_s8_n2048,CPU_E,3,9813.875,9813.875,9813.875,9920.583,0.0,106.708,106.708
