soc,f_dronet_hz,f_mlp_hz,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,solver_wall_time_s,envelope_us,time_scale,skipped,reason,error,gantt,critical_path_us,deadline_miss_ratio,max_lateness_us
chipyard,1.0,5.0,heft,30,True,True,800070.50136,0,0.0,10,0.004947689943946898,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m5Hz_heft.png,15007.225175835583,0.0,0.0
chipyard,1.0,5.0,fastest_device,30,True,True,800261.3973501538,4,1200810.5848672814,6,0.0006139739416539669,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m5Hz_fastest_device.png,14879.46445098839,0.13333333333333333,600167.3955368203
chipyard,1.0,5.0,critical_path,30,True,True,800070.50136,0,0.0,9,0.0007868020329624414,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m5Hz_critical_path.png,15101.104387808015,0.0,0.0
chipyard,1.0,5.0,edf,30,True,True,800070.50136,0,0.0,5,0.0007811009418219328,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m5Hz_edf.png,15063.488817968186,0.0,0.0
chipyard,1.0,5.0,fifo,30,True,True,800070.50136,0,0.0,9,0.0006442508893087506,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m5Hz_fifo.png,20745.814219437638,0.0,0.0
chipyard,1.0,5.0,mosek,30,False,,,,,,,1000000.0,100.0,,,solver_returned_none,,,,
chipyard,1.0,10.0,heft,45,True,True,900070.50136,0,0.0,20,0.0013011569390073419,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m10Hz_heft.png,15007.225175835583,0.0,0.0
chipyard,1.0,10.0,fastest_device,45,True,True,900500.017337846,9,3603442.635640613,6,0.0010696679819375277,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m10Hz_fastest_device.png,14879.46445098839,0.2,800288.5132578457
chipyard,1.0,10.0,critical_path,45,True,True,900070.50136,0,0.0,19,0.0012835129164159298,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m10Hz_critical_path.png,15101.104387808015,0.0,0.0
chipyard,1.0,10.0,edf,45,True,True,900070.50136,0,0.0,10,0.0013604189734905958,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m10Hz_edf.png,15063.488817968186,0.0,0.0
chipyard,1.0,10.0,fifo,45,True,True,900070.50136,0,0.0,19,0.0016009240644052625,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m10Hz_fifo.png,20745.814219437638,0.0,0.0
chipyard,1.0,10.0,mosek,45,False,,,,,,,1000000.0,100.0,,,solver_returned_none,,,,
chipyard,1.0,30.0,heft,102,True,True,933403.8346933334,0,0.0,58,0.0044593740021809936,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m30Hz_heft.png,15007.225175835583,0.0,0.0
chipyard,1.0,30.0,fastest_device,102,True,True,934740.1066244098,28,12629848.46809679,6,0.0036453501088544726,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m30Hz_fastest_device.png,14879.46445098839,0.27450980392156865,900748.760597742
chipyard,1.0,30.0,critical_path,102,True,True,933403.8346933334,0,0.0,57,0.004206303972750902,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m30Hz_critical_path.png,15101.104387808015,0.0,0.0
chipyard,1.0,30.0,edf,102,True,True,933403.8346933334,0,0.0,29,0.004208166967146099,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m30Hz_edf.png,15063.488817968186,0.0,0.0
chipyard,1.0,30.0,fifo,102,True,True,933403.8346933334,0,0.0,57,0.0036519530694931746,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m30Hz_fifo.png,20745.814219437638,0.0,0.0
chipyard,1.0,30.0,mosek,102,False,,,,,,,1000000.0,100.0,True,MOSEK skipped: 102 ops > limit 80,,,,,
chipyard,1.0,100.0,heft,315,True,True,990070.50136,1,254.43531015384724,199,0.036570696043781936,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m100Hz_heft.png,15007.225175835583,0.0031746031746031746,254.43531015384724
chipyard,1.0,100.0,fastest_device,315,True,True,994795.1771163059,99,48868395.29051411,6,0.029474704060703516,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m100Hz_fastest_device.png,14879.46445098839,0.3142857142857143,982468.6322363022
chipyard,1.0,100.0,critical_path,315,True,True,990070.50136,0,0.0,199,0.029249145998619497,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m100Hz_critical_path.png,15101.104387808015,0.0,0.0
chipyard,1.0,100.0,edf,315,True,True,990070.50136,0,0.0,100,0.028473387006670237,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m100Hz_edf.png,15063.488817968186,0.0,0.0
chipyard,1.0,100.0,fifo,315,True,True,990070.50136,0,0.0,199,0.02676834398880601,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d1Hz_m100Hz_fifo.png,20745.814219437638,0.0,0.0
chipyard,1.0,100.0,mosek,315,False,,,,,,,1000000.0,100.0,True,MOSEK skipped: 315 ops > limit 80,,,,,
chipyard,2.0,5.0,heft,45,True,True,800070.50136,3,417947.8825263419,13,0.0013268849579617381,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m5Hz_heft.png,20961.105894385844,0.06666666666666667,305882.8159725791
chipyard,2.0,5.0,fastest_device,45,True,True,800261.3973501538,5,1229409.2498006294,12,0.0010789349908009171,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m5Hz_fastest_device.png,14879.46445098839,0.1111111111111111,600167.3955368203
chipyard,2.0,5.0,critical_path,45,True,True,800070.50136,0,0.0,9,0.0013115659821778536,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m5Hz_critical_path.png,88972.5072464533,0.0,0.0
chipyard,2.0,5.0,edf,45,True,True,800070.50136,0,0.0,7,0.0013273759977892041,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m5Hz_edf.png,88972.5072464533,0.0,0.0
chipyard,2.0,5.0,fifo,45,True,True,800070.50136,0,0.0,9,0.0010697579709812999,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m5Hz_fifo.png,77941.66112536863,0.0,0.0
chipyard,2.0,5.0,mosek,45,True,True,800230.5013600001,0,0.0,12,10.115816792007536,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m5Hz_mosek.png,17986.380017217598,0.0,0.0
chipyard,2.0,10.0,heft,60,True,True,900070.50136,6,1045269.1055387317,24,0.0017632029484957457,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m10Hz_heft.png,20923.490324546015,0.1,405882.8159725791
chipyard,2.0,10.0,fastest_device,60,True,True,900500.017337846,10,3632041.300573961,12,0.0015179869951680303,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m10Hz_fastest_device.png,14879.46445098839,0.16666666666666666,800288.5132578457
chipyard,2.0,10.0,critical_path,60,True,True,900070.50136,1,468.27622920431895,20,0.001890123006887734,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m10Hz_critical_path.png,88972.5072464533,0.016666666666666666,468.27622920431895
chipyard,2.0,10.0,edf,60,True,True,900070.50136,0,0.0,12,0.00181963003706187,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m10Hz_edf.png,88972.5072464533,0.0,0.0
chipyard,2.0,10.0,fifo,60,True,True,900070.50136,1,32189.325679711183,20,0.0015432459767907858,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m10Hz_fifo.png,28379.991118297065,0.016666666666666666,32189.325679711183
chipyard,2.0,10.0,mosek,60,False,,,,,,,1000000.0,100.0,,,solver_returned_none,,,,
chipyard,2.0,30.0,heft,117,True,True,933403.8346933334,16,3611191.8700145246,62,0.0050842579221352935,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m30Hz_heft.png,20923.490324546015,0.13675213675213677,472549.4826392458
chipyard,2.0,30.0,fastest_device,117,True,True,934740.1066244098,29,12658447.133030139,12,0.004761665943078697,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m30Hz_fastest_device.png,14879.46445098839,0.24786324786324787,900748.760597742
chipyard,2.0,30.0,critical_path,117,True,True,933403.8346933334,3,78588.541954902,56,0.005067707039415836,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m30Hz_critical_path.png,88972.5072464533,0.02564102564102564,55689.45950451548
chipyard,2.0,30.0,edf,117,True,True,933403.8346933334,0,0.0,31,0.0049814030062407255,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m30Hz_edf.png,88972.5072464533,0.0,0.0
chipyard,2.0,30.0,fifo,117,True,True,933403.8346933334,1,32189.325679711183,58,0.004479932016693056,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m30Hz_fifo.png,28379.991118297065,0.008547008547008548,32189.325679711183
chipyard,2.0,30.0,mosek,117,False,,,,,,,1000000.0,100.0,True,MOSEK skipped: 117 ops > limit 80,,,,,
chipyard,2.0,100.0,heft,330,True,True,990070.50136,52,12876949.718591549,201,0.03107273206114769,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m100Hz_heft.png,20923.490324546015,0.15757575757575756,500325.969209131
chipyard,2.0,100.0,fastest_device,330,True,True,994795.1771163059,100,48896993.955447465,12,0.029471836984157562,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m100Hz_fastest_device.png,14879.46445098839,0.30303030303030304,982468.6322363022
chipyard,2.0,100.0,critical_path,330,True,True,990070.50136,9,364741.6603319947,192,0.031367872026748955,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m100Hz_critical_path.png,88972.5072464533,0.02727272727272727,79022.79283784881
chipyard,2.0,100.0,edf,330,True,True,990070.50136,0,0.0,102,0.031546680023893714,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m100Hz_edf.png,88972.5072464533,0.0,0.0
chipyard,2.0,100.0,fifo,330,True,True,990070.50136,2,36638.24506138611,199,0.03003233892377466,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d2Hz_m100Hz_fifo.png,28379.991118297065,0.006060606060606061,32189.325679711183
chipyard,2.0,100.0,mosek,330,False,,,,,,,1000000.0,100.0,True,MOSEK skipped: 330 ops > limit 80,,,,,
chipyard,5.0,5.0,heft,90,True,True,815055.4203678672,6,1329483.8727427097,14,0.003379576955921948,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d5Hz_m5Hz_heft.png,75409.39881679036,0.06666666666666667,421736.4184962141
chipyard,5.0,5.0,fastest_device,90,True,True,871483.5400680979,8,2686589.1525657363,30,0.0029448530403897166,1000000.0,100.0,,,,/scratch2/agustin/XPU-RT/results/robotic_packing/gantts/chipyard_d5Hz_m5Hz_fastest_device.png,14879.46445098839,0.08888888888888889,671421.3030385231
