scenario,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error,gantt
vision_pipeline,heft,14,True,True,490.0,0,0.0,9,405.0,0.004308706033043563,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_heft.png
vision_pipeline,critical_path,14,True,True,1190.0,1,590.0,5,1190.0,0.0003582490608096123,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_critical_path.png
vision_pipeline,edf,14,True,True,1190.0,1,590.0,5,1190.0,0.0003661339869722724,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_edf.png
vision_pipeline,fastest_device,14,True,True,515.0,0,0.0,7,400.0,0.00027578300796449184,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_fastest_device.png
vision_pipeline,fifo,14,True,True,1190.0,1,590.0,5,1190.0,0.00027288799174129963,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_fifo.png
vision_pipeline,peft,14,True,True,490.0,0,0.0,9,405.0,0.0004827649099752307,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_peft.png
vision_pipeline,simulated_annealing,14,True,True,490.0,0,0.0,9,405.0,0.020614800974726677,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_simulated_annealing.png
vision_pipeline,mosek,14,False,,,,,,,,solver_returned_none,
vision_pipeline,cpsat,14,True,True,490.0,0,0.0,7,405.0,0.4811560669913888,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_cpsat.png
vision_pipeline,cpsat_memory,14,True,True,490.0,0,0.0,7,405.0,0.2860839299391955,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_cpsat_memory.png
vision_pipeline,gnn_placement,14,True,True,490.0,0,0.0,9,405.0,2.4523707469925284,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_gnn_placement.png
vision_pipeline,rl_policy,14,True,True,490.0,0,0.0,9,405.0,0.4303362490609288,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/vision_pipeline_rl_policy.png
sensor_fusion_diamond,heft,16,True,True,480.0,0,0.0,3,470.0,0.0004811419639736414,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/sensor_fusion_diamond_heft.png
sensor_fusion_diamond,critical_path,16,True,True,510.0,0,0.0,1,510.0,0.0003969930112361908,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/sensor_fusion_diamond_critical_path.png
sensor_fusion_diamond,edf,16,True,True,510.0,0,0.0,1,510.0,0.00040236301720142365,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/sensor_fusion_diamond_edf.png
sensor_fusion_diamond,fastest_device,16,True,True,510.0,0,0.0,3,445.0,0.0002894079079851508,,/scratch2/agustin/XPU-RT/results/scenarios/gantts/sensor_fusion_diamond_fastest_device.png
