graph_iter,dispatch_key,dispatch_id,ordinal,total,job_name,module_name,target,cores,planned_start_us,ready_us,start_us,end_us,queue_delay_us,run_us,total_latency_us
0,dronet0_dispatch_0,0,1,1,dronet0,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,CPU_P,0,0.0,0.0,0.0,582.5,0.0,582.5,582.5
0,dronet0_dispatch_1,1,1,1,dronet0,dronet$async_dispatch_1_embedded_elf_riscv_64_dronet$async_dispatch_1_conv_32x56x56x3x3x3_i8xi8xi32,CPU_E,0,1000.0,582.5,1000.0,23766.5,417.5,22766.5,23184.0
0,mlp0_dispatch_0,0,1,1,mlp0,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,0,1000.0,0.0,1000.0,1063.3,1000.0,63.3,1063.3
0,mlp0_dispatch_1,1,1,1,mlp0,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,3,2000.0,1063.3,2000.0,2065.7,936.7,65.7,1002.4
0,mlp0_dispatch_2,2,1,1,mlp0,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,2,3000.0,2065.7,3000.0,3064.65,934.3,64.65,998.95
0,mlp0_dispatch_3,3,1,1,mlp0,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_E,3,4000.0,3064.65,4000.0,4080.45,935.35,80.45,1015.8
0,mlp1_dispatch_0,0,1,1,mlp1,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,2,10000.0,10000.0,10000.0,10063.3,0.0,63.3,63.3
0,mlp1_dispatch_1,1,1,1,mlp1,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,3,11000.0,10063.3,11000.0,11065.7,936.7,65.7,1002.4
0,mlp1_dispatch_2,2,1,1,mlp1,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,2,12000.0,11065.7,12000.0,12064.65,934.3,64.65,998.95
0,mlp1_dispatch_3,3,1,1,mlp1,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_E,3,13000.0,12064.65,13000.0,13080.45,935.35,80.45,1015.8
