mlp_hz,scheduler,n_ops,feasible,makespan_us,deadline_miss_count,total_lateness_us,solver_wall_time_s,error
20,heft,135,True,480780.0,47,8685544.833333332,0.004562637070193887,
20,critical_path,135,True,480780.0,47,8716122.855555555,0.004482134943827987,
20,edf,135,True,480780.0,23,5176840.0,0.004249664023518562,
20,fastest_device,135,True,493260.0,36,6942269.555555556,0.003737794002518058,
20,fifo,135,True,480780.0,35,6564066.0,0.0038918369682505727,
20,peft,135,True,480780.0,42,7241418.055555555,0.005251042079180479,
20,simulated_annealing,135,True,480780.0,47,8685544.833333332,0.3213934600353241,
20,cpsat,135,True,480780.0,0,0.0,0.20854559203144163,
20,gnn_placement,135,True,493260.0,41,7790354.133333333,0.008442561025731266,
20,rl_policy,135,True,493260.0,63,11901391.55555555,0.033662340021692216,
50,heft,180,True,498820.0,78,14961372.788888885,0.007874043076299131,
50,critical_path,180,True,498820.0,78,14970166.95555555,0.007875896990299225,
50,edf,180,True,493880.0,24,5756907.499999998,0.00731471402104944,
50,fastest_device,180,True,493260.0,63,9650488.555555556,0.006382646970450878,
50,fifo,180,True,493880.0,60,9671831.9,0.0064024850726127625,
50,peft,180,True,493460.0,67,10610477.288888888,0.008268932113423944,
50,simulated_annealing,180,True,486265.0,62,9548598.066666666,0.5194024730008096,
50,cpsat,180,True,482020.0,0,0.0,0.5282067590160295,
50,gnn_placement,180,True,504915.8333333333,79,13078067.933333337,0.014273131033405662,
50,rl_policy,180,True,537769.7555555552,106,22623198.333333325,0.04639167501591146,
100,heft,255,True,516560.0,131,25080998.288888894,0.0151287930784747,
100,critical_path,255,True,516680.0,132,25124868.133333344,0.015144383069127798,
100,edf,255,True,503880.0,47,6145519.811111108,0.01390141702722758,
100,fastest_device,255,True,493610.55555555556,123,16239936.33333334,0.012489611050114036,
100,fifo,255,True,503880.0,103,14836288.422222232,0.01235438499134034,
100,peft,255,True,503460.0,111,16415975.511111109,0.015520125045441091,
100,simulated_annealing,255,True,502680.0,101,14723707.122222217,0.9396978589938954,
100,cpsat,255,True,491500.0,0,0.0,0.4455594689352438,
100,gnn_placement,255,True,561079.066666666,175,30233565.833333295,0.024332716944627464,
100,rl_policy,255,True,516560.0,131,25080998.288888894,0.0700309380190447,
200,heft,405,True,539680.0,243,47229579.255555555,0.03919209004379809,
200,critical_path,405,True,540560.0,244,47353994.933333404,0.039570656954310834,
200,edf,405,True,508880.0,87,6798484.344444441,0.035283542005345225,
200,fastest_device,405,True,576860.8888888904,324,49052978.88888902,0.03316523693501949,
200,fifo,405,True,508880.0,216,27803377.155555528,0.03298020700458437,
200,peft,405,True,508460.0,229,33403484.922222096,0.054635599022731185,
200,simulated_annealing,405,True,501985.0,220,28637897.0222222,2.445541042019613,
200,cpsat,405,True,496500.0,0,0.0,4.132263711071573,
200,gnn_placement,405,True,539680.0,243,47229579.255555555,0.06354459503199905,
200,rl_policy,405,True,539680.0,243,47229579.255555555,0.1431288899620995,
400,heft,705,True,581780.0,521,103878387.7555559,0.12702075904235244,
400,critical_path,705,True,582180.0,521,104148980.08888938,0.1265648560365662,
400,edf,705,True,511380.0,205,8570394.5,0.12880196608603,
400,fastest_device,705,True,937916.4444444524,624,201412384.44444603,0.10924558993428946,
400,fifo,705,True,528654.0000000014,625,79952015.43333331,0.12253944703843445,
400,peft,705,True,573550.0,521,100247661.0888892,0.12526536302175373,
400,simulated_annealing,705,True,520901.36666666716,625,78152625.60000056,7.16625613195356,
400,cpsat,705,True,539063.0,91,4133989.333333335,60.213585635996424,
400,gnn_placement,705,True,581780.0,521,103878387.7555559,0.16568975802510977,
400,rl_policy,705,True,581780.0,521,103878387.7555559,0.30784934596158564,
800,heft,1305,True,842325.6666666655,1232,382607945.4888914,0.4663694940973073,
800,critical_path,1305,True,842712.6666666666,1232,382898180.72222614,0.42447313002776355,
800,edf,1305,True,645739.3,1252,85640027.66666698,0.41223159700166434,
800,fastest_device,1305,True,1660027.5555555567,1224,831081195.5555593,0.36676572810392827,
800,fifo,1305,True,817579.3333333313,1225,334523847.2999997,0.5381204020231962,
800,peft,1305,True,843682.6666666666,1232,381715337.155558,0.4357689500320703,
800,simulated_annealing,1305,True,810760.533333332,1225,330834046.22222424,23.381635880097747,
800,cpsat,1305,True,885598.0,403,99540954.38888842,60.57415464299265,
800,gnn_placement,1305,True,842325.6666666655,1232,382607945.4888914,0.5548956149723381,
800,rl_policy,1305,True,842325.6666666655,1232,382607945.4888914,0.8237021170789376,
