seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
0,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_00,CPU,1,0.000000,68.492100,0,0.434214,0.434371,0.436923,83.262687
1,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_00,CPU,1,68.492100,36.071300,0,83.288728,83.288833,83.293312,125.780610
2,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_01_tramp_p0,CPU,1,104.563400,3.113300,0,125.794881,125.795142,125.798319,129.743437
3,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_01_conv1,HTA,1,107.676700,3.100520,1,130.070465,130.070621,130.075621,133.755482
4,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_01_tramp_p1,CPU,1,110.777220,18.885300,0,133.996365,133.996469,134.000635,146.983479
5,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_01_conv2,HTA,1,129.662520,9.298430,1,147.011447,147.011552,147.015927,159.720023
6,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_01_tramp_p2,CPU,1,138.960950,48.883180,0,160.006583,160.006843,160.012468,207.414251
7,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_01,CPU,1,187.844130,9.168930,0,207.429719,207.429928,207.434407,216.575256
8,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_02,CPU,1,197.013060,115.520050,0,216.586246,216.586402,216.591298,320.293163
9,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_02,CPU,1,312.533110,36.099180,0,320.308215,320.308319,320.312433,356.713385
10,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_03_tramp_p0,CPU,1,348.632290,3.132910,0,356.727864,356.728072,356.733124,361.044437
11,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_03_conv1,HTA,1,351.765200,3.270290,1,361.412975,361.413079,361.419068,365.892567
12,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_03_tramp_p1,CPU,1,355.035490,18.499280,0,366.128033,366.128294,366.133867,379.942640
13,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_03_conv2,HTA,1,373.534770,9.457150,1,380.243627,380.243783,380.248783,389.538120
14,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_03_tramp_p2,CPU,1,382.991920,48.798200,0,389.790618,389.790826,389.795514,436.294441
15,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_03,CPU,1,431.790120,9.165520,0,436.309336,436.309440,436.314076,445.438050
16,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_04,CPU,1,440.955640,111.473830,0,445.448831,445.448936,445.452529,549.708920
17,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_04,CPU,1,552.429470,36.043570,0,549.724441,552.429832,552.433894,587.656367
18,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_05_tramp_p0,CPU,1,588.473040,3.126730,0,587.669075,588.473495,588.477453,592.480852
19,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_05_conv1,HTA,1,591.599770,3.298690,1,592.726839,592.726995,592.730745,596.740342
