seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
0,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_00,CPU,1,0.000000,68.492100,0,0.298791,0.298896,0.302854,64.103137
1,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_00,CPU,1,68.492100,36.071300,0,64.120532,68.492311,68.497311,115.024951
2,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_01_tramp_p0,DSP,1,104.563400,1.679000,1,115.315045,115.315202,115.341815,117.359976
3,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_01_conv1,HTA,1,106.242400,3.100520,2,117.398464,117.398672,117.411901,122.191531
4,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_01_tramp_p1,DSP,1,109.342920,6.484590,1,122.210645,122.210905,122.214863,129.549562
5,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_01_conv2,HTA,1,115.827510,9.298430,2,129.592998,129.593259,129.597321,139.043251
6,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_01_tramp_p2,DSP,1,125.125940,20.403400,1,139.079291,139.079499,139.083614,158.508371
7,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_01,CPU,1,145.529340,9.168930,0,158.793830,158.794039,158.799768,168.040756
8,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_02,CPU,1,154.698270,115.520050,0,168.058256,168.058360,168.062318,291.328604
9,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_02,CPU,1,270.218320,36.099180,0,291.347093,291.347198,291.350895,327.239730
10,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_03_tramp_p0,DSP,1,306.317500,1.677770,1,327.558104,327.558209,327.570969,330.025937
11,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_03_conv1,HTA,1,307.995270,3.270290,2,330.065207,330.065415,330.068488,334.521254
12,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_03_tramp_p1,DSP,1,311.265560,7.063530,1,334.548805,334.549065,334.554117,341.504350
13,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_03_conv2,HTA,1,318.329090,9.457150,2,341.689552,341.689656,341.694396,350.800701
14,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_03_tramp_p2,DSP,1,327.786240,21.154210,1,351.052203,351.052359,351.061786,372.623869
15,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_03,CPU,1,348.940450,9.165520,0,372.961202,372.961410,372.968337,382.120115
16,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_04,CPU,1,358.105970,111.473830,0,382.139021,382.139125,382.142510,494.494233
17,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_04,CPU,1,469.579800,36.043570,0,494.513451,494.513555,494.517930,530.334653
18,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_05_tramp_p0,DSP,1,505.623370,1.661520,1,530.604487,530.604591,530.616570,533.102008
19,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_05_conv1,HTA,1,507.284890,3.298690,2,533.362000,533.362156,533.369395,536.891569
20,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_05_tramp_p1,DSP,1,510.583580,6.927100,1,536.915266,536.915475,536.920735,543.593585
21,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_05_conv2,HTA,1,517.510680,9.340530,2,543.819411,543.819567,543.826911,553.413935
22,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_05_tramp_p2,DSP,1,526.851210,20.796870,1,553.628251,553.628407,553.638042,574.047935
23,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_05,CPU,1,547.648080,9.144220,0,574.378757,574.378861,574.385163,583.543035
24,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_06,CPU,1,556.792300,115.144520,0,583.561576,583.561784,583.565846,709.301914
25,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_06,CPU,1,671.936820,36.445420,0,709.319518,709.319778,709.323060,745.433105
26,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_07_tramp_p0,DSP,1,708.382240,1.680390,1,745.749970,745.750126,745.764553,748.247960
27,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_07_conv1,HTA,1,710.062630,3.072400,2,748.486389,748.486493,748.494514,751.829298
28,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_07_tramp_p1,DSP,1,713.135030,6.620420,1,752.143611,752.143767,752.148871,758.839690
29,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_07_conv2,HTA,1,719.755450,9.310200,2,759.075567,759.075671,759.082286,768.845658
30,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_07_tramp_p2,DSP,1,729.065650,21.950570,1,769.045183,769.045287,769.053568,787.850077
31,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_07,CPU,1,751.016220,9.164650,0,788.114443,788.114755,788.119234,797.301949
32,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_08,CPU,1,760.180870,115.731440,0,797.320386,797.320490,797.324865,911.943074
33,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_08,CPU,1,875.912310,36.044950,0,911.961980,911.962084,911.965313,953.829386
34,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_09_tramp_p0,DSP,1,911.957260,1.659620,1,954.126928,954.127032,954.140886,956.649657
35,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_09_conv1,HTA,1,913.616880,3.174890,2,956.900586,956.900690,956.908867,960.651815
36,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_09_tramp_p1,DSP,1,916.791770,6.642820,1,960.676502,960.676710,960.682022,967.354143
37,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_09_conv2,HTA,1,923.434590,9.386420,2,967.590906,967.591011,967.598562,976.735445
38,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_09_tramp_p2,DSP,1,932.821010,21.035880,1,976.936324,976.936480,976.946897,995.683772
39,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_09,CPU,1,953.856890,9.186870,0,995.989751,995.989855,995.994907,1005.214131
40,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_10,CPU,1,963.043760,113.218300,0,1005.232360,1005.232776,1005.236839,1118.882424
41,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_10,CPU,1,1076.262060,36.167320,0,1118.901642,1118.901851,1118.906069,1155.082415
42,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p0,DSP,1,1112.429380,1.672150,1,1155.435737,1155.435841,1155.446622,1157.488116
43,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv1,HTA,1,1114.101530,3.161230,2,1157.724671,1157.724775,1157.732067,1161.009926
44,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p1,DSP,1,1117.262760,7.158160,1,1161.186431,1161.186535,1161.192628,1168.174062
45,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv2,HTA,1,1124.420920,9.254600,2,1168.423012,1168.423168,1168.430408,1178.064357
46,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p2,DSP,1,1133.675520,21.585370,1,1178.100867,1178.101023,1178.107064,1196.932166
47,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_11,CPU,1,1155.260890,9.161890,0,1197.261165,1197.261269,1197.266894,1206.494191
48,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_12,CPU,1,1164.422780,112.283760,0,1206.512680,1206.512784,1206.516794,1329.203224
49,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_12,CPU,1,1276.706540,36.085750,0,1329.221661,1329.221765,1329.224890,1371.782640
50,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p0,DSP,1,1312.792290,1.664470,1,1372.119920,1372.120024,1372.130597,1374.008661
51,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv1,HTA,1,1314.456760,3.145230,2,1374.255215,1374.255319,1374.262923,1377.863899
52,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p1,DSP,1,1317.601990,6.847920,1,1377.886294,1377.886450,1377.892179,1383.777195
53,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv2,HTA,1,1324.449910,9.312020,2,1383.996510,1383.996667,1384.004479,1393.699213
54,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p2,DSP,1,1333.761930,21.142910,1,1393.915092,1393.915248,1482.667392,1501.246835
55,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_13,CPU,1,1354.904840,9.160780,0,1501.556825,1501.556929,1501.561877,1510.716108
56,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_14,CPU,1,1364.065620,111.635330,0,1510.734910,1510.734962,1510.738712,1619.114327
57,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_14,CPU,1,1475.700950,36.838110,0,1619.418224,1619.418328,1619.421713,1653.640384
58,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p0,DSP,1,1512.539060,2.739090,1,1653.979227,1653.979331,1662.483896,1664.218110
59,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv1,HTA,1,1515.278150,3.121520,2,1664.429822,1664.429978,1664.437269,1667.663726
60,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p1,DSP,1,1518.399670,6.620520,1,1667.910541,1667.910697,1683.498624,1689.121773
61,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv2,HTA,1,1525.020190,9.320990,2,1689.155574,1689.155782,1689.160574,1699.127018
62,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p2,DSP,1,1534.341180,21.234080,1,1699.159986,1699.160194,1771.807241,1793.233935
63,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_15,CPU,1,1555.575260,9.165560,0,1793.585850,1793.585954,1793.591215,1802.742946
64,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p0,DSP,1,1564.740820,18.879270,1,1803.104080,1803.104184,1907.373789,1926.011459
65,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_16_conv1,HTA,1,1583.620090,15.815560,2,1926.051823,1926.051927,1926.057551,1946.411624
66,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p1,DSP,1,1599.435650,6.767770,1,1946.606305,1946.606462,1964.570665,1970.354485
67,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_16_conv2,HTA,1,1606.203420,6.191510,2,1970.591040,1970.591196,1970.603488,1977.840751
68,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p2,DSP,1,1612.394930,49.723170,1,1978.087722,1978.087826,2111.386635,2159.910827
69,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_16,CPU,1,1662.118100,36.225830,0,2160.254565,2160.254670,2160.261284,2196.147244
70,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p0,DSP,1,1698.343930,2.609690,1,2196.443484,2196.443588,2206.786478,2208.383978
71,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv1,HTA,1,1700.953620,3.217110,2,2208.427154,2208.427258,2208.434601,2211.207844
72,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p1,DSP,1,1704.170730,6.390630,1,2211.230812,2211.230916,2226.917225,2233.339358
73,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv2,HTA,1,1710.561360,9.277210,2,2233.581069,2233.581225,2233.591121,2242.860973
74,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p2,DSP,1,1719.838570,21.064870,1,2243.085081,2243.085237,2326.660728,2347.702538
75,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_17,CPU,1,1740.903440,9.169410,0,2347.757588,2347.757849,2347.761286,2358.312243
76,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_18,CPU,1,1750.072850,111.114950,0,2358.325523,2358.325628,2358.330159,2470.956943
77,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_18,CPU,1,1861.187800,36.328440,0,2470.975901,2470.976005,2470.979391,2506.950576
78,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p0,DSP,1,1897.516240,1.688880,1,2507.300357,2507.300461,2516.150019,2517.712990
79,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv1,HTA,1,1899.205120,3.200220,2,2517.749968,2517.750124,2528.093437,2531.640771
80,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p1,DSP,1,1902.405340,6.691970,1,2531.690352,2531.690509,2548.746262,2554.393736
