seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
0,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_00,CPU,1,0.000000,68.492100,0,0.339949,0.340053,0.342866,80.776088
1,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_00,CPU,1,68.492100,36.071300,0,80.793692,80.793796,80.797182,118.180032
2,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_01_tramp_p0,DSP,1,104.563400,1.679000,1,118.510189,118.510293,118.595242,121.063220
3,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_01_conv1,HTA,1,106.242400,3.100520,2,121.301450,121.301658,121.347804,124.693077
4,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_01_tramp_p1,DSP,1,109.342920,6.484590,1,124.718025,124.718234,124.721254,131.480186
5,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_01_conv2,HTA,1,115.827510,9.298430,2,131.693000,131.693156,131.697479,141.067566
6,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_01_tramp_p2,DSP,1,125.125940,20.403400,1,141.096577,141.096785,141.100900,159.500449
7,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_01,CPU,1,145.529340,9.168930,0,159.769096,159.769252,159.773523,168.955016
8,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_02_tramp_p0,DSP,1,154.698270,18.658670,1,169.323611,169.323715,169.329236,185.432631
9,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_02_conv1,HTA,1,173.356940,15.922310,2,185.465183,185.465391,185.467891,203.046135
10,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_02_tramp_p1,DSP,1,189.279250,7.027900,1,203.084260,203.084520,203.087437,209.124335
11,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_02_conv2,HTA,1,196.307150,6.232250,2,209.157252,209.157512,209.161575,216.069986
12,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_02_tramp_p2,DSP,1,202.539400,49.714970,1,216.095768,216.095976,216.100299,261.231824
13,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_02,CPU,1,252.254370,36.099180,0,261.294689,261.294950,261.299481,297.952953
14,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_03_tramp_p0,DSP,1,288.353550,1.677770,1,298.353684,298.353840,298.365247,300.940621
15,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_03_conv1,HTA,1,290.031320,3.270290,2,300.978434,300.978694,300.981611,303.979278
16,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_03_tramp_p1,DSP,1,293.301610,7.063530,1,303.993445,303.993653,303.994695,309.795394
17,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_03_conv2,HTA,1,300.365140,9.457150,2,309.816384,309.816488,309.818155,319.255065
18,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_03_tramp_p2,DSP,1,309.822290,21.154210,1,319.284232,319.284597,319.287982,337.788469
19,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_03,CPU,1,330.976500,9.165520,0,337.835500,337.835709,337.838053,348.510749
20,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_04_tramp_p0,DSP,1,340.142020,19.360780,1,348.536062,348.536322,348.540020,364.310705
21,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_04_conv1,HTA,1,359.502800,16.190840,2,364.338778,364.339039,364.341747,381.703271
22,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_04_tramp_p1,DSP,1,375.693640,7.276810,1,381.730875,381.731084,381.733427,387.853242
23,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_04_conv2,HTA,1,382.970450,6.206880,2,387.879857,387.879961,387.883607,394.809310
24,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_04_tramp_p2,DSP,1,389.177330,49.919510,1,394.833113,394.833373,394.837540,439.864742
25,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_04,CPU,1,439.096840,36.043570,0,439.917607,439.917867,439.921825,481.109429
26,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_05_tramp_p0,DSP,1,475.140410,1.661520,1,481.387764,481.387920,481.395837,484.033659
27,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_05_conv1,HTA,1,476.801930,3.298690,2,484.068295,484.068503,484.072253,487.182838
28,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_05_tramp_p1,DSP,1,480.100620,6.927100,1,487.659298,487.659402,487.664246,492.782234
29,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_05_conv2,HTA,1,487.027720,9.340530,2,492.803588,492.803693,492.806870,501.781591
30,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_05_tramp_p2,DSP,1,496.368250,20.796870,1,501.810498,501.810810,501.816018,520.464214
31,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_05,CPU,1,517.165120,9.144220,0,520.754267,520.754424,520.759997,529.905500
32,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_06_tramp_p0,DSP,1,526.309340,19.211730,1,530.237220,530.237324,530.250553,545.482434
33,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_06_conv1,HTA,1,545.521070,15.339570,2,545.744727,545.744831,545.752956,563.062761
34,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_06_tramp_p1,DSP,1,560.860640,6.871380,1,563.249116,563.249220,563.256095,570.234768
35,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_06_conv2,HTA,1,567.732020,6.182870,2,570.421748,570.421852,570.427529,577.248857
36,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_06_tramp_p2,DSP,1,573.914890,49.410290,1,577.477920,577.478076,577.484847,622.131162
37,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_06,CPU,1,623.325180,36.445420,0,622.438091,623.325698,623.334552,659.478856
38,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_07_tramp_p0,DSP,1,659.770600,1.680390,1,659.832503,659.832608,659.846253,662.362096
39,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_07_conv1,HTA,1,661.450990,3.072400,2,662.625483,662.625847,662.634233,665.674244
40,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_07_tramp_p1,DSP,1,664.523390,6.620420,1,665.698880,665.698984,665.703307,672.426666
41,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_07_conv2,HTA,1,671.143810,9.310200,2,672.661042,672.661198,672.667656,682.002692
42,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_07_tramp_p2,DSP,1,680.454010,21.950570,1,682.034150,682.034411,682.039254,700.566877
43,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_07,CPU,1,702.404580,9.164650,0,700.763440,702.404748,702.409019,713.040466
44,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_08_tramp_p0,DSP,1,711.569230,18.546350,1,723.366859,723.367119,723.371911,738.416864
45,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_08_conv1,HTA,1,730.115580,15.533070,2,738.443270,738.443375,738.448427,760.252416
46,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_08_tramp_p1,DSP,1,745.648650,6.936310,1,763.253312,763.253729,763.264927,768.421092
47,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_08_conv2,HTA,1,752.584960,6.202170,2,768.452082,768.452238,768.457030,775.254712
48,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_08_tramp_p2,DSP,1,758.787130,50.058500,1,828.291893,828.292361,828.304132,872.888731
49,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_08,CPU,1,808.845630,36.044950,0,873.135294,873.135399,971.039891,1014.841414
50,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_09_tramp_p0,DSP,1,844.890580,1.659620,1,1015.117770,1015.117926,1015.127405,1016.752359
51,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_09_conv1,HTA,1,846.550200,3.174890,2,1016.946266,1016.946422,1016.952568,1021.492586
52,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_09_tramp_p1,DSP,1,849.725090,6.642820,1,6398.998228,6398.998332,6421.798845,6426.934472
53,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_09_conv2,HTA,1,856.367910,9.386420,2,6499.359596,6499.359701,6570.928592,6579.539823
54,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_09_tramp_p2,DSP,1,865.754330,21.035880,1,6701.349669,6701.349982,6701.352843,6721.081208
55,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_09,CPU,1,886.790210,9.186870,0,6721.125430,6721.125794,6721.129332,6731.743902
56,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_10_tramp_p0,DSP,1,895.977080,18.824870,1,6731.770226,6731.770435,6731.774701,6747.997184
57,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_10_conv1,HTA,1,914.801950,15.768070,2,6754.397287,6754.397495,6754.403426,6772.420158
58,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_10_tramp_p1,DSP,1,930.570020,6.508590,1,6784.138185,6784.138341,6784.141359,6789.217781
59,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_10_conv2,HTA,1,937.078610,6.246970,2,6789.249621,6789.249725,6789.255135,6796.491857
60,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_10_tramp_p2,DSP,1,943.325580,50.171580,1,6870.356995,6870.357255,6870.365631,6914.943915
61,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_10,CPU,1,993.497160,36.167320,0,6914.983404,6914.983613,6914.986682,6953.217429
62,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p0,DSP,1,1029.664480,1.672150,1,7016.161068,7016.161224,7016.170537,7018.568377
63,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv1,HTA,1,1031.336630,3.161230,2,7018.749853,7018.750061,7018.758594,7021.682235
64,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p1,DSP,1,1034.497860,7.158160,1,7043.557489,7043.557593,7043.564721,7049.152641
65,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv2,HTA,1,1041.656020,9.254600,2,7049.344263,7049.344367,7049.351651,7057.757906
66,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p2,DSP,1,1050.910620,21.585370,1,7183.727597,7183.727701,7183.737535,7202.787846
67,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_11,CPU,1,1072.495990,9.161890,0,7203.010008,7203.010112,7203.014378,7213.587311
68,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_12_tramp_p0,DSP,1,1081.657880,18.649510,1,7217.649702,7217.649910,7217.654176,7233.500829
69,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_12_conv1,HTA,1,1100.307390,16.027060,2,7234.398634,7234.398842,7234.405658,7252.610869
70,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_12_tramp_p1,DSP,1,1116.334450,6.791360,1,7265.514682,7265.514942,7265.524932,7270.985225
71,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_12_conv2,HTA,1,1123.125810,6.251630,2,7297.840186,7297.840602,7297.848198,7304.132833
72,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_12_tramp_p2,DSP,1,1129.377440,50.134390,1,7381.047026,7381.047286,7381.057588,7425.723488
73,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_12,CPU,1,1179.511830,36.085750,0,7425.779522,7425.779783,7425.783841,7481.977554
74,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p0,DSP,1,1215.597580,1.664470,1,7509.877820,7509.877976,7509.888850,7512.322174
75,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv1,HTA,1,1217.262050,3.145230,2,7512.358490,7512.358594,7512.366086,7515.327136
