dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_system_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_0_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_0_system_elf_riscv_64_benchmark.mlir,0.175,ms,175000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_0_system_elf_riscv_64_benchmark.vmfb.log
10,main_graph$async_dispatch_10_system_elf_riscv_64_main_graph$async_dispatch_10_matmul_like_128x7x7x64_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_10_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_10_system_elf_riscv_64_benchmark.mlir,1.56,ms,1560000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_10_system_elf_riscv_64_benchmark.vmfb.log
11,main_graph$async_dispatch_11_system_elf_riscv_64_main_graph$async_dispatch_11_conv_128x7x7x128x3x3_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_11_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_11_system_elf_riscv_64_benchmark.mlir,12.1,ms,12100000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_11_system_elf_riscv_64_benchmark.vmfb.log
12,main_graph$async_dispatch_12_system_elf_riscv_64_main_graph$async_dispatch_12_matvec_like_6272_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_12_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_12_system_elf_riscv_64_benchmark.mlir,0.108,ms,108000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_12_system_elf_riscv_64_benchmark.vmfb.log
13,main_graph$async_dispatch_13_system_elf_riscv_64_main_graph$async_dispatch_13_slow_memcpy,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_13_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_13_system_elf_riscv_64_benchmark.mlir,0.062,ms,62000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_13_system_elf_riscv_64_benchmark.vmfb.log
14,main_graph$async_dispatch_14_system_elf_riscv_64_main_graph$async_dispatch_14_matvec_like_6272_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_14_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_14_system_elf_riscv_64_benchmark.mlir,0.119,ms,119000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_14_system_elf_riscv_64_benchmark.vmfb.log
1,main_graph$async_dispatch_1_system_elf_riscv_64_main_graph$async_dispatch_1_conv_32x112x112x5x5_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_1_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_1_system_elf_riscv_64_benchmark.mlir,11.6,ms,11600000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_1_system_elf_riscv_64_benchmark.vmfb.log
2,main_graph$async_dispatch_2_system_elf_riscv_64_main_graph$async_dispatch_2_conv_32x55x55x3x3_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_2_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_2_system_elf_riscv_64_benchmark.mlir,3.44,ms,3440000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_2_system_elf_riscv_64_benchmark.vmfb.log
3,main_graph$async_dispatch_3_system_elf_riscv_64_main_graph$async_dispatch_3_conv_32x28x28x32x3x3_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_3_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_3_system_elf_riscv_64_benchmark.mlir,12.2,ms,12200000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_3_system_elf_riscv_64_benchmark.vmfb.log
4,main_graph$async_dispatch_4_system_elf_riscv_64_main_graph$async_dispatch_4_matmul_like_32x28x28x32_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_4_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_4_system_elf_riscv_64_benchmark.mlir,2.27,ms,2270000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_4_system_elf_riscv_64_benchmark.vmfb.log
5,main_graph$async_dispatch_5_system_elf_riscv_64_main_graph$async_dispatch_5_conv_32x28x28x32x3x3_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_5_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_5_system_elf_riscv_64_benchmark.mlir,12.3,ms,12300000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_5_system_elf_riscv_64_benchmark.vmfb.log
6,main_graph$async_dispatch_6_system_elf_riscv_64_main_graph$async_dispatch_6_conv_64x14x14x32x3x3_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_6_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_6_system_elf_riscv_64_benchmark.mlir,6.8,ms,6800000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_6_system_elf_riscv_64_benchmark.vmfb.log
7,main_graph$async_dispatch_7_system_elf_riscv_64_main_graph$async_dispatch_7_matmul_like_64x14x14x32_f32,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_7_system_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet/module_main_graph$async_dispatch_7_system_elf_riscv_64_benchmark.mlir,1.2,ms,1200000.000000,0,/home/dima/sched_vmfb/out/dronet/topo_0_1_2_3/logs/module_main_graph$async_dispatch_7_system_elf_riscv_64_benchmark.vmfb.log
