dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.169,ms,169000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
10,main_graph$async_dispatch_10_embedded_elf_riscv_64_main_graph$async_dispatch_10_matmul_like_128x4x4x64_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.mlir,0.752,ms,752000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb.log
11,main_graph$async_dispatch_11_embedded_elf_riscv_64_main_graph$async_dispatch_11_conv_128x4x4x128x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.mlir,7.91,ms,7910000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb.log
12,main_graph$async_dispatch_12_embedded_elf_riscv_64_main_graph$async_dispatch_12_matvec_like_2048_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.mlir,0.085,ms,85000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb.log
13,main_graph$async_dispatch_13_embedded_elf_riscv_64_main_graph$async_dispatch_13_slow_memcpy,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.mlir,0.064,ms,64000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb.log
14,main_graph$async_dispatch_14_embedded_elf_riscv_64_main_graph$async_dispatch_14_matvec_like_2048_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.mlir,0.083,ms,83000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb.log
1,main_graph$async_dispatch_1_embedded_elf_riscv_64_main_graph$async_dispatch_1_conv_32x56x56x3x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.mlir,8.31,ms,8310000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb.log
2,main_graph$async_dispatch_2_embedded_elf_riscv_64_main_graph$async_dispatch_2_conv_32x27x27x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.mlir,1.78,ms,1780000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb.log
3,main_graph$async_dispatch_3_embedded_elf_riscv_64_main_graph$async_dispatch_3_conv_32x14x14x32x3x3_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_3_embedded_elf_riscv_64_benchmark.mlir,6.65,ms,6650000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb.log
4,main_graph$async_dispatch_4_embedded_elf_riscv_64_main_graph$async_dispatch_4_matmul_like_32x14x14x32_f32,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/dronet_ukernel/module_main_graph$async_dispatch_4_embedded_elf_riscv_64_benchmark.mlir,0.967,ms,967000.000000,0,/home/dima/sched_vmfb/out/dronet_ukernel/topo_0_1/logs/module_main_graph$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb.log
