dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.93,ms,930000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
10,main_graph$async_dispatch_10_embedded_elf_riscv_64_main_graph$async_dispatch_10_conv_28x28x128x3x3_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.mlir,8.02,ms,8020000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb.log
11,main_graph$async_dispatch_11_embedded_elf_riscv_64_main_graph$async_dispatch_11_matmul_like_256x28x28x128_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.mlir,50.3,ms,50300000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb.log
12,main_graph$async_dispatch_12_embedded_elf_riscv_64_main_graph$async_dispatch_12_conv_28x28x256x3x3_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.mlir,14.9,ms,14900000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb.log
13,main_graph$async_dispatch_13_embedded_elf_riscv_64_main_graph$async_dispatch_13_matmul_like_256x784x256_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.mlir,2185,ms,2185000000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb.log
14,main_graph$async_dispatch_14_embedded_elf_riscv_64_main_graph$async_dispatch_14_slow_memcpy,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.mlir,1.6,ms,1600000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb.log
15,main_graph$async_dispatch_15_embedded_elf_riscv_64_main_graph$async_dispatch_15_conv_14x14x256x3x3_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_15_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_15_embedded_elf_riscv_64_benchmark.mlir,3.76,ms,3760000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_15_embedded_elf_riscv_64_benchmark.vmfb.log
16,main_graph$async_dispatch_16_embedded_elf_riscv_64_main_graph$async_dispatch_16_matmul_like_512x14x14x256_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_16_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_16_embedded_elf_riscv_64_benchmark.mlir,50,ms,50000000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_16_embedded_elf_riscv_64_benchmark.vmfb.log
17,main_graph$async_dispatch_17_embedded_elf_riscv_64_main_graph$async_dispatch_17_conv_14x14x512x3x3_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_17_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_17_embedded_elf_riscv_64_benchmark.mlir,7.84,ms,7840000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_17_embedded_elf_riscv_64_benchmark.vmfb.log
18,main_graph$async_dispatch_18_embedded_elf_riscv_64_main_graph$async_dispatch_18_matmul_like_512x14x14x512_f32,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_18_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/fastdepth_scalar/module_main_graph$async_dispatch_18_embedded_elf_riscv_64_benchmark.mlir,104,ms,104000000.000000,0,/home/dima/sched_vmfb/out/fastdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_18_embedded_elf_riscv_64_benchmark.vmfb.log
