dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_mmt4d_1x32x56x1x32x1_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.126,ms,126000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
10,main_graph$async_dispatch_10_embedded_elf_riscv_64_main_graph$async_dispatch_10_conv_32x56x56x16x3x3_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.mlir,23.9,ms,23900000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_10_embedded_elf_riscv_64_benchmark.vmfb.log
11,main_graph$async_dispatch_11_embedded_elf_riscv_64_main_graph$async_dispatch_11_conv_64x28x28x32x3x3_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.mlir,28.2,ms,28200000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_11_embedded_elf_riscv_64_benchmark.vmfb.log
12,main_graph$async_dispatch_12_embedded_elf_riscv_64_main_graph$async_dispatch_12_conv_128x14x14x64x3x3_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.mlir,29.1,ms,29100000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_12_embedded_elf_riscv_64_benchmark.vmfb.log
13,main_graph$async_dispatch_13_embedded_elf_riscv_64_main_graph$async_dispatch_13_conv_128x7x7x128x3x3_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.mlir,14.1,ms,14100000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_13_embedded_elf_riscv_64_benchmark.vmfb.log
14,main_graph$async_dispatch_14_embedded_elf_riscv_64_main_graph$async_dispatch_14_reduction_128x49_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.mlir,0.089,ms,89000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_14_embedded_elf_riscv_64_benchmark.vmfb.log
15,main_graph$async_dispatch_15_embedded_elf_riscv_64_main_graph$async_dispatch_15_mmt4d_1x32x128x1x32x1_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_15_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_15_embedded_elf_riscv_64_benchmark.mlir,0.183,ms,183000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_15_embedded_elf_riscv_64_benchmark.vmfb.log
17,main_graph$async_dispatch_17_embedded_elf_riscv_64_main_graph$async_dispatch_17_mmt4d_1x32x112x1x32x1_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_17_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_17_embedded_elf_riscv_64_benchmark.mlir,0.173,ms,173000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_17_embedded_elf_riscv_64_benchmark.vmfb.log
1,main_graph$async_dispatch_1_embedded_elf_riscv_64_main_graph$async_dispatch_1_elementwise_1024_f32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.mlir,0.066,ms,66000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb.log
21,main_graph$async_dispatch_21_embedded_elf_riscv_64_main_graph$async_dispatch_21_elementwise_128_i64xf32xf32xf32,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_21_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/diffusion_rvv/module_main_graph$async_dispatch_21_embedded_elf_riscv_64_benchmark.mlir,0.068,ms,68000.000000,0,/home/dima/sched_vmfb/out/diffusion_rvv/topo_0_1_2_3/logs/module_main_graph$async_dispatch_21_embedded_elf_riscv_64_benchmark.vmfb.log
