dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path
0,main_graph$async_dispatch_0_embedded_elf_riscv_64_main_graph$async_dispatch_0_slow_memcpy,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.mlir,0.735,ms,735000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb.log
100,main_graph$async_dispatch_100_embedded_elf_riscv_64_main_graph$async_dispatch_100_conv_256x7x7x160x3x3_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_100_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_100_embedded_elf_riscv_64_benchmark.mlir,107,ms,107000000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_100_embedded_elf_riscv_64_benchmark.vmfb.log
101,main_graph$async_dispatch_101_embedded_elf_riscv_64_main_graph$async_dispatch_101_reduction_49x256_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_101_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_101_embedded_elf_riscv_64_benchmark.mlir,1.12,ms,1120000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_101_embedded_elf_riscv_64_benchmark.vmfb.log
102,main_graph$async_dispatch_102_embedded_elf_riscv_64_main_graph$async_dispatch_102_matmul_like_8x49x32x256_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_102_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_102_embedded_elf_riscv_64_benchmark.mlir,5.6,ms,5600000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_102_embedded_elf_riscv_64_benchmark.vmfb.log
103,main_graph$async_dispatch_103_embedded_elf_riscv_64_main_graph$async_dispatch_103_matmul_like_16x49x32x256_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_103_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_103_embedded_elf_riscv_64_benchmark.mlir,11.2,ms,11200000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_103_embedded_elf_riscv_64_benchmark.vmfb.log
104,main_graph$async_dispatch_104_embedded_elf_riscv_64_main_graph$async_dispatch_104_elementwise_broadcast_12544_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_104_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_104_embedded_elf_riscv_64_benchmark.mlir,0.18,ms,180000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_104_embedded_elf_riscv_64_benchmark.vmfb.log
105,main_graph$async_dispatch_105_embedded_elf_riscv_64_main_graph$async_dispatch_105_elementwise_broadcast_12544_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_105_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_105_embedded_elf_riscv_64_benchmark.mlir,0.425,ms,425000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_105_embedded_elf_riscv_64_benchmark.vmfb.log
106,main_graph$async_dispatch_106_embedded_elf_riscv_64_main_graph$async_dispatch_106_matmul_like_8x49x49x32_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_106_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_106_embedded_elf_riscv_64_benchmark.mlir,1.19,ms,1190000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_106_embedded_elf_riscv_64_benchmark.vmfb.log
107,main_graph$async_dispatch_107_embedded_elf_riscv_64_main_graph$async_dispatch_107_softmax_8x49x49xf32_dispatch_tensor_store,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_107_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_107_embedded_elf_riscv_64_benchmark.mlir,0.72,ms,720000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_107_embedded_elf_riscv_64_benchmark.vmfb.log
108,main_graph$async_dispatch_108_embedded_elf_riscv_64_main_graph$async_dispatch_108_matmul_like_49x8x32x49_f32,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_108_embedded_elf_riscv_64_benchmark.vmfb,/home/dima/sched_vmfb/glpdepth_scalar/module_main_graph$async_dispatch_108_embedded_elf_riscv_64_benchmark.mlir,1.35,ms,1350000.000000,0,/home/dima/sched_vmfb/out/glpdepth_scalar/topo_0/logs/module_main_graph$async_dispatch_108_embedded_elf_riscv_64_benchmark.vmfb.log
